,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X601898.SH,X600019.SH,X600011.SH,X600585.SH,X600547.SH,X600886.SH,X600660.SH,X601600.SH,X002466.SZ,X002460.SZ,X000792.SZ,X600795.SH,X000708.SZ,X601699.SH,X600111.SH,X600010.SH,X000301.SZ,X600362.SH,X000983.SZ,X600426.SH,X600027.SH,X000877.SZ,X600803.SH,X600489.SH,X601991.SH,X002271.SZ,X600160.SH,X600985.SH,X000786.SZ,X000408.SZ,X000630.SZ,X000807.SZ,X000933.SZ,X000932.SZ,X600176.SH,X600348.SH,X600612.SH,X600219.SH,X601168.SH,X300037.SZ,X002128.SZ,X600688.SH,X600157.SH,X600995.SH,X000629.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.360518957910281,0.25282717894923,0,0,0,0,0,0,0,0.200459176664501,0,0,-0.0532751821606608,0,0,0,0.0684165350012866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0307550152309192,0,0,0.0413245206877835,0,0,0,0,0,0,0,0,0,0,0,0,0.00394935378523632,-0.201699048571301,0,0,0.0497539582843481,0,0
X600028.SH,0.494704774776662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0237539494242198,0,0,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,0,-0.0392465269157859,0,0,0,0,0,0,0.0692237632044625,0,-0.0200996534315325,0,0,0,0,0,0,0,0.121870213756317,0,0,-0.0118690281553918,0.00215990664004556,0,0,0,0,0,0
X601088.SH,0,0.200094361294164,0,0,0.107248060498991,0,0.0235159156949577,0,0,0,0,0,0,0,0,0,0,0,0.0940935953647075,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0749026365872513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00149659596611486,0.0168134581350008,0,0,0,0.0218607077807805,0,0
X600309.SH,0,0,0,0,0.269102221350532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0961229340982506,0,0.232161144688679,0,0,0,0,0,0.249222053104498,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.261699663029047,0,0,0,0,0,0.0205543567071344,0,-0.00336684133634479,-0.0475582811581336,0,0,-0.030858967920288,0,0
X600188.SH,0,0,0.0612465274735193,0.0633479702841746,0,0.146409280746503,0.121493447743418,0,0,0,0,0,0,0,0,0,0,0,0.263993677150145,0,0,0,0,0.055819994101628,0,0,0,0,0,0,0,0,0.118747727457562,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,-0.0362085773324759,0,0,0,0,0,0,0,-0.00736929808461761,0,0,0,0,0,0
X601898.SH,0.111986265290335,0,0,0,0.520094257728736,0,0,0,0,0,0.024531812204443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0164694723572471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00345181378864247,-0.011470975821563,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0.0368011636859283,0,0,0,0.0583545331875671,0,0,0,0,0,0,0,0,0,0,0,-0.135071302346663,0,0,0,0.119867848247052,0,0,0,0.318231375583248,0,0,0,0,0.177185201842434,0,0,0,0,0,0,0,-2.16840434497101e-19,-0.00391179256101676,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0.0927391907543923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.350428444789694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00605112632936157,0.00261858518031042,0,0,0,0.00399321022017845,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0588043670899957,0,0,0,0,0,0,0,0,0.059355756505659,0,0,0.261428401584092,0,0,0,0.17699527250066,0,0,0.0120751528849513,0,0,0,0.03464081248516,0,0.0190577027071464,0,0,0,0,0,0,0,0,0,0,0,-0.0141349435227654,0.0247446521368005,0,0,0,0,0,0
X600547.SH,0.0432998956850571,0,0,0,0.107535145008353,0,0,-0.00668518481152562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0227323439896868,0,0,-0.0310239733145096,0.564152843617096,0,0.0359927220527278,0,0,0.0136768540381153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00664934699596672,0,0,0,0,0.0124799275974987,0,0
