,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600585.SH,X002460.SZ,X000792.SZ,X600188.SH,X600019.SH,X600111.SH,X600011.SH,X002466.SZ,X000877.SZ,X600010.SH,X002271.SZ,X601600.SH,X000708.SZ,X600660.SH,X601898.SH,X600547.SH,X000301.SZ,X600886.SH,X600362.SH,X600426.SH,X600176.SH,X000723.SZ,X000408.SZ,X600219.SH,X601991.SH,X600795.SH,X000807.SZ,X601699.SH,X000786.SZ,X000983.SZ,X600803.SH,X600096.SH,X002080.SZ,X002353.SZ,X600489.SH,X600801.SH,X000630.SZ,X000825.SZ,X600027.SH,X600688.SH,X000932.SZ,X600141.SH,X300073.SZ,X600157.SH,X000959.SZ,X000960.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.00312883654243446,0,0,0,0,-0.00768146456075735,0,0,0,0,0,0,0,0,0,0,0,0.155891178610001,0,0,0,0,0,0,0,-0.0249084828224489,0,0,0,0.121363354551411,0,0,0,0,0,0,0,0,0.138133965367883,0,0,0,0,0,0,0,0,0,0.000227127864174603,0,-0.00159872688195664,-0.0149493095433873,0,0,0,0.0281992653204218,0,0
X601088.SH,0,0,0,0,0,0,0,0.0921506641292967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0258056561289224,0,0,0.238020807074883,0,0.131592481362867,0,0,0,0,0,0,0,0,-0.0127058646269723,0,0,0,0,0,0,0,0,0,-0.00133382166216626,0,0,0,0.0205385430831916,0,0
X600028.SH,0.13791840554641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00995224335655951,0,0.0144900049266671,-0.00838689800531618,0,0,0,0,0,0,0.0522463792119107,0,0,0,0,0,0.0722916778856436,0.0309072689070232,0,0,0.0474844062572761,0,0,0,0,0,0,0,-0.0308725313029793,0.0212414050862407,0,0,0,0.0112259366027769,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0480697028361621,0,0,0,0.179897268364235,0,0,0,0,0.0122873537956812,0.0045686276382604,0,0,0,-0.0366405891043589,0,0,0,0,0,0.0308295657858257,0.0519118187223026,0,0,0,0,0,0.124327209528286,0,0,0,0,0.00268861606718352,0,0,-0.0122855289080721,0,0,0,0,0.00635000846127704,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129816968121938,0,0,0,0,0,0,0.434626676607465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0170474505146402,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0,0,0.429255409666545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0921896586126219,0,0,0,0,0,0,0,0,0.0667855558899306,0,0,0,0,0,0,0,0,0.119616433058197,0.213254556283618,0,0,0,0.0572038937509866,0,-0.00488908885981127,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0,0.182758146209074,0,0.435396380216241,0,0,-0.0371489422385527,0,0,0,-0.102394751905919,0,0,0,0,-0.0647162697762469,0,0.326362419424893,0,0.0348600124147293,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0725247525517925,0,0,0,0.0625304254994732,0,0,0,0,0,0,0.0184387977710856,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0.0528749367185829,0,0,0,0,0.0809367584683209,0,0,0,0,0,0.03351658590118,0,0.161077059037287,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0.518911519422548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0771528893904178,0.126679469530713,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0.0552957755511714,0,0,0,0,0,0,0,0,0,0,0.0551454027986807,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0466753887110266,0,0,0,0.0987067363374893,0,0.206790714515658,0,0,0.316097410074414,0,0,0,0.0368881057819811,0.00400284054001224,0,-0.00271142857542892,-8.67361737988404e-19,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0.479454036984321,0.00582229158369807,0,0,0,0,0,0,0.0999304787614412,0,0,0,0,0,0,0.0565897872810267,0,0,0,0,0.123034808676594,0,0,0,0,0.0915626407625186,0,0,0,0,0.0320424116059704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0106133143167885,0,0,0,0,0,0,0
