,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X601898.SH,X600188.SH,X600019.SH,X600011.SH,X601600.SH,X600886.SH,X600585.SH,X600547.SH,X600660.SH,X600795.SH,X000792.SZ,X600362.SH,X600489.SH,X000708.SZ,X600010.SH,X600027.SH,X600803.SH,X600160.SH,X600111.SH,X002460.SZ,X601991.SH,X600426.SH,X000301.SZ,X000983.SZ,X601699.SH,X000807.SZ,X600219.SH,X002128.SZ,X002466.SZ,X000630.SZ,X000786.SZ,X000933.SZ,X601168.SH,X600176.SH,X600985.SH,X000408.SZ,X600096.SH,X000877.SZ,X000883.SZ,X002353.SZ,X000027.SZ,X002409.SZ,X000932.SZ,X002271.SZ,X600282.SH,X600348.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.660948740274429,0,0,0,0,0.0168621494831991,0.0674755729128569,0,0,0,0,0,0,0,0.0836305030292551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0604983588251116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0
X601088.SH,0.317107671941219,0,0,0,0.0763929050930506,0.166223066668481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0957440407175186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00785620557431526,0,0.022288968926442,0,0,0,0.0483938984858862,0,0.0282347808603284,0,0,0,0,0.0085060905516596,0,0
X600028.SH,0.502166493626894,0.0569531203668031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00109145699928374,0,0,0,0,0,0,0.0409825753838826,0,0,0,0,-0.0246920400134945,0.0145182465917157,0,0,1.73472347597681e-18,0,0.00667384800229316,0,0,0,0,0,0,0
X600309.SH,-0.2009459854058,0,0,0,0,-0.015478030026558,0,0,0,0,0,0,0.002356939606329,0,0,0.0556673732139278,0,0,0,0,0.0722490300099717,0,0,0,0,0.0926492055051213,0,0,0,0,0,0,0,0,0.0140818320802987,0,0,0,0,-5.42101086242752e-20,0,0,0,-0.0244616497821491,0,0,0,0.197088981417185,-1.73472347597681e-18,0,0,-0.0139495480693241,0,0,0,0,0.00696387569100154,0,0
X601898.SH,0,0,0,0,0,0.131051168683776,0,0,0.0391663980848894,0,0,0,0,0,0,0,0,0.0708727787804258,0,0.0314257778995373,0,0,0,0,0,0,0,0,0.255791265491997,0,0,0.0293375457207497,-0.0253779413435486,0,0,0,0,0,0.207373281642242,0,0,0,0,0,0,0,0,0,0,0.00466301613574767,0,0,0,0,0,0,0,0,0
X600188.SH,0.172676986675289,0,0,0,0.186887438661345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0314809062632154,0.305442306157014,0,0,0,0,0,-0.0567013978835631,0.0402363590714,0,0,0,0,0,0,0,0,0,0,0,0,0,0.205420622308088,0,-0.0539148656137939,0.0157614695700052,0,0,0,-0.0357404794181088,0,0
X600019.SH,0,0,0,0,0.086310030194908,0,0,0,0,0,0,0,0,0,0,0,0,0.147919709582504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0811851310468094,0,0,0,0.0501072794682272,0,0,0,0,0,0.266166509690555,0,0,0,0,0.0226893962497987,0,0,0,0,0,0,0
X600011.SH,0.0478980733865538,0,0,0,0,0,0,0,0,0,0,0,0,0.148921094215456,-0.00615338187696584,0,0,0,0,0.214887253741836,0,0,0,0,0.332460241842071,0,0,0,-0.0720986907195564,0,0,0.051922225429142,0,0,0,0,0,0,0,0,0,0,0.069293540803744,0,0,0,0,0,0,0,0,0.0483158812447574,0,0,0,0,-0.0736337472686234,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120067310109096,0,0,0,0,0,0,0,0.264463475405776,0,0,0,0.261253596097051,0,0.285549730632952,0.053771043666187,0,0,0,0,0,0.103487468774,0,0,0,0,0,0,0.026448214224431,0,0,0,0,0,0,0,0,0
X600886.SH,0,0,0,0,0,0,0,0.111106513367005,0,0,0,0,0,0.112120148833245,0,0,0,0,0,0,0,-0.12712818367556,0,0,0.0202747048123523,0,0,0,0,0,0,0,0,0,-0.0519180490527721,-0.0340993842068898,0,0,0,0,0,0,0.134189992035708,0,0,0,0,0,0,0.013244535245315,-0.10521636184809,0,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0.124348597374934,0,0,0,0,0,0.127966085420743,0,0.01911939309037,0,0,0,0,0,0,0,0,0,0.000508162147268832,0,0,0,0.0235340811147314,0,0,0,0,0,0.0343627349903485,0.0858876052960381,0,-0.0992753229473201,0.0793155108542478,4.33680868994202e-19,0,0,0,0,0,0,0,0,-0.0419337286353346,0.0373312753705998,-0.0218401259005456,0,0,0,0.0468833086474119,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0180967737924805,0.710469270815314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0181960894769104,0.151416819160221,0.0153323032518211,0,0,0,0,0,0,0,0,0,0,-0.0715470887866159,0,0,0,-0.0532398164683816,0,0,0,0,0,0,0
