,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600011.SH,X600309.SH,X600010.SH,X601898.SH,X600660.SH,X600688.SH,X601991.SH,X601600.SH,X600188.SH,X600547.SH,X600886.SH,X600795.SH,X600362.SH,X000898.SZ,X002466.SZ,X600027.SH,X601992.SH,X000629.SZ,X600516.SH,X600111.SH,X600176.SH,X002460.SZ,X600299.SH,X300072.SZ,X000709.SZ,X000825.SZ,X600339.SH,X600808.SH,X600352.SH,X000553.SZ,X600583.SH,X600801.SH,X002110.SZ,X600426.SH,X601158.SH,X000786.SZ,X000883.SZ,X000301.SZ,X600219.SH,X000932.SZ,X000792.SZ,X000408.SZ,X601699.SH,X600489.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.227696854587398,0,0,0,0.10766606847995,-0.0295338582519745,0,0,0,0,0,0,0,0,0,0,0,0,-0.0593170655855859,0,0,-0.0596408827131788,0,0,0,0,0,0,0,0,0.17511587459858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.12782568280687,0.0235656871063936,0.0197288921852621,0,0,0,0,0,0
X600028.SH,0,0,0,0,0.327070103943375,0,0,0,0,0,0,0,0,0,0,0.0126320775696676,0,0,0,0,0,0,0.0399406545791216,0.0160139507984849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0587581946868917,0,0,0,0,0,0,0,0,-0.105086734946589,0.0140362300564883,0.0136387920437001,0,0,0,0,0,0
X601088.SH,0,0.0929952356491907,0,0,0,0,0.0257986583049099,0,0,0,0,0,0.041499085898315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013482759174462,0,0,0,0,0,0.0720168697266281,0,0,0,0,0,0,0,0,0,0,0.366155031213745,0,0,-0.0142843017628053,-0.0318126718556415,0,0,0,0,0,0
X600585.SH,0,0.115358772065731,0,0,0.0735895149009679,0,-0.0392763021801344,0,0,0,0,0,-0.0573922441824819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0403247344080657,0,0,0,0,0.300547107737163,0,0,0,0.407540906706369,0,0,0,0,0.0282400060898921,0,0,0,0,-0.0140804570109451,-0.0131863918911979,0,0,0,0,0,0
X600019.SH,0,0,0,0.108105338384693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.452779004709119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0596270909784468,0.00618628954205953,0,0,0,0,0,0,0.0413162651446414,0,0,0,0,0,-0.00118071816982511,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0261347088301348,0.121316415796446,0,0,0,0,0.765098962176211,0,-0.0373282907595577,0,0,0,0,0,0,0,0,0,0,0.0428904360068777,0,0,0.0396462568700721,0,0,0,0.0188056115911323,0,0,0,0,0,0,0,-0.0873017913048899,0,0.0212517237715855,0.0304402493071564,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,-0.343831050516456,0,0.156619586621522,0,0,0,0,0.086007955339986,0,0,0,0,0,0,0,0,0.335820476144974,0,0,0,0.124427873289722,0,0,0.117031807951653,0,0.0388668073538665,0,0,0,0,0,0.140917666015026,0,0.134055394246135,0,0,0,0,0.0140239621233153,0,0,0,0,0.0117753543677313,0.0246028563713291,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0816421628296005,0,0,0,0,0.0705437745548949,0,0,0.110538821808362,0,0.0953741640449469,0,0,0,8.67361737988404e-19,0,0,0.0515722007255629,0,0,0,0,0,0,0.0473960113560314,0,0,0.0276588319028083,0,0,0,0.032908567988596,0.0634805194305072,0,0,0,0,0,0.0061980750695281,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.278686862646277,0,0,0,0,0,0,0,0,0,0,0.0390570914766482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.281125762050995,0,0,0,0,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0.100004035697667,0.11439254422343,0,0,0,0,0,0,0,0.0518310921240504,0,0,0,0,0.13919276979397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0420887978165368,0,0,0.100349575579951,0,0,0,0,0,0,0,0.130430938515241,0,0,0.00196855535577896,-0.0139994940921498,-0.0142609653000807,0,0,0,0,0,0
