,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X601898.SH,X600019.SH,X600011.SH,X600886.SH,X601600.SH,X600585.SH,X600547.SH,X600660.SH,X600795.SH,X000792.SZ,X600362.SH,X600027.SH,X600489.SH,X000708.SZ,X600160.SH,X600803.SH,X600010.SH,X600111.SH,X002460.SZ,X000983.SZ,X601991.SH,X600426.SH,X601699.SH,X000301.SZ,X002466.SZ,X002128.SZ,X000786.SZ,X000877.SZ,X000807.SZ,X000630.SZ,X600219.SH,X000933.SZ,X600985.SH,X601168.SH,X600176.SH,X000883.SZ,X000408.SZ,X600096.SH,X600348.SH,X000027.SZ,X002353.SZ,X002271.SZ,X000932.SZ,X600282.SH,X002409.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.139704422541848,0.579166060923377,0,0.00192141392428889,0,0,0.0784062580089473,0,0.160196534495833,0,0,0,0,-0.0730235909627024,0.0337120628664587,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.00924862770647706,0,0,-0.113817963883763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601088.SH,0.293112620685468,0,0,0,0,0,0,0,0,0,0,-0.00850088926651041,0,0,0.0949592757448857,0,0,0,0,0,0,0,0,0,0.14185375045316,0,-0.0854771474494806,0.152191650731794,0,0,0,0,0,0,0,0,0,0.026563623153431,-0.103486305456017,0,0,-0.00767312159536797,0,0,0,0.0120776451698118,-0.0525827281454602,0,0,0,0,0.0169451415043043,0,0,0,0,0.0168526175360003,0,0
X600028.SH,0.453056580162581,0.0420135600742597,0,0,0,0,0.12836438042302,0,0,0,0,0,0,0,0,0,0,0,0.00603731684482996,0,0,0,0,-0.157100849824454,0,0,0,0,0,0,0,-0.0148186240205641,0,0,0,0,0.0262755768360819,0,0,0,0,0.0452293636978275,0.0207177812943915,0,0,0,0,0,0,0,0,0,-1.65425860261337e-05,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100181356946346,0,0,0,0,0,0,0,0,0,0,0.0681681756724131,0,0,0,0,0.0547953313456457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0469086802752789,0,0.0627672822384145,0,0,-0.0547534326491035,0,0,0,0,0.0251403872740232,0,0
X600188.SH,0,0,0,0,0,0.113758479866176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0510686115476509,0,0,0.203931369921108,0,0,0.0288473733967861,-0.230284289983925,0,0,0,0,0.012022377351179,0.209376577119241,0,0,0,0,0,0.0633384992111228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601898.SH,0.023840715723621,0.00076262091639072,0.00497243510179821,0,0.0455366037235446,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0786576777050407,0.0512535438480571,0,0,0,0,0,0,0,0.17471676986561,0,0,0.0284542260288186,0,0,0,0,0,0,0.340573940558509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0.0656171720189417,0,0,0,0.0763782013589865,0,0,0,0,0,0,0,0,0,0.00617969648286939,0,0,0.116185238931255,0,0,-0.00869395673957988,0,0,0,0,0,0,0,0,0,0.0210375629081901,0,0,0,0,0,0,0,0.0226826448216454,0,0,0,0,0,0,0,0.368713647360903,0.190340388477589,0,0,0.0243193755968353,-5.42101086242752e-20,0,0,0,0,0,0
X600011.SH,0.151292193037142,0,0,0,0,0,0,0,0,0,0,0,0,0.246842516509645,0,0,0.249575091885226,0,0,0,0,0,0,0,0,0.320132559631684,0,-0.063499439833908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000746705382260961,0.0818275716130006,0,0,0,-0.0872729728531942,0,0
X600886.SH,0,0,0,0,0,0,0,0.0456063988136755,0,0,0,0,0,0.209309104244024,0,0,0,0,0.0510355949367659,-0.138646546073031,0,0,0,-0.0388270901833391,0,0.0254446555367936,0,0,0,0,0,-0.0447315486665881,0,0,0,0,-0.0656027524218054,0.0378971770307269,0,0,0,0,0,0,0,0,0,0,0,0,-0.115913266533643,0,0,0,0,0,0,0,0
X601600.SH,0.073931809356068,0,0,0,0,0,0,0.0879063330601917,0,0,0,0,0,0,0,0,0,0,0.0182160092522016,0.102397723970236,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0582250540617814,0.0278622986100457,0,0.282361629495433,0,0.273747244475618,0,0,0,0,0,0,0,0,0,0.176453244236381,0,0,0.0188474718320606,-0.0114069706849228,0,0,0,0,0,0
