,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X002460.SZ,X002466.SZ,X600585.SH,X000792.SZ,X601898.SH,X600019.SH,X600011.SH,X600660.SH,X600111.SH,X600010.SH,X600547.SH,X000708.SZ,X000301.SZ,X002271.SZ,X000877.SZ,X600886.SH,X600795.SH,X601600.SH,X600426.SH,X600362.SH,X600027.SH,X601699.SH,X600176.SH,X600803.SH,X000983.SZ,X601991.SH,X000408.SZ,X600160.SH,X000629.SZ,X000786.SZ,X600348.SH,X000723.SZ,X600219.SH,X600995.SH,X600096.SH,X600489.SH,X600378.SH,X000933.SZ,X600157.SH,X000807.SZ,X600985.SH,X002353.SZ,X600688.SH,X600141.SH,X002192.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.489804176072371,0,0,0,0,0,0,0.138333904569993,0,0,0,0,0,0,0,0,0,0,0,0,0.0187626847281872,0,0,0,0,0,0,0.00388109863279272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00671517563738153,0.171319090404047,0,0,0,0,0,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0.45065958900811,0,0,0,0,0.15429617438745,0,0,0,0,0,0,0,-0.021213540073888,0,0,0,0,0,0,0,0,0,0.0729683133128247,0,0.0301168165831555,0,0,0.0200135847301165,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047406066735732,0,0,0,0,0,0,0,0,0,0,0,0
X600028.SH,0.434375114874931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00447393346616809,0,0,0,0,0,0,0,0,0,0,0.0877972356481994,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0297578592498065,0,0,0.0111417775362697,0,0,0,0,0,0,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,-0.0436123143973313,0,0,0,0,-0.0954064342695444,0,0,0,0,0,0.110498500374787,0,0,0,0,0,0.0997042214753228,0,0.0841520544865583,0.114953938107788,0,0.0767558991111145,0,0,0,0,0,0.2048795729811,-0.0630444842595231,0,0,0,0,0,0.141032038954577,-0.0227228329682294,0,0,0,0,0,0,-0.0618743014321817,0,-0.00256760692083271,0,0,0,0,0,0,0
X600188.SH,0,0.735910936636489,0,0,0,0,0,0,0,0.0981755240133336,0,0,-0.0370167226631002,0,0,0,0,0,-0.0838981061524137,0,0,0,0,0,0,0,0,0,0.186339414987938,0,0.0220491174641826,0,0,0,0,0,0,0,0,0,0,0,0.167089049251606,0,0,0,0,0,0,0,0.0409000308540641,0,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0.349133769607151,0,0,0,0,0,0,0,0,0,0,0.00416587360053825,0,0.0205683460086882,0,0,0,0,0,0,-0.0483622229500063,0,-0.0624667637806194,0,0,0,0,0.0905415159487971,0,0,0,0,0,0,0,0,0,0,0.0574083975992824,0,0,0,0,0.107446284626719,0,0,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0.580310651804273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112491583325442,0,0,0,0.00545487986800399,0.406312222579823,0,0.0253932333346562,0,0,0,0,0,0,0,0,-0.1121283608955,0,0,0.0732894431951373,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0.0669711817015929,0,0,0,0,0.0866632967423536,0,0,0,0,0.0813507462800637,0,0,0,0,-0.061061011924334,0,0,0,0.0161639893908823,0,0,0,0.446749962934064,0,0,0,0,0.0420922478075044,0,0,0,0,0,0.055780193784357,0,0,0,0,0,-0.0171880418906039,0,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0.164176975481711,0,0,0,0,0,0,0,0.14561731063389,0,0,0,0,0,0,0,0,0.0517769869016104,0,0,0,0,0,0,0,0,0.285715118850997,0,0.0387861297092182,0.121693346320322,0,0,0,0,0,0,0,0.0078256012917847,0,0.128093808873151,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0.0535045539627194,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0449339610454524,0,0,0,0,0,0,0,0.148095546895708,0,0.161351061654699,0.341031444294491,0,0,0,0,0,0.0796317354513931,0,0,0,0,0,0,0.0470909805761063,0,0,0,0,0,0,0,0,-0.00185658571616595,0,0,0,0,0,0,0
