,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600010.SH,X600585.SH,X601600.SH,X600011.SH,X600309.SH,X601898.SH,X600795.SH,X601992.SH,X002466.SZ,X600688.SH,X600362.SH,X600188.SH,X600111.SH,X601991.SH,X600547.SH,X600516.SH,X002460.SZ,X300072.SZ,X600660.SH,X000898.SZ,X000709.SZ,X600886.SH,X600157.SH,X600027.SH,X600808.SH,X600339.SH,X000959.SZ,X600489.SH,X000723.SZ,X600549.SH,X000983.SZ,X600219.SH,X600352.SH,X002092.SZ,X601699.SH,X000807.SZ,X000553.SZ,X000408.SZ,X601158.SH,X000630.SZ,X600299.SH,X000883.SZ,X000792.SZ,X600008.SH,X000825.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600795.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00150279697468057,0,0,0,0,0,0
X601992.SH,0,0,0,0,0,0.124677132972675,0,0,-0.10207774120278,0,0,0,-0.131157850547251,0,-0.00207729687674177,0,0.06919918811405,0,0,0.0362430932724171,0,0,0,0.216381883563122,0.0741919636405724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0361467509268463,0,0,0,3.71912412754094e-05,0,-0.0165467611672545,0.577619689181257,0,0,0,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00601685773470392,0.457091038764805,0,0,0,0,0,0,0,0.00528694779597476,0,0,0,0,0.0522007445370634,0,0,0,0,0,0,0,0,0,0,0,0,0.0306566178795327,0,0,0,-0.0156291452009542,0,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0.106150030089841,0,0,0.183931413043231,0,0,0,0,0,0,0,0,0,0,-0.0395200527492916,-0.0242878557437785,0,0,0,-0.0856422052172502,0,0,0,0.0585866405581757,0,0,0,0,0,-0.0283515156421321,0,0,0,0,0.0861761263250516,0,-0.282817443161217,0,0,0.106409454640987,0,0,0,0,0,-0.00557412183360612,-0.0200002767370874,0.0331596485644253,0,0,0,0,0
X600362.SH,0,0,0,0,0,0,0.0191296643381939,0,0,0.12734160538997,0,0,0,0,0,0.33927456780539,0.122118009449285,0,0,0,0,0,0,0.0757820033543885,0,0,0,0,0.0045911808699185,0,0,0,0,0,0.0794151420881175,0,0,0,0,0,0,0,0,0.0374504172841074,0,0,0,0,0,0,-0.0197396733335793,0,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0.107183546181991,0,0,0,0,0,0.064416264559919,0,0,0,0,0,0,0,0.123653512714932,0,0,0,0,0,0.288327460298688,0,0,0,0.198327299617077,0,0,0,0,0,0,0,0,0,0,0,-0.0157396634337749,0.0196480554683806,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116223225021397,0,0,0,0,0,0,0,0,0,0,0,0,0.285353360462079,0.0814105780881,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146484265496517,0,-0.0342367913348066,0,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0245099159738071,0,0,0.0871175877554519,0,0,0,0.0878370995151174,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0.0264432744378122,0.121874318150346,0,0,0,0,0,0,0.0838865532816721,0,0,0.00374885231699351,0.00810637655570377,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0301843201732489,0.00828890659401717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.573930712898909,0,0,0,0,0.0206155606511652,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0052896053623861,0,0,0,0,0,0,0
X600516.SH,0,0,0,0,0,0,-0.256768573842882,0,0,0,0,0,0,0,0,0,0,0,-0.232026301771517,0,0.181820289776623,0,0,0,0,0,0,0,0,0,0,0,0,0.555915018150407,0,0,0,-0.113381973054015,0,0,0,0,0,0,0,0,0,0,0,0,0.00446451737911136,-0.0978007326889145,0,0,0,0,0,0
