,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X600688.SH,X601898.SH,X601600.SH,X600795.SH,X601991.SH,X600027.SH,X600188.SH,X600362.SH,X600111.SH,X601992.SH,X600886.SH,X600157.SH,X600623.SH,X600299.SH,X600547.SH,X600660.SH,X601158.SH,X002466.SZ,X600352.SH,X600309.SH,X000792.SZ,X600489.SH,X600583.SH,X000709.SZ,X000539.SZ,X000898.SZ,X000883.SZ,X000027.SZ,X000629.SZ,X000630.SZ,X002075.SZ,X300072.SZ,X000959.SZ,X600021.SH,X002470.SZ,X000060.SZ,X000983.SZ,X600176.SH,X600578.SH,X600612.SH,X600022.SH,X600098.SH,X601699.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600886.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163569820306896,0,0.103333881672086,0,0,0,0.0121485162342614,0,0,0.00671359737242483,0,0.040835301887622,0,0,0,0,0,0.0187257979514209,0,0,0,0,0,0.0152696801868041,0,0.0433701944917271,0,0,0,0.0794987933043204,0.116925695917168,0,0,0,0,0,0,0,0,0,0
X600157.SH,0,0,0,0,0,0,0,0,0.039295479200867,0,0,0,0,0,0,0,0,0,0,0.00654271025626935,0,0,0,0,0,0.140824189014828,0,0.0837239389825309,0,0,0,0,0,0,0.31960260329222,0,0,0,0,0,0.0197067430091155,0,0.146206266942506,0,0,0,0,0,0.0931441575296138,0,0,0,0,0,0,0,0,0,0
X600623.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.220794258707044,0,0,0,0,0,0,0,0,0,0,0,0,0,0.609306411753999,0,0,0,0,0,0,0,0,0,0,0,0,-0.0529195990714323,0,0,0,0,0,0,0
X600299.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0522876366439572,0,0,0,0,0.059650554397482,0.372724212050291,0,0.0973307982843775,0,0.0377033134897485,0,0,0,0,0,0,0,0,0,0,0,0.0165072902339684,0.140387590291112,0.152453570619546,0,0,0,0,0,0,0,0.00996834269222547,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.928919030904703,0,0,0,0,0,0,0,0,0,0.0357835511152899,0,0,0,0.0876343447251093,0,0,0,0,0,0,0,0,0,0,-0.000306918539435887,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0,0,0,0.0672252103101161,0,0,0,0,0,-1.73472347597681e-18,0.0862594365165071,0,0,0,0,0,0,0,0,0,0,0,0,0.0945211681098675,0.0149476469070026,0,0,0,0,0,0,0,0,0.0417284832118589,0,0,0.0214059901557666,0,0.0414383700423711,0,0,0.123961835629623,0,0,0,0.00461906145573491,0,0,0,0,0,0,0
X601158.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0731192284071078,0.0334093468654602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148166590994869,0.033155121941731,0.00828520005863619,0.158046568291437,0.0947529919425205,0.0309349274580093,0,0,0,0,0.254503392567911,0,0,-0.00202715936105751,-0.0062894249409231,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146569243452913,0,-0.161649161117786,0,0,0,0,0,0.280015328398921,0,0,0,0,0,0,0,0,0.733801118114499,0,0,0,0,0,0,0,0.0175833492760417,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600352.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0958121625062794,0,0,0,0,0,0,0,0,0.0431230771283491,0,0,0,0,0,0,0.378106717109073,0,0,0,0,0,0,0.172444103329382,0,0.0199898948748165,0,0,0,0,0.0190928507875913,0.146391823258041,0,0,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0.0673069412335282,0,0,0,0,0,0,0,0,0,0,0.00541701106145811,0,0,0,0,0.0327872658589691,0.0489291568571154,0,0.0182938611049917,0,0.149747853689397,0,0,0,0,0,0.048514665700234,0,0,0,0.0300953076557637,0,0,0,0,0,0,0.130946076914404,0,0.153084251258379,0,0,0,0,0,0,0,0,0,0
