,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600011.SH,X600585.SH,X600019.SH,X002460.SZ,X002466.SZ,X601898.SH,X000792.SZ,X600547.SH,X600886.SH,X601600.SH,X600111.SH,X600660.SH,X600010.SH,X000708.SZ,X000301.SZ,X600795.SH,X000877.SZ,X002271.SZ,X600803.SH,X600362.SH,X600426.SH,X601991.SH,X600027.SH,X601699.SH,X000983.SZ,X600176.SH,X600489.SH,X000807.SZ,X000786.SZ,X600995.SH,X600160.SH,X000408.SZ,X600219.SH,X300037.SZ,X000629.SZ,X000539.SZ,X600378.SH,X002080.SZ,X600985.SH,X600688.SH,X600612.SH,X600348.SH,X000932.SZ,X002409.SZ,X600157.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.551765731204518,0,0,0.035480389114984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134237091681605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0791042397961798,0,0,0,0,0,0,0
X600028.SH,0.638733155731858,0,0,0,-0.116059576357536,0,0,0,0,-0.0450354120486236,0.0755495175970661,0,0.108762738171301,0,0,0,0,0,0,0,0.0208195652006428,0,0,0,0,0,0,0,0,0,-0.0143798075310021,0,0,0,0,0,0,0,-0.0178997926087612,0,0,0,0,0,0,0,0,0,-0.0010191535972921,0,0,0,-0.0160309634318864,0,0,0,0,0,0
X601088.SH,0.0543126021815452,0,0,0,0,0,0,0,0,0,0.03471831917465,0,0,0,0.235251215890024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0539562022020756,0,0,-1.73472347597681e-18,0.0231862195097458,0,0,0,0,0,0,0,0,0,0,0,0,0.00437581360696181,0,0,0,0,0,-0.0263178683561929,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,-0.126713452982123,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0281561879027526,0,-0.0589958261259015,0,0,0,0.248545095521518,0,0,0,0,0,0,0.133102666427408,0,0,0.00402716798112341,-0.0279957631866403,0,0.0122714126541023,0,0,0,0,0,0,0,0,0,0,0,0,-0.054889900180863,0.0422806631536122,0,0,0,0,0,0
X600188.SH,0.105996341789211,0,0,0,0,0,0,0,0.0518539647808057,0,0.0871161284138605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0346326221926076,0.375237932552063,0,0.00260961009455793,0.0124683425616835,0,0,0,0,0,0,0,-0.0593438192595651,0,0,0.161053618078261,0,0,0.00440950406846403,0,0,0,0,-0.0304697542476865,-0.051561956058838,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0.0742349992386376,-0.0570094742264977,0,-0.254710638293649,0,0,0,0,0,0,0,0,0,0.388013046376697,0,0,0,0,0,0.152130046801154,0.206564413527286,0,0,0,0,0,0,0,0.00565591268018256,0,0,0,0,0,0,0.0701138188800106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600585.SH,0.0130605265445735,0,0,0.0811354073466644,-0.0149724520130262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.271466176748273,0.0916359120575891,0,0,0,0,0,0,0,0.00874547327291312,0,0.0896460550171316,0,0,0,0,0,0.027542025792123,0,0.0324474794814579,0,0,0,0,0,0,0,0,0,0,0,0.0183002887599883,0,0,0,0,0,0
X600019.SH,0.0596079582576629,0.0101401102247884,0,0,0.116867066578801,0,0,0,0,0,0,0,0.14390173582537,0,0,0,0,0,0,0,0,0.0255838249872807,0,0,0.080957649544362,0,0.110592644105238,0,0,0,0,0,0.0200762844609091,0,0,0,0,0,-0.0403712140835216,0,0.00170034843452535,0,0,0,0.107167307036225,0,0,0,0,0,0,0.081903392208715,0,0,0,0,0,0,0
X002460.SZ,-0.00558180822583437,0,0,0,0,0,0,0,0,0.405492447893614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0187374264669789,0.10674478063911,0,0,0.163632465739487,0,0,0,0,0,0,0,0,0,0,0,0,-0.0319658601714946,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0,0,0.529694056741546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0281642473801644,0,0,0,0,0,0,0,0,0,0,0.150114850019004,0,0,0.100182942041897,0,0,0,0,0,0.0156034699851213,0,0,0.0181363155352057,0,0,0,0,0,0,0
