,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600585.SH,X600019.SH,X002460.SZ,X600011.SH,X002466.SZ,X000792.SZ,X601898.SH,X600547.SH,X600111.SH,X601600.SH,X000301.SZ,X600660.SH,X000708.SZ,X600010.SH,X002271.SZ,X600886.SH,X000877.SZ,X600426.SH,X600362.SH,X600795.SH,X600803.SH,X601699.SH,X600176.SH,X600027.SH,X601991.SH,X000983.SZ,X600489.SH,X000807.SZ,X600160.SH,X000786.SZ,X600995.SH,X000629.SZ,X600378.SH,X002080.SZ,X000723.SZ,X600219.SH,X600096.SH,X000933.SZ,X000408.SZ,X000932.SZ,X300037.SZ,X600688.SH,X600157.SH,X600141.SH,X000630.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.244374177610017,0,0,0,0,0,0,0,0,0,0,0,0,0.167947565777229,0,0,0,0,0.0926394094194899,0,0,-8.67361737988404e-19,0.0242042766184344,0,0,0.02344821448885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0281619146575785,0,0,0,0,0,0,0,0,0,0.0473394148476592,-0.0667930819341168,0,0,0,0,0,0
X600028.SH,0,0,0.116256441030748,0,-0.130948128644289,0,0,0,0,0,0,0.330647395733851,0,0,0.0437413989847521,0,0,0,0,0.0394892750771613,0,0.00741748988846712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0227843940570118,-0.0114819395792753,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0.0373027243776503,0,0,0.176750326741478,0,0,0.107179716333885,0,0,0,0,0.0232206154514408,0,0,0,0,0,0.00899996852027146,0.114932192422148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0025468916818444,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,-0.0298909385012064,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0.0920781538411537,0.219535413064063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0298197467688304,0,0,0,0,0,0,0.032778872371186,0.16010670676528,0,0,0,0,-0.0143209411116793,0.068760698884696,0,0,0,0,0,0
X600188.SH,0,0,0.27712555316256,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.188276715997877,0,0,0.00563556988208755,0.0410314281057033,0,0,0,0,4.33680868994202e-19,0.0239857421662648,0,0,0,0.231828413359971,0,0.156855819278968,0,0,0,0,0,0,0,0,0,0.123640330360701,0,-0.0924238203824559,0,0,0,0,0,0,-0.00654455967555734,-1.73472347597681e-18,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0417124375633151,0,0,0,0,0.0531422911592292,0,0.378033508391794,0,0,0,0,0,0,0.0164179309122301,0,0,0,0,0,0.0407520316555449,0,0,0,0,0,0,0.0245744156085144,0.0603511224728199,0,0,0,0,0,0,0,0.0131983799158253,0.0101224346677944,2.16840434497101e-19,0,0,0,0,0,0
X600019.SH,0,0.316979411789257,0,0,0.0527648850786222,0,0,0,0,0,0,0,0,0,0.05867380217024,0,0,0,0,0.0248239903315082,0,0.116129732324406,0,0,0,0,0.0486325248476629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0100868767910987,0,0,0,0,0.0420489182108402,0,0.0387487685128202,-0.0279697263442979,0,0,0,0,0,0
X002460.SZ,0,-0.0227280879512664,0,0,0,0,0,0,0,0.614867192835536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0644665129830836,0,0,-0.0305804051267039,-0.0446008464152973,0,0,0,0.0613498513779884,0,0,0,0.00515533917464349,0.191800083980557,0,0,0,0,0,0,0,-0.0107189661724793,0.0258420240598201,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0208610259789357,0,0,0,0,0,0.534850882219559,0,0,0,-0.00695290633432653,0,0,0,0,0.112997755547812,0,0,0,0,-0.00748995532273009,0,0,0,0,0,0,0,0,0.0117763631337371,-0.0195905544704083,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0,0.506890067448082,0,0,0,0,0,0.151694289872272,0,0,0,0,0,0,0,0,0,0.0378606148013349,0,0,0,0,0,0,0,0,0,0,-0.00490124618113546,0,0,0.0838963634579622,0,0,0,0,0,0,0,0,0,0,0,0,-0.0169526330340358,-0.0126773396541164,0.0153011362035419,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0,0.163974857627017,0,0,0,0,0,0.0954849546466424,0,0.0101412776748061,0,0,0,0.00321931210317691,0,0,0.0435222850194631,0,0,0,0,0,0,0.0642840430916225,0,-0.0568031033043744,0,0.0669012488819235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00460327094163648,0,0,0,0,0,0,0
X601898.SH,0,0.0650697416042881,0,0.10305822130015,0.104111190725324,0,0,0,0,0,0,0,0,0,0.176621063569679,0,0,0,0,0,0,0,0,0,0,0.0492695007704984,0,0,0.142913414865123,0,0.220390530559568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0121315384462685,-0.0149369114304664,0,0,0,0,0,0
X600547.SH,0,0,0,0,0.0185506190481714,0,0,0,0.0152746293677542,0,0,0,0,0,0.0120251666334101,0,0,0,0,0.140580677619054,0,0.0128358349799096,0,0,0,0,0,0,0,0,0,0.29559277005205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0360187426094057,0,-0.00814007522461416,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0382062821937368,0,0,0,0,0,0.0056904279091766,0,0,0,0,0,0,0.080570838828712,0,0,0,0.201992506398318,0,0,0,0,0,0.0877284633079098,0,0,0.0715384408233826,0,0,0,0,0,0,0,0,0,0,0,0,0
X601600.SH,0,0.0197929818489956,0,0,-0.0632535126837566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184568773290155,0,0.572161707959313,0,0,0,0,0,0,0,0,0.0929398158515148,0,0.0654456455896273,0,0,0,0,0,0,0.104257232707615,0.152949605445727,0,0,0,0,0,0,0,0,0.0532945772449191,-0.0531953047986998,0,0,0,0,0,0
X000301.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141570354484383,0,0,0,0,0,0,0,0,0,0,0,0,0.0762114344973696,0,0.0145042554808874,0,0,0.410995294498919,0.0306711910710192,0,0,0.0160336166755041,0.0857322288192865,0,0,0,0,0.00940987597644888,0.0404543770395448,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0,0.162558651976107,0,0,0,0,0,0,0,0.183790170840961,0,0,0,0.025222088737995,0,0,0,0.0603549485564915,0,0,0.00613780743831776,0,0,0,0,-0.0307394742980515,0,0.0480892528960333,0,0,-3.46944695195361e-18,0,0.0449467857651213,0,0,0,0.0263857305531796,0,0,0,0,0,0.00891610131827884,0,0,-0.00971793359690971,-0.0307604570498464,0,0,0,0,0,0
