,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X600585.SH,X002460.SZ,X002466.SZ,X600019.SH,X000792.SZ,X601898.SH,X600011.SH,X600111.SH,X002271.SZ,X000301.SZ,X600660.SH,X000708.SZ,X600547.SH,X600010.SH,X601600.SH,X600886.SH,X000877.SZ,X600795.SH,X600426.SH,X600362.SH,X000983.SZ,X600176.SH,X600027.SH,X600803.SH,X601699.SH,X601991.SH,X000786.SZ,X600995.SH,X000807.SZ,X600160.SH,X000408.SZ,X000629.SZ,X600489.SH,X600219.SH,X000723.SZ,X002080.SZ,X600378.SH,X600096.SH,X300037.SZ,X000933.SZ,X000630.SZ,X600348.SH,X000831.SZ,X600157.SH,X600688.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.259050997281912,0,0,0,0,0,0,0,0,0,0,0.0599238486672265,0.000417511401049028,0,0,0,0,0,0,0,0,0,0,0.0447212151696839,0,0,0,0,0.0587883917603692,0.0166288316786995,0,0,0,0,0,0,0,0,0,0,0,0,0.0252049583507135,0,0.0526204544758498,0,0,0,0,0,0.0101535686684092,0,0,0,0,0,0
X601088.SH,0,0,0,0,0.496617919250673,0,0,0,0,0,0,0.0467031368275722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0575143885912852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00169419125376504,0.00581961288794782,0,0,0,0,0,0
X600028.SH,0.421719583144929,0,0,0,0.024489545958172,0,0,-0.0249472876956516,0,0,0,0,0,0,0.0330719483537798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0505696696905485,0,0,0,0,0,0,0,0,0,0,0,-0.0225655304573339,0,0,0,0,0,0,0,0,0.0102793028936415,0.00482628894727587,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190691908779828,0,0,0.143378076757171,0,0,0,0,-0.122874087891304,0.034609510086285,0,0,0,0,0,0,-0.0158232666000746,0.308522179642595,0,0,-0.12926674350484,0,-0.0780219780299778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0225088968121438,0,0,0,0,0,0
X600188.SH,0,0.225470240175306,0,0,0,0,0,0,0,0,0.141691890726899,0,0,-0.0244577933709219,0,0,0,0,0,0,0,0,0,0,0,0.161271442311923,0,0,0.111004364254265,0,0.112541828289709,-0.00639519729670779,0,0,0,0,0,0,0,0,0,0,0,0,0.0964593604993556,0,0.16561819392456,0,0,0,0,0,0.0247287093811483,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.241702371934211,0,0.0400636538557157,0,0,0.277909332991697,0,0,0,0,0,0,0,-0.0265385792844238,0,0.275712565232603,0,0,0,0,0,0,0,0,0.093034306128639,0,0,0,0.0428112186130287,0,0,0,0,0,0.0685697321703585,0,0.00225020216167519,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0.581618914695945,0,0,0,0,0.00495346486363155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0108957722800873,0,0,0,0,0,0,0,0,0.0359925557911879,0.137143863844572,0,0,0.0394758442823933,0,0,0,0,0.00794309919092127,-0.00989767887667533,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0.760077333944475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00400490757116625,0,0,0.0517756475788958,0,0,-0.0703394595992964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0397638464159674,0,0,0,0,0,4.33680868994202e-19,0,0.0285444437785897,0,0.0796865040938107,0,0,0,0
X600019.SH,0,0,0,0,0,0.0647993719339965,0,0,0,0,0.203037489110374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00420748697741831,0,0.175093497013643,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111287798567643,0,0,0,0,0,0.00687854191894587,0,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0.173420496446415,0.162950741896854,0,0,0,0,0.160202023620802,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0240633860915352,0,0,-0.0367592512966148,0,0.0549120827025305,0,0,0,0,0,0,0,0,0,0,0,0.172805042165268,0,0,0,0.0376160018479931,0,0,0,0,-0.0147695858518318,0,0,0,0,0,0
X601898.SH,0,0,0,0,0.342217279619234,0,0,-0.0342965208641274,0,0,0,0,0,0,0,0,0,0,0,0.00100870561526031,0,0,0,0,0,0.206763044471696,0,0,0,0,0,0,0,0,0,0,0.0583364811437196,0,0,0,0,0,0,0,0.0643850271361629,0,0,0,0,0,0,-0.0010962631827353,-0.0047579300246547,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375885286459466,0,0,0,0,0,0,0.28289701256931,0.159851316543724,0,0.444419651205361,0,0,0,0.152933171116088,0,0,0,0,0,0,0,0,0,-0.0332504965308967,0,0,0,0,0,0,-0.036304478172726,0.0233897014064035,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0.0666234375071507,0,0.0218767656886405,0,0.123175615574809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000339513106718132,0,0,0.0294813490046594,0,0,0.00471292864375696,0,0,0.184109279299966,0,0,0.046157257237815,0.0702222716141703,0,0,0,0.210713783616848,0,0,0,0.00324905775568488,0.0303530775974555,0,0,0,0,0,0
X002271.SZ,0,0,0,0,0,0,0,0.0755129611446848,0,0,0,0,0,0,0,0,0,0,-0.110172005631074,0,0,0,0,0.0644598755715797,0,0.0467315623372034,0,0.0317224742734238,0,0,0,0.73969920915127,0,0,0,0,0,0,0,0,0,-0.0845267173002137,0,0,0,0,0,-0.025904847452765,0,0,-0.126919504428382,0.0140220226927931,0.011069554331513,0,0,0,0,0,0
X000301.SZ,0,0,0,0.0262101954699766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.14793393500851,0.219471074720379,0,0.411476451243806,0,0.0936007696154748,0,0,0,0.055141895139783,0,0,0,0,0,0,0,0,0,0,0,0.191341387766989,0.317956231849467,0.0632687670298984,0.0425835465062625,0,0,0,0,0,0,0.0183561434212439,-1.73472347597681e-18,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.151096122305814,0,0,0,0,0,0,0,0,0.0542906329046298,0,0,0,0,0,0,0,0,0,0,0,0.184379092519211,0,0,0,0,0,0,0.0272518050348414,0,0,0,0,0,0,0,0,0,0,-0.0137075302722754,-0.0057828199666099,0,0,0,0,0,0
