,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X002466.SZ,X002460.SZ,X600585.SH,X000792.SZ,X601898.SH,X600011.SH,X000301.SZ,X600019.SH,X600111.SH,X600660.SH,X000708.SZ,X600010.SH,X000877.SZ,X600886.SH,X601600.SH,X600547.SH,X600795.SH,X002271.SZ,X601991.SH,X600426.SH,X600027.SH,X600803.SH,X600362.SH,X600176.SH,X000983.SZ,X000408.SZ,X000723.SZ,X601699.SH,X600096.SH,X600348.SH,X000629.SZ,X000786.SZ,X600141.SH,X600219.SH,X000933.SZ,X600160.SH,X600995.SH,X000807.SZ,X300073.SZ,X002353.SZ,X600157.SH,X002080.SZ,X600801.SH,X600985.SH,X600489.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,-0.0589926451539968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190233678214326,0,0,0.135547635545668,0,0,0,0,0,0,0.0364945445196529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0361002172006216,0,0
X601088.SH,0,0,0,0,0.240247107631496,0.207525222421864,0,0,0,0.255227927733896,0.155337315902116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083267133551914,0,0,0,0,0,-0.141792108052409,0,0,0,0,0,-0.0435291722658157,0,0,0,0,0,0,0,0,0,0.00343389970644147,0.00907506035059772,0,0,0,0,0,0
X600028.SH,0,0,0,0.0417162210380697,0,-2.16840434497101e-19,0,0,0,0.0146259514427568,0,0,0,0,0,0.0320180024455766,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0651470539020233,0,0,0,0,-0.0103284878455699,0.00374532692165272,0,0,0.0241190319509946,0,0,0,0,0,0,0,0,0,0,0,0,0.0116531325512257,-0.00373402448839199,0,0,0,-0.0164824793815861,0,0
X600309.SH,0,0.0882456149238025,0,0,0,0,0,0,0,0.0458086404232352,0,0,0,0,0,0.017610678894633,0,0,0,0,0,0,0,0,0,0,0,0,0.053323355425356,0,0,0,0,0,-0.00905201687559336,-0.0131956109612274,0,0,0,0,0.0582019927379659,0.0328781983261082,0.0279961194042163,0,0,0,0,0,0.0251024140602287,0,0,0,0,0,0,0,0,0,0
X600188.SH,0,0.041073199251379,0,0,0,0,0,0,0,0.579384130014736,0,0,0,0,0,-0.0161225809944982,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167611000018019,0,0,0.103598615401472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0.459388252379238,0,0.0540671408762203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0942386622973574,0,0,0,0,0.504683498952134,0,0,0,0,-0.133955617822546,0,0,0,-0.0393797973132477,0,-0.0121988799116779,0,0,0.038207952820926,0,0.0849347825843038,0,0,0,0,0,-0.00936264778867383,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0.290123088902733,0,-0.0677322310751357,0,0,0,0.0959944611533834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.178408421594849,0,0,0,0,0.212929679632694,0,0,0,0.0113409754319781,0,0.152455951779781,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0.0503782850197793,-0.0442340731187464,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0.0460551039757402,0,0,0,0,0.0201147629683367,0,0,0,0,0,0.00982252731607715,0.0352327144135474,0,0,0,0,0,0,0.0183559017840763,0,0.0596749940188732,0,0.0590667146184486,0,0,0,0,0,0,0.0136710376601299,0,0,0,0,0,0.0157037997122044,0.358920359163821,0,0,0,0.0407217961693785,0.00170789686192532,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0.248786005671183,0.128623668973746,0,0,0,0.0959436912350302,0,0,0,0,0,0.0459052443538962,0,0,0.088590256880877,0,0,0,0,0,0,0,0,0,0,0.122791734975359,0,0,0,0.0578028479118785,0,0.0663339534390339,0,0.10101413414787,0,0,0,0,-0.0450995769061305,0,0,0,0,0,0,0,0,0.0388788723135956,0,0,0,-0.0811174550990635,0,0
X601898.SH,0,0,0,0,0.0419033734753062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0296740833765737,0,0,0,0,0,0,0.429377809958812,0,0,0,0.150335491418288,0,0,0,0,0,0,0,0,0,0,0.171027014028929,0,0,0,0,0,0,0,-0.0287235189875717,0,0,0,0,0,0
