,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600010.SH,X600660.SH,X601898.SH,X601991.SH,X600188.SH,X002466.SZ,X600688.SH,X601600.SH,X600795.SH,X600886.SH,X600362.SH,X300072.SZ,X600516.SH,X000898.SZ,X600027.SH,X600547.SH,X002460.SZ,X600352.SH,X600111.SH,X600176.SH,X000553.SZ,X601992.SH,X000786.SZ,X002110.SZ,X600426.SH,X000709.SZ,X600299.SH,X600801.SH,X600808.SH,X000408.SZ,X000883.SZ,X000932.SZ,X601158.SH,X000830.SZ,X600315.SH,X600219.SH,X002271.SZ,X601699.SH,X000792.SZ,X601003.SH,X000539.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.131748842292499,0,0,0,0,0,0,0,0,0,0.11994679169275,0,0,0,0,0,0,0,0,0,0,0.00962696901985115,0,0,0,0,0,0,0,-1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0.181380658886543,0,0,0,0.0240019181422468,0.0719970299360474,0,0,0,0.00942417603366109,-6.80927320933232e-05,0,0,0,0,0,0
X600028.SH,0.155171480824832,0,0.173806457853367,0,0,0,0,0,0,0,0,0.122010903606816,-0.013709897568041,0,0,0,0,0,0,0,0,0,-0.035323333183122,0,0,0,-0.178725603099284,-0.0301813320736333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0155302026591301,-0.000541903699255869,0,0,0,0,0,0
X601088.SH,0,0.209475233529642,0,0.158415566245256,0,0,0,0,0,0,0,0.506199771939637,0,0,0,0,0,0,0,0,0,0,0,-0.00797076978055584,0,0,0,-0.00645246557442727,0,0,-0.109369246811289,0,0,0,0,0,0,0,0,0,0,0,0,0.0244469740283296,0,0,0,0,0,-0.00640610209708821,0,0,0,0,0,0,0
X600585.SH,0,0,0.171758941587944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0592053879314374,0,0,0,0,0.259508496639963,0,0,0,0,0,0,0,0,0.0627845243896778,0,0.0558882475696885,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0.014027529766321,0,0,0,0,0,0.298216275968356,0,0,0,0,0,0,0,-0.0713941111354105,0,0,0,0,0,0,0,-0.0219583522470714,0,0,0.0436046216898503,0,0,0,0.0455751395576653,0,0,0,0.189646701963406,0,0,0,0,0,0,0,0,0,0,0.0221982812150092,0.0202573229851367,0,0,0,0,0,0
X600309.SH,0,0,0.0903801290390533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0310751762730201,0,0,0,0.0102277517783071,0,0,0,0,0,0,0,0,0,0,0,0.0413546576690454,0,0,0,0.0243000562518112,0.0842639941728067,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0.081604303937979,0,0,0,0,0,0,0,0,0,0,0.161177151693832,0,0.0556953526997147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0313851222264022,0.0518777272301485,0,0,0,0,0,0,0,0.0126443493379305,-0.0366511295580193,0,0,0,0,0,0
X600010.SH,0,0,0,0,0.129023687003176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063125016658516,0,0,0,0.057430769961882,0,0,0,0,0,0,0,0,0.0458323737595666,0.0342802131527351,0,0,0,0.33623451450347,0,0,0,0,0,0,0,0,0.0105302884605611,-0.0445953095773683,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,-0.0449465963569621,-0.0022464627181274,0,0,0,0,0.129169698793474,0,0,0,0,0,0,0,0,0,0,0,-0.0288241767515385,0,0,0.100085997807201,0,0,0,-0.0102561486255922,0,0,0,0,0,0,0,0,0,0,0,0,0.0917555311368884,0,0,0,0,0,0,0.00890610175183289,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0.0535664664752358,0,0,0.134838275822288,0,0,0,0,0.0512658138775789,0,0,0,0,0,0,0.094670897041418,0,0.116023573623074,0,0,0,0,0.0219278382743825,0,0,0,0,0,0,0,0,0,0,0,0,0.139823170534428,0,0,0,-0.0134110513419208,0,0,0,0,0,0
