,X601857.SH,X600028.SH,X601088.SH,X600010.SH,X600011.SH,X600019.SH,X601898.SH,X600886.SH,X600585.SH,X600795.SH,X601600.SH,X601991.SH,X600688.SH,X000709.SZ,X600027.SH,X600157.SH,X600111.SH,X600362.SH,X002075.SZ,X600188.SH,X600583.SH,X000898.SZ,X600021.SH,X601158.SH,X000027.SZ,X000539.SZ,X002353.SZ,X600022.SH,X600309.SH,X601992.SH,X600352.SH,X000883.SZ,X000629.SZ,X601918.SH,X600307.SH,X000878.SZ,X600098.SH,X000792.SZ,X600808.SH,X600660.SH,X000060.SZ,X600863.SH,X600547.SH,X600489.SH,X600160.SH,X002470.SZ,X600578.SH,X000825.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.801111409353042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0176631449424851,0.0113240221690103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0401485311039443,-0.0581966467582038,0,0,0,0,0,0
X600028.SH,0.342943297284214,0,0.00287686137378916,0,0,0.253663847280633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0360272106804005,0,0.116836364879757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0104192547974702,0,0,0,0,0,0,0
X601088.SH,0,0.0971126348943133,0,0.151522069384479,0,0,0.128099124444175,0,0,0,0,0.0991305970534651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0617800070751188,0,0,0,0,0,0,0,0,0.0537963293116617,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,-0.0141731726307558,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0.253457523387,0,0,0,0,0,0,0,0,0,0,0.205919418685593,0.03724331942821,0,0.0611614862839211,0,0,0.036994028778721,0.0500854841925272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1223669242114,0,0,0,0,0,0,0,0,0,-0.00961145282051238,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0.194448501963072,0,0,0,0,0.0128591290196016,0,0,0.111689245262363,0,0,0.0130969547478843,0,0,0,0.0534631042232037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0122690548103822,0,0,0,0,0,0,0,0.365672387845679,0,0,0,-0.00552321610189317,0,0,0,0,0,0
X600019.SH,0,0,0.0891956573950018,0,0.134950194704073,0,0,0,0,0,0,0,0,0,0.0497848633191709,0,0,0,0,0,0.062575374522568,0.235531403690937,0,0,6.7762635780344e-21,0,0,0,0,0.192846731619658,0,0,0,0.0385506451708471,0,0,0.00238653517727476,0,0,0,0,0.0312310622276673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0.0127732892307201,0,0,0,0,0,0,0,0,0,0.0278662233324079,0,0,0,0,0,0,0,0,0,0,0,0,0.0894756051061394,0,0,0,0,0,0,0.00604509968647761,0.353142024230891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600886.SH,0.00341145382310049,0,0,0.00400639874196295,0,0,0,0,0,0,0,0,0,0.172785205272023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0117001777023895,0,0,0,0,0,0,0,0,-0.0605908164967164,0.0414149757948907,0,0,0,0,0,0
X600585.SH,0.0147384211569109,0,0,0,0.0611174169416441,0.201503389887104,0.0309729552183624,0,0,0,0,0,0,0,0,0,0.195987748841183,0,0,0,0,0,0,0,0,0,0,0,0.00324827101500084,0.0596463792575272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0329301272812677,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0.0108250764252782,0,0,0,0.175357327412013,0,0,0,0.107291418482078,0,0,0,0,0,0,0,0.132238785090155,0,0,0,0,0.00940996866600438,0,0.0850329687021319,0,0,0,0.000746294304522819,0,0,0,0,0,0,0,0.119723552483795,0.0759510333417038,0,0.0124641997044699,0,0.0860986396491962,0,0,-0.00197134963138695,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0.0769496476797181,0,0,0,0,0,0,0,0.0891067665387259,0,0,0.0695417613514985,0,0,0.0940339909760796,0.0865330669284342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052271504535106,0,0,0.124606807932983,0,0,0,0,0.100164123303968,0,0,-0.00298812791881396,0,0,0,0,0,0,0
X601991.SH,0,0,0,0,0.0339698084274147,0.00565068259552446,0.159144276166012,0,0,0,0,0,0,0,0.0534509170393285,0,0.0491281344351508,0,0,0.230632422144264,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0510353273115973,0,0,0.0312523515209294,0,0.0239099218301184,0,0,0,0,0.00487451387338561,0,0,0.144054818327927,0,0,0,0,0,0,0,0,0,0
X600688.SH,0,0,-0.0678290166801457,0,0,0,0,0,-0.0277317052868952,0,0,0,0,0,0,0,0,0,0,0,0.389462180790327,0,0,0,0.0320981150227106,0,0,0.0566360292603993,0,0,-0.0102943425301978,0,0,0.272765576678853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000709.SZ,0.10413191469935,0,0,0,0,0,0,0.432871453396879,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0459613046383169,0,0,0.0403219792213092,0,0,0,0,0,0,0,0,-0.0222831683817325,0,0,0,0,0,0,0,0,0,0,0.0275070636904072,0,0,0,0,-0.0271837534908745,0,-0.0195488090282464,0,0,0,0,0
X600027.SH,0,0,0,0,0,0,0.155068108957709,0,0,0,0.145997736909961,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0357230702572576,0,0,0,0,0,0,0.160591963029684,0,0.00618103604905124,0,0,0,0,0,0,0,0.138750749081842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600157.SH,0,0,0,0,0,0.0905379562309548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0958399404231952,0,0,0.0481295463859962,0,0.0173801227930374,0.0711963913907552,0,0,0.150831659777707,0,0,0,0,0,0,0.0934753332455284,0,0,0,0,0,0,0.0335978239046127,0,0,-0.0409023333728109,0,0,0,0,0,0
