,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X002466.SZ,X002460.SZ,X600585.SH,X000792.SZ,X000301.SZ,X601898.SH,X600011.SH,X600019.SH,X600111.SH,X600660.SH,X600010.SH,X000708.SZ,X000877.SZ,X600886.SH,X600547.SH,X002271.SZ,X601600.SH,X600795.SH,X600803.SH,X600426.SH,X600176.SH,X600362.SH,X601991.SH,X000629.SZ,X600027.SH,X600348.SH,X000983.SZ,X000408.SZ,X600096.SH,X000723.SZ,X600160.SH,X601699.SH,X300073.SZ,X600141.SH,X000786.SZ,X600219.SH,X002080.SZ,X600157.SH,X600549.SH,X002353.SZ,X600378.SH,X600295.SH,X000807.SZ,X000933.SZ,X600399.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,-0.00128818745963348,0,0,0,-0.0183658500326525,0,0,0,0,0,0,0,0,0,0,0,-0.0564980865277289,0,0,0,0.33502314079285,0,0,0,0,0,0,0,-0.121524585487066,0,-0.0150676652643608,0,0,0,0,0,0.0937417368899696,0,0,0,0,0,0,0,0,-0.0118910048823262,0,0
X601088.SH,0,0,0,0.0245190258293903,0.3142752766292,0.181674342750363,0,0,0,0,0,0.00761080461161285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.111731903899483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150040386924324,0,0,0,-0.0266938926106388,0,0,0,0,0,0
X600028.SH,0,0,0,0.063378988626648,0,0,0,0,0.0148227649587563,0,0,0.0038262842639132,0,0,0,0,0.0154653099256563,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00477786207658992,0.0389688807078476,0,0,0,0,0,0,0,0,0.00257604684347342,0,0,0,0,0,0,0.0229434806498708,0.018349381365928,0,0,0,0,0,0,0,-0.0387526248267401,0,0
X600309.SH,0,0.1171897220338,0,0,0,0,0,0,0,0,0.0981116860402814,0,0,0,0,0,0.0461010944696563,0,0,0,0,0,0,0,0,0,0,0,-0.0079985363743434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0211598655411572,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0,0,0,0,0.559064051798215,0,0,0,0,0,0,0,0,0,-0.0112846990608313,0,0,0,0,0,0,0,0,0,0,0.185359935882815,0,0.0399157874901599,0,0,0.0472767315378518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0142032116692315,0,0
X002466.SZ,0,0,0,0,0,0,0.591958922073614,0,0.0835842110713669,0.0136048647209788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0620247900556337,-0.16954006030362,0,0,0,0.122229975041319,0,0,0,0,0,0.270090316168111,0,0,0.0653232469786514,0,0,0,0,0,0,0,0.0162140453643928,0,0.044491304079566,0.0136506512059904,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0.219565245166815,0,0,0.0783147197059135,0,0,0,0,0,0,0.00822754369361757,0,0,0,0,0.0627367896103651,0,0,0,0,0,0,0,0,0,0.0309368754398716,0,0,0,0.0570325540945047,0,0,0.117655907626292,0.22436626708835,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.102112134290552,0,0,0,0.0493304367380984,0,0
X600585.SH,0,0,0,0,0.177737683519347,0,-0.0895253820395502,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0627446752946567,0.0239519062454026,0,0,0,0,0,0.206008067235425,0.0340049871678975,0,0.011368598528293,0,0,0,0,0,0,0,0,0.24238702875401,0,0,0,0,0,0,0,0,0,-0.00873497620040059,0,0.00113109168400332,0.0182552354274117,0,0,0,-0.0307690510481479,0,0
X000792.SZ,0,0,0,0,0.0674418195453948,0.272773109910822,0,0,0,0,0,0.111206864252618,0,0,0,0.0684590283493609,0,0,0,0,0,0.0224755375985733,0,0,0,0,0,0,0,0,0.0854114040276631,0,0,0,0,0,0,0,0,0,0.142055442509347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0254816248648584,0,0
X000301.SZ,0,0,0,-0.000891493057051974,0,0,0,0,0,0,0,0,0,0,0,0,0.0622306369498288,0,0,0,0,0,0,0,0,0,0,0,-0.0127774485985341,0,0.0731770390626328,0,0,0,0,0,0,0,0,-0.331369447239891,0,0.366024927045112,0,0,0,0,0,0,0,0,0,-0.00964462377389174,-0.0912172803558176,0,0,0,0.2092486338842,0,0
