,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X002466.SZ,X002460.SZ,X600585.SH,X000792.SZ,X601898.SH,X600011.SH,X000301.SZ,X600019.SH,X600111.SH,X600660.SH,X000708.SZ,X600010.SH,X000877.SZ,X600886.SH,X601600.SH,X600795.SH,X600547.SH,X002271.SZ,X601991.SH,X600027.SH,X600426.SH,X600803.SH,X600362.SH,X600176.SH,X000983.SZ,X000408.SZ,X601699.SH,X000723.SZ,X000786.SZ,X600096.SH,X600348.SH,X000629.SZ,X000933.SZ,X600219.SH,X600141.SH,X600160.SH,X600995.SH,X002353.SZ,X600157.SH,X300073.SZ,X002080.SZ,X600801.SH,X000807.SZ,X600378.SH,X600985.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0.0615602750218337,-0.0697668942142322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124961804823585,0,0.165072612761665,0,0,0,0,0,0.0257916675694133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00386294018211198,0,0,0,-0.0385975206544044,0,0
X601088.SH,0,0,0,0,0.209086639171964,0.197526513091868,0,0,0,0.229651487264213,0.133028508399413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0958292041666099,0,0,0,0,0,0,-0.120003931498836,0,0,0,0,-0.032759135688968,0,0,0,0,0,0,0,0,0,0.0230055183310861,5.42101086242752e-20,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0.0718771323075348,0,0,0,0,0,0,0,0.0516269715163148,0,0,0,0,0,0,0,0,0,0,0.0258691892738823,0,0,0.0542941432541972,0,0,0,0,0,-0.0172797982482799,0.00799417179589583,0,0,0,0,0,0,0,0,0,0,0.0721038205150165,0,0,0,0.00776527107521575,1.0842021724855e-19,0,0,0,-0.00040456577326051,0,0
X600309.SH,0,0.101688008160469,0,0,0,0,0,0,0,0.0483755028859783,0,0,0,0,0,0.00299848932833573,0,0,0,0,0,0,0,0,0,0,0,0,0.0515201939549325,0,0,0,0,0,0,-0.0121994276810366,-0.0136796234603789,0,0,0,0.0586689674361031,0.0438421283321715,0,0,0,0,0,0,0,0.0324941136010056,0,0,0,0,0,0,0,0,0
X600188.SH,0,0.0535690788448334,0,0,0,0,0,0,0,0.571248420675572,0,0,0,0,0,-0.0235939068826511,0,0,0,0,0,0,0,0,0,0,0.0390598617226556,0,0,0.149478955813628,0,0.117922967280298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.42101086242752e-20,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0.459775810971918,0,0.276522153466868,0,0,0.0123323237503149,0,0,0,0,0,0,0,0,0,0,0,-0.0969580099683564,-0.0729432606945266,0,0,0,0,0,0.376031185110499,0,0,0,0,0,-0.115636058402222,-0.0646962957715645,0,0,0,0,0.133596956317931,0,0,0.0702074841597102,0,0,0,0,0,0,-0.0103780720217388,0,0,0,-0.00867224621452193,0,0
X002460.SZ,0,0,0,0,0,0.366454737914734,0,0,0,0,0,0.106938256277785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.230902128236236,0,0,0,0,0,0,0,0,0,0.0489600708080141,0.0722658708294541,0,0.219141923607786,0,0,0,0,0,0,0,0,0,0,0,0.0495113740417662,-0.0744153628313646,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0.0354651740367481,0,0,0,0,0.0195274967866174,0,0,0,0,0.0066428400977926,0,0.0404551095617945,0,0,0,0,0,0,0.0197082832768166,0,0,0.0737219308863151,0,0.0662062581647571,0,0.0089372040779512,0,0,0,0.0155155657902191,-1.73472347597681e-18,0,0,0,0.00609927848619683,0.323605413902457,0,0,0,0,0.0378171166935583,0,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0.181269459067216,0.119213810385891,0,0,0,0.116905672889695,0,0,0,0,0,8.67361737988404e-19,0,0,0.13493204982783,0,0,0,0,0,0,0,0,0,0,0.215066710999548,0,0,0,0,0.0445215336112279,0,0,0.0299331930046431,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0261660673469645,0,0,0,-0.0306827580655234,0,0
X601898.SH,0,0,0,0,0.127020898247605,0,0,0,0,0,0.0242139589348833,0,0,0,0,0,0,0,0,0,0,0,-0.0272027047302658,0,0,0,0,0,0,0.382300904470968,0,0,0,0,0.0692642005454119,0,0,0,0,0,0,0,0.186502441207557,0,0,0,0,0,0,0,0,0,-0.0504461495440644,0,0,0,0,0,0
