,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600585.SH,X600019.SH,X600010.SH,X601898.SH,X600547.SH,X600688.SH,X600188.SH,X601600.SH,X600362.SH,X600795.SH,X300072.SZ,X600157.SH,X601991.SH,X601992.SH,X600027.SH,X600489.SH,X600111.SH,X600309.SH,X600660.SH,X600886.SH,X000723.SZ,X600623.SH,X002466.SZ,X600299.SH,X601158.SH,X000959.SZ,X000792.SZ,X002075.SZ,X000898.SZ,X000408.SZ,X000709.SZ,X600583.SH,X000983.SZ,X000883.SZ,X600549.SH,X600352.SH,X000630.SZ,X000935.SZ,X600176.SH,X000539.SZ,X000027.SZ,X601699.SH,X000060.SZ,X000937.SZ,X600021.SH,X000012.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600188.SH,0,0,0,0,0,0,0,0,0.0160431948329797,0,0,0,0,0,-0.0685272250973501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67025641453362,0,0.0239841120158949,0,0,0,0,0,0,0,0.108699108118983,0,0,0,0,0,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0.00943153649468277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0215279562127309,0,0,0,0,0,0.248478670380068,0,0,0,0,0.0284905650935879,0,0,0.0348409494171219,0,0,0,0,0,0,0,0.104673222964251,0,0,0.0404486865947362,0,-0.0250280788804409,-0.0124944150764768,0,0,0,0,0,0
X600362.SH,0,0,0,0,0,0,0,0,0,0,0,0.0742519808969371,0,0,0,0,0,0.104287190666073,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0.0658584410880536,0,0.00785819086884046,0,0,0,0,0,0,0,0.0456979962952286,0,0.20435029687925,0,0,0,0,0,0.32494533729897,0.0208270381056172,0,0,0,0,-0.0230777064569257,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0453995997278969,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0719509482223193,0,0.0237845352339789,0,0,0,0,0.119358789554637,0,0,0.0300597927942691,0,0,-0.00895012077689658,0.0806382862512676,0,0,0,0,0,0,0,0,0,2.71050543121376e-20,0,0,0,0,0,0
X300072.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250048347032236,0,0,0,-0.350175432557146,0.152612752297513,0,0,0,0,0,0
X600157.SH,0,0,0,0,0,0,0,0,0,0.055652951732909,0,0,0,0,0,0,0,0,0,0,0,0.0161499890756364,0,0,0,0,0,0,0.0185811654206309,0,0,0,0,0,0,0,0,0,0,0,0.0624167627645691,0,0,0,0,0.18967845580492,0,0,0,0.00505617737183899,0,0,0.000762959335173922,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0067004398161226,0,0,0,0.0235469639264718,0,0.033784126021267,0,0,0,0,0.0202686977258392,0,0.177192829523485,0,0,0.0507578316146543,0,0,-0.00677607171136539,0,0,0,0,4.33680868994202e-19,0,0,0.0112353340356753,0,-0.0296825917800656,-0.00560530824777876,0,0,0,0,0,0
X601992.SH,0,0,0,0,0.464004903553601,-0.0255000297747393,0,-4.33680868994202e-19,0.022892887664645,0,0,0,0.0325074846866424,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0.109798981732278,-0.0270085406403083,0,0,0,0,0,0,0,0,0,0,0,-0.0112274996178046,0,0,0,0,0,0.111285253235347,0,0,0,0.0377872511848955,0,0,0,0,0,0,0
X600027.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0202086920510064,0,0,0,0,0,0,0,0,0.284842589160204,0,0.0295725051794356,0,0,0,-0.00573490166354937,-3.46944695195361e-18,0,0,0,0,0.00647751652544508,0,0,0,0,0,0,0.118228452809538,0,0,0,0,0,0,0,0,-0.0177239315594041,0.0177768581703201,0.0137991966954754,0,0,0,0,0
X600489.SH,0,0,0,0,0,0,0,0,0.765706990422671,0,0,0,-0.0646920694741336,0,0,0,0,0.0654536721459016,0,0,0,0,0,0,0,0,0,0,0.0521719863213091,-0.0408770331822605,0,0,0,0.0300461206641286,0,0,0,0,8.67361737988404e-19,0,0,0.0276402665221542,0,0,0,0.0413222758731546,0,0,0,0.0456399432639875,0,-0.0314167900073251,-0.023725550253203,0,0,0,0,0,0
