,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X600688.SH,X601898.SH,X601600.SH,X600795.SH,X601991.SH,X600027.SH,X600623.SH,X600157.SH,X600362.SH,X600886.SH,X600188.SH,X600111.SH,X600547.SH,X601992.SH,X002466.SZ,X600660.SH,X600299.SH,X000792.SZ,X601158.SH,X600489.SH,X600309.SH,X600583.SH,X000709.SZ,X000883.SZ,X300072.SZ,X000898.SZ,X000539.SZ,X600352.SH,X000027.SZ,X000723.SZ,X002470.SZ,X000630.SZ,X002407.SZ,X600176.SH,X002460.SZ,X600549.SH,X000012.SZ,X000983.SZ,X600021.SH,X600098.SH,X600612.SH,X000060.SZ,X000629.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0.0311865345160828,0,0,0,0.0415136629684584,0,0,0,0,0,0,0,0,0,0,0.0151522990805356,0,0,0.0132952880213664,0,0,0,0,0,0.202330407830397,0.0411921659234648,0,0,0,0,0,0,0,0,0.0116279626673164,0,0,0.0328691048121707,0,0,0,0,0,0,0,0,0,0,0.00709521008358137,0.00492120882818302,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0.17072782461951,0,0,0,0,0,0,0,0,0,0.0286867050522646,0,0,0,0,0,0.0300986862621971,0,0,0,0.0302252726598773,0.112556377121456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0166670695685123,0,0,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0.144255466682231,0,0.103967444504468,0,0,0,0,0.0252645985334604,0,0,0,0,0.000795595406344198,0,0,0,0,0,0,0,0,0.113069195081192,0,0,0,0,0,0,0,0,0.108050624358773,0,0,0,0,0,0,0,0.0205628000449744,0,0,0,0,0.10570509188425,0,-0.0260973597180882,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0.0479952599200423,0,0,0,0,0,0.124708433899016,0,0,0,0,0,0,0,0,0,0,0,0.100983282004327,0,0,0.0303071795887742,0.109307622185338,0,0,0,0,0,0.00311652922805702,0,0,0,0,0,0,0.00979048545319113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0.0519570750041854,0,0,0,0,0,0,0.0467994947294096,0,0,0,0,0.212654048914129,0,0,0,0,0,0,0,0.0985901452715102,0,0.0166592011007046,0.0842379453720561,0,0,0,0,0,0,0.0735130203630639,0,0,0,0,8.67361737988404e-19,0.088836185235909,0.0898739028354669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0.0313784173846985,0,0,0,0,0,0.0630256115121064,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0.236603316565314,0,0,0,0,0,0,0,0,0,0.114146068591104,0.0903146879057492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,0.229995704958202,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0.1295431006313,0,0,0,0,0,0,0,-8.67361737988404e-19,0.286370862256671,0,0,0,0,0.070501490103476,0,0,0,0,0,0,0.0194966795110506,0.0163982514945318,0,0,0,0,0,0,0,0,-0.0292517214225451,0,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200118524702344,0,0,0,0.0170704861342712,0,0,0,0,0,0,0,0,0,0.0422790589703314,0,0,0,0,0,0,0,0,0.0725435247075892,0,0,0,0,0,0,0,0,0.323031282416725,0,-0.050101415514878,0.0121090257365224,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0789432375511125,0,0,0,0,0,0.147480743661292,0,0,0,0,0.000873983723068125,0,0.0885280192301083,0,0,0,0.110989309266367,0,0.0285327828107544,0,0.164985327945182,0,0,0.0276247718521274,0,0.0837615603624528,0,0,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111488723877526,0.0309681171852449,0,0,0,0,0,0.151574914953213,0,0,0,0,0,0,0,0,0,0,0,0.165003105191165,0,0,0,0,0,0.150635435025194,0,0,0,0,0,0.0396855159564595,0,0,0,0,0,0,0,0,0,0
