,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600547.SH,X600019.SH,X600011.SH,X002271.SZ,X000708.SZ,X600660.SH,X002460.SZ,X600886.SH,X000786.SZ,X600801.SH,X600362.SH,X601898.SH,X600010.SH,X601600.SH,X600176.SH,X600489.SH,X600352.SH,X601991.SH,X600188.SH,X600111.SH,X600795.SH,X600426.SH,X600027.SH,X600299.SH,X600688.SH,X601992.SH,X000932.SZ,X002080.SZ,X000301.SZ,X600219.SH,X002466.SZ,X002353.SZ,X600529.SH,X000723.SZ,X600486.SH,X002075.SZ,X600612.SH,X600315.SH,X000027.SZ,X002250.SZ,X000878.SZ,X601158.SH,X000898.SZ,X000883.SZ,X002409.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0.0616763880975362,0,0,0,0,0,0,0.0323459667798967,0.0397373283471539,0,0,0,0.0170169294629557,0,0,0,0,0,0,0,0,0,0,0.116538768966874,0,0.0405393740858894,-0.0114995703155486,0.0239839462813941,0,0,0,0,0,0,0,0,0,0,0,0,-0.00286415089619543,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0.0233212615880159,0,0,0,0,0,0,0,0,0,0,0,0.00685045746850728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0863651278638656,0,0.0251742167891932,0,0,0,0,0,0,0,0,0.114525018593219,0,0,0,0,0.0100949066768622,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0.0811804345700787,0,0,0,0,0,0,0,0.0947376706907328,0.0307178570354842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0395898576882811,0,0.174969287835211,0,1.73472347597681e-18,0,-0.0236781782185581,0.00941496421385507,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.0548409865695349,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106649910460757,0.0768071330129126,0,0,0,0.0163932355056526,0.00935903029605306,0,0,0,0,0,0,0.0988297053661304,0,0,0.0173670337395858,0.0398363851477738,0,0,0,0,0.0239029851710525,0.0950502363432198,0,0,0,0.0186120152433656,0,0,0,0,0,0,-0.00103266481529891,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0.0437734859542073,0.247027197867678,0,0,0.0278381203716938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0688955573439206,0,0,0,0,0,0.0411197365947111,0,0.0537880184320843,0,1.73472347597681e-18,0,0,0,0,0,0.148053351277674,0,0,0,0,0,0,0.0322555073982645,0,5.42101086242752e-20,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.459116770153477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235734744747687,0,0,0,0,0,0,0,0,0,0.00541741002682788,-0.00430320840358146,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0.0407902643635926,0,0,0,0.00864288353638113,0,0,0,0,0,0,0.112523709335881,0,0,0,0,0,0,0,0,0,0,0,0,0.190347117853839,0,0,0.00863499227440689,0,0,0,0.0870649570799833,0,0,0,0,0,0,0,0,0.0961713500262658,0,0.0266553311307295,0,0,0.00201818855741365,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176484839745182,0,0,0,0,0,0,0,0,0,0.189293833850107,0,0,0,0.0280775938877725,0,0,0,0,0.0843401810666425,0,0,0,0,0,0,0,0,0,0,0,-1.0842021724855e-19,0.00944674060230759,0,0,0,-0.0209196850979741,0,0.0611813810763319,0.00825185475936267,0,0,0,0.0620746002023967,0,0
X002271.SZ,0,0,0,0,0.0181813136398141,0,0,0,0,0,0.107140907450286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222638830853315,0,0.211758428964394,0.096855676080285,0,0,0,0.178532322205684,0,0.0251872885588238,-0.00526720394625359,0,0,0,0,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0545056839100813,0.181831898239264,-0.0138264065095363,0.0832407658715491,0,0,0,0.0267516637095732,0,0,0,0.0814651334940919,0,0,0,-0.0632891591037949,0,0,-0.00930678025574194,0.0957824030603164,-0.00178593645214751,0.272410670578217,0,0,0,0.074548867372057,0,0,0,0,0,0,0,0,0.0201338503172816,0,0,0,0,0,0,0
X600660.SH,0,0,0,0,0.075505794186071,0,0,0,0,0,0,0,0,0.066393148304025,0,0.281577730809006,0,0,0,0,0,0.365664363786357,-0.29935256495263,0,0,0,0.0966769536106182,-0.00525012563771323,0,0,0,0,0,0,0,0,0,-0.00283812586808083,0,0,0.0521687049473978,0,0,0,0,0.0476838074799454,0,0,0,0.0118371905900947,0,-0.0238502589109789,0.0273684389616955,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0.326609640552022,0,0,0,0,0,0,0,0,0,0,0,0,0.134566627492133,0,0,0,0,0,0,0,0,0,0,0,0,0,0.328208514634987,0.0501630825906303,0.0818244970395981,0,0,0,0,0.0122129025963636,0.17139455187154,0,0,0,0,0,0.128095191131671,0,-0.0294762098581215,0.00808176149972581,0,0,0,0,0,0
