,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600010.SH,X601898.SH,X600660.SH,X601991.SH,X600688.SH,X600188.SH,X601600.SH,X600795.SH,X600362.SH,X600886.SH,X002466.SZ,X000898.SZ,X600516.SH,X300072.SZ,X600547.SH,X601992.SH,X600027.SH,X600111.SH,X600176.SH,X002460.SZ,X000553.SZ,X600352.SH,X002110.SZ,X000786.SZ,X600801.SH,X600808.SH,X600299.SH,X000709.SZ,X600426.SH,X000932.SZ,X000883.SZ,X601158.SH,X601699.SH,X600219.SH,X600339.SH,X002271.SZ,X600583.SH,X000408.SZ,X601003.SH,X000830.SZ,X000539.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0169222278827778,0,0,0,0,0,0,0,0,0,0.0968215675744891,0,0.110534448275193,0,0,0,0.0947233499567873,0.080188521094811,0,0,0.00269848913536335,-0.0215980364858177,0,0,0,0,0,0
X600028.SH,0,0,0.360186098166815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.100836728097523,-0.0272238343336076,-0.114129384187955,0,0,0,-0.02050412983306,0,0,0,0,0,0,0,0,0.044845810454949,0,0.0378381561229744,0,0,-0.00444831209057778,0.145171502151218,0,0,0.0039630692324319,0.00167099523062332,0,0,0,0,0,0
X601088.SH,0,0.0898872710382366,0,0,0,0,-0.0393942485076185,0,0,0,0,0,0.513639505433435,0,0,0.0904268267513156,0,0.047847956697453,0,0,0,0,0,0,0,0,0,0,0,-0.0619556236052974,0,0,0,0,0,0,0,0,0,0.00467753319031947,0,0,0.00209606699088563,0,0,0,0,0,0,0,-0.0133230836420933,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0423471675328902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084292692310207,0.0878506846482941,0.168513095287062,0,0,0,0,0,0,0,0,0,0,0.0672779856317206,0,0,0,0,0,0,0.00538190717239677,0.00821893361067726,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0.111428019037309,0,0,0,0,0.25428717201376,0,0,0.132720639235015,0,0,0.00439185897061212,0,0,0,0,0,0,0.0091077303882589,0.0074964371415411,0,0,0,0,0,0
X600309.SH,0,0,0.0279725597712129,0,0,0,0,0,0,0,0,0,0,0,0,0.0310375888937908,0,0,-0.326297563284527,0,0,0,0,0,0,0,0,0,0,-0.064821684655247,0.152274486019753,0.224878568400121,-0.0239315703950641,0.190588908468818,0,0,0,0,0,0,0,0,0,0,0,-0.0293952288284636,0.363041804854868,0,0,0.0135427274034064,0.010854225884028,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,-0.0427037081184144,0,0,0,0,0,0,0,0,0,0,0,0.203609355520322,0,0,0,0.635102340649615,0,0,0,0,0,-0.0538327018266371,0,0,0,0,0,0,-0.0387176720567525,0,0,0,0,-0.0228589180268667,0,0,0,0,-4.33680868994202e-19,0,0,-0.00567772003327352,0.019002313296391,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285287867279673,0,0,0.0113075076227422,0.107592114293334,0,0,0,0,0,0,0,0,0,0,0.373795886694043,0,0,0,0,0,0,0,0,0,0.157734624366498,0.190681152481056,0,0.00418332042315644,0,0,0.00534865540353307,-0.0124060201322188,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0052843656514315,0.288742584430856,0,0,0,0,0,0.00651439101643289,0,0,0.136684020071542,0,0,0.0649730900073397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111490037836523,0.00710099763386881,0,0,-0.00711085415594669,0,0,0,0,0,0,0
X600660.SH,0,0.279537957909985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0766088923504631,0,0,0,0,0,0.0187906285023063,0,0.0571311803252481,0.0100699446176833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0460016362754249,0,0,0,0,0,0,-0.0045751950300649,0.0145976679479283,0,0,0,0,0,0
