,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600010.SH,X000723.SZ,X601600.SH,X600352.SH,X601898.SH,X600547.SH,X600660.SH,X601991.SH,X600688.SH,X600188.SH,X600886.SH,X600362.SH,X600795.SH,X600516.SH,X600027.SH,X601992.SH,X000898.SZ,X600801.SH,X600111.SH,X600299.SH,X002466.SZ,X600176.SH,X000709.SZ,X002460.SZ,X600219.SH,X000629.SZ,X000786.SZ,X000990.SZ,X002110.SZ,X600808.SH,X600157.SH,X000553.SZ,X601158.SH,X600489.SH,X002271.SZ,X000825.SZ,X000883.SZ,X600583.SH,X300072.SZ,X000630.SZ,X600339.SH,X600985.SH,X600426.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0.015051449616466,0,0.00493626897916891,0,0,0,0,0,0,0,0,0,0,0.0249619101015693,0,0.112377786098063,0,0.0376019551394644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0196229620580466,0,0,0,0,0,0,0,0.0166089770884763,0,0,0.116228273456146,0,0,-0.00414067432857953,-0.0175179727314484,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0228543421519617,0,0.0842345477194054,0,0.0546814509359856,0,0,0,0.0419261141611258,0,0,0,0,0,0,0,0,0,0.0113384586006089,0,0,0.0643257930261989,0,0,0,0,0,0,0,0.00822512517785759,0,0,0,0.0282322899072194,0,0.00667720999418248,-0.0536105285127993,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0.0477588057046607,0,0,0,0,0,0,0.0537665299897111,0,0,0,0,0,0,0,0.145362202244175,0.0685447944213836,0,0,0,0,0,0,0,0,0,0,0,0.0174552168041641,0,0,0,0,0,0,0,0.0288391111095862,0,0,0,0,0,-0.00140182325891244,-0.0522353170069053,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.0813206273109534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.480164597981174,0,-0.00846719643130344,0,0,0,0,0,0,0,-0.0081194990704349,0.0661709636611516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0127068121923947,0,0,0,0,-0.00555587608908115,0,0
X600019.SH,0,0,0,0,0,0.0198646159864001,0,0.0283269880440598,0.00609938872405425,0.104561169385514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0615273837219236,0.00602340614567873,0,0.0272202631993761,0,0,0,0,0,0,0,0.0171721757436709,0,0.0433860699569791,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00201962465071745,0,0,0,0,0,0,0
X600309.SH,0,0,0,0.00142517567583388,0,0,0,0,0.0658761426713553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0543479223082742,0,0.213128625665175,0.0623030682615973,0.0824309433876996,0,0,0,0,0,0,0,0,0,0,0,0.0238982123474076,0,0.391644010238776,0,-0.0108909121405721,0,0,0,0,0.00967932703195573,0,0
X600011.SH,0,0,0,0,0,0,0,0,0.0646272133539346,0,0,0,0,0,0,0,0,0,0,0.155634402260208,0,0.421655100706909,0,0,0,0,0,0,0,0,0,0,0,0,-0.0541997160677909,0,0,0.011941381727572,0,0,0,0,0,0,0,0,0.0142925150607312,0,0,0,0,0.024294726667559,0,0,0,0,0.00534589680151977,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00683965428029977,0,0,0,0,0.248965232872424,0.0213290711442912,0,0,0,0,0.276182683650203,0,0,0,0,0,0.119113988968891,0,0,0,0,0,0,0,0.043198112500264,0,0,0,0,0,0,-0.0225554950664984,0,0,0,0.00516409228084668,0,0
X000723.SZ,0,0,0,0,0,0,0,0,0,0,0.311085422232902,0,0,0,0,0,0,-0.0625038062601969,0,0,0,0,0,0,0,0,0,0,0,0,0.346122368106825,0,0,0.0530210403857189,0,0,0,0.244960359125373,0,0,0,0.60760203263985,0,-0.0218118408114105,-0.123052199632463,0,0,0,0.2071799452153,0,0,0.0594119303116354,0,0,0.289112362716584,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126645068825684,0,0.0132672444199713,0,0.0541025145084471,0,0,0,0.0267714360513175,0.110268680507173,0,0,0,0,0,0.104890759113045,0,0,0,0,0,4.33680868994202e-19,0,0,0,0.0185055948193667,0,0,0,0.0925245701080649,0,0,0,0.0616413553710902,0,-0.0164550532432814,0,0,0,0,0,0,0
X600352.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0294263917849964,0,0,0,0,0,0,0,0,0.222609535190773,0.0374182230919059,0,0,0,0,0,0,0,0,0,0,0.107141970847279,0,0,0,0,0,-0.0300023113843463,0.138577385930439,0,0,0,-0.176405902253309,0,0
