,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X002460.SZ,X002466.SZ,X600585.SH,X000792.SZ,X601898.SH,X600019.SH,X600011.SH,X600660.SH,X600111.SH,X600547.SH,X600010.SH,X000708.SZ,X000301.SZ,X002271.SZ,X600886.SH,X000877.SZ,X601600.SH,X600795.SH,X600426.SH,X600362.SH,X601699.SH,X600027.SH,X600176.SH,X600803.SH,X000983.SZ,X601991.SH,X600160.SH,X000408.SZ,X000629.SZ,X000786.SZ,X600348.SH,X000723.SZ,X600219.SH,X600378.SH,X600995.SH,X600096.SH,X600489.SH,X000933.SZ,X600157.SH,X000807.SZ,X600985.SH,X002080.SZ,X600688.SH,X002353.SZ,X600141.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.393331780697893,0,0,0,0,0,0,0.122266641378854,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0.0197376926038539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0133681733062974,0,0,0.177169039569678,0,0,0.0028243813696358,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0.445602662136985,0,0,0,0,0.1336744881662,0,0,0,0,0,0,0,-0.0152802217752741,0,0,0,0,0,0,0,0,0,0.0778366627751959,0,0.043209347911241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0580788395137393,0,0,0,0,0,0,0,0,0,0
X600028.SH,0.438138380967006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00416293574623186,0,0,0,0,0,0,0,0,0,0,0.0885680256078368,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0311289532301084,0,0,0.0102664111812461,0,0,0,0,0,0,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,-0.0834191537578527,0,0,0,0,-0.0396449859157895,0,0,0,0,0,0.177577379771305,0,0,0,0,0,0.0557168105093527,0,0.0465879252156017,0,0,0.0763712887220767,0,0,-0.0416602605495003,0,0,0.281797616640681,-0.0257876888292911,0,0,0.0326799467596957,0,0,0,0,0,0,0,0,0,0,0,0,-0.00670311640096171,0,0,0,0,0,0,0
X600188.SH,0,0.616949187648103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0801887809255438,0,0,0,0,0,0,0,0,0,0,0.125720971042905,0.00594257093622424,0,0,0,0,0,0,0,0,0,0,0,0.0563345907599298,0,0,0,0,0,0.142606564953346,0,0,0.0105683662363842,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0.501797881033445,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,-0.104445963473071,0,0,0,0,0.0507373060566704,0,0,0,0,0,0,0,0,0,0,0.127236618984811,0,0.123237363133655,0,0,0,0,0,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0.594007967055968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00258704355597572,0,0,0,0,0.17890636619534,0,0,0,0,0.0260275500314576,0,0.433824820522575,0.0319829820872072,0,0,0,0,0,0,0,0,-0.119247715454871,0,0,0.0155530230447139,0,0,0,0,0,-0.00776343194686253,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0.0146582722741878,0,0,0,0,0.123931465838909,0,0,0,0,0,0.0863504518806698,0,0,-0.0495187247075902,0,0,0,0,0.0128771733404603,0,0,0,0.342757129145427,0,0,0,0,0,0,0,0.0101169826439415,0,0,0,0.118303421624553,0,0,0,0,0.00013256220853399,0,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0.193323147900557,0,0,0,0,0,0,0,0.163863890291762,0,0,0,0,0,0,0,0.123995843346182,0,0,0,0,0.00240765200138952,0,0,0,0,0,0.30085659443591,0.0423511580658225,0.157710331504574,0,0,0,0,0,0,0,0,0,0.013360601681435,0,0,0,0,0,0,-0.00472624708157031,0,0,0,0,0,0,0
X601898.SH,0,0,0.123580682069818,0,0.053830669734227,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0226896014009943,0,0,0,0,0,0,0.0899807412237626,0,0,0.138712554274767,0.333027688602685,0,0,0,0,0,0.0337792313605361,0,0,0,-0.0620011141147087,0,0,0.110363819718444,0,0,0,0,0,0,0,0,-0.0229364434450128,0,0,0,0,0,0,0
X600019.SH,0.0596004335922536,0,0,0,0,0,0,0,0,0,0,0.00971879393916748,0,0,0,0,0,0,0,0,0.0878485439657163,0.198591650223802,0,4.33680868994202e-19,0,0,0,0,0.0559527534765946,0,1.73472347597681e-18,0,0,0,0.144196310997981,0,0,0,0,-0.0308296529927652,0,0,0,0,0,0,0,0,0,0,0,0,0.0375762352512357,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18679648869717,0,0,0,0.334852067146799,0,0,0,0,0.0834791136165613,0,0,0,0,0,0,-0.171885122325233,0.0406068832859982,0,-0.0716925013629108,0,0,0,0,0,0,0,0,0,0,0,0,0
