,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600011.SH,X600309.SH,X600010.SH,X600547.SH,X601898.SH,X601991.SH,X600660.SH,X600688.SH,X600886.SH,X601600.SH,X600795.SH,X600027.SH,X600188.SH,X600362.SH,X601992.SH,X002466.SZ,X000898.SZ,X600176.SH,X600111.SH,X600516.SH,X002460.SZ,X000709.SZ,X600299.SH,X600352.SH,X600489.SH,X000629.SZ,X600808.SH,X601158.SH,X600219.SH,X600801.SH,X300072.SZ,X000786.SZ,X000825.SZ,X000883.SZ,X000539.SZ,X000553.SZ,X600583.SH,X000408.SZ,X000792.SZ,X002271.SZ,X002110.SZ,X000301.SZ,X600339.SH,X600612.SH,X601699.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.228342266490271,0,0,0,0,0,0.0103746309975649,0,0.0604662946499718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0724158873502838,0.208694356700751,0,0,0,-0.0236287685291139,0.0319653788952934,0,0,0,0,0,0
X600028.SH,0.159690377640392,0,0,0.158458527493656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0176079157120241,0,0,0,0,0.035581898795449,0,0,0,0,0.00185914851244098,0.0455085525233276,0,0,0,0,0,0,0,0.0228404457027597,0,0,0.260673463104793,0,0,0,-0.00673070497144794,0.0870015705484819,0,0,0,0,0,0
X601088.SH,0.0674982774259295,0,0,0.0348194998585791,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0364124730844753,0,0,0,0,0,0,0,0,0,-0.0393992904494921,0,0,0.0147618846355098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38544113862935,0.0835544290985448,0.0287182958506792,0,0,0,-0.00499300737252898,-8.67361737988404e-19,0,0,0,0,0,0
X600585.SH,0,0,0.243211873611619,0,0,0.229964107698491,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0162921595186642,0.138052519741698,0,0,0,1.73472347597681e-18,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0.372012284965217,0,0,0,0,0,0,0,0,0.0542192919332913,0,0,0,0,0,0,0,0.0123041635822364,0.017976777635138,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0.105705295619653,0.0939488600621049,0,0,0,0,0,0,0,0,0,0,0,0,1.0842021724855e-19,0.0850363424290465,0.0991905847430227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00135173695460113,0,0,0,0,0,0,0
X600011.SH,0,0,0,0.00290378722739857,0,0,0.14022862231191,0,0,0,0,0,0,0,0,0,0.677811362934367,0,0,0,0.0253882431492461,0,0,0,0,0.0346091880457609,0,0,0,0,0,0,0,0,0,0,0.0384804742322851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0161252490670764,0.053986636948896,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0.259233437105118,0,0,0,0,0,0,0,0,0,0,0,0.156631647608274,0,0,0.185725512354677,0,0.0697326223858779,0,0,0,0,0,0,-0.127605286950419,-0.0227391346823788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.253944503798853,0,0,0,0,-0.124994907759086,-0.0485337221862432,0.169703177847148,0,0,0,0,0,0
X600010.SH,0.0944633009742586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110103503255617,0,0,0,0,0.144969239552292,0,0,0,0,0,0.12676939830388,0,0,0,0.136052336463043,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,-0.0190818063684099,-0.0184044451408617,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,-0.0600916644696288,0.00634439207519063,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0892441143449072,0,0,0,0,0.07352372337113,0,0,0,0.565072168425767,0,0,0,0,0,0,0,0.194114246911715,0,0,0,0,0,-0.0466077609454986,0,0,0,0,0,0,0,0.00296329926282342,0.0216611647490541,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0426422100255299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0990832514093807,0.252636818922721,0.162015766444743,0,0,0,-0.00609841875463161,0,0,0,0,0,0,0
