,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600547.SH,X600019.SH,X000708.SZ,X600011.SH,X002460.SZ,X002271.SZ,X600801.SH,X600886.SH,X601898.SH,X600010.SH,X600660.SH,X601600.SH,X600362.SH,X600489.SH,X600188.SH,X600352.SH,X600688.SH,X000786.SZ,X601991.SH,X600027.SH,X600111.SH,X600795.SH,X601992.SH,X600176.SH,X600299.SH,X600126.SH,X002075.SZ,X600426.SH,X600486.SH,X000723.SZ,X600529.SH,X600315.SH,X002466.SZ,X601158.SH,X002353.SZ,X000401.SZ,X600516.SH,X600219.SH,X600612.SH,X000898.SZ,X000932.SZ,X000553.SZ,X000883.SZ,X002409.SZ,X000709.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0396582761377412,0,0,0.0808182603990375,0.0287972846723958,0,0,0,0,0,0.140098212457199,0,0,0,0,0,0.00465080088118101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000619033747181872,-0.0223566417886399,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00124269158950517,0,0,0,0,0,0,0.124859907005966,0,0,-0.0212385677619413,0,0,0,0,0,0.0201968863840447,0,0.0207637318699976,0,0.0504949345353558,0,0,0,0,0.022710886647104,0,-0.0307607938554675,0,0,0.00292268473069278,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0.0555872271018759,0,0,0,0,0,0,0.0562641704224435,0,0,0,0,0,0,0,0,0,-0.00427162714785838,0.102354618767753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.034998444653425,0,0,0.0143253779431746,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.0866643900284974,0,0,0,0,0,0.0683261144260514,0.243033271954671,0,0,0,0,0,0,0,0,0,0,0.143019362860849,0,0,0,0,0,0,0,0.0127416288569479,0,0,0,0,0.0455086493119304,0,0,0,0,0.0158435486196132,0,0,0,0,0,0,0,0,0,-0.015494608755803,0.00282194537062194,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0.0585230640418532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00977487382627103,0,0.233503701312237,0,0,0,0,0.0743488448266412,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0238156350782736,0.00551260315217498,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.595469053221366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159403760313104,0,0,0,0,-1.73472347597681e-18,0,1.73472347597681e-18,0.0196981836254943,0.0499539373324436,0,0,0,0,0,0
X600019.SH,0,0,0.120886112968585,0,0,0,0,0,0,0,0,0,0,0,0,0.178397105797343,0,0,0,0,0,0.0338067930862559,0.128773742538336,0,0.0510893757575727,0,0,0,0.0353675174123191,0,0,0,0.0444899395361531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00162825678682422,0,0,0,0,0,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,0,0.0896865072828683,0.000181748567663627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100612010258236,0,0,0,0,0,0,0,0,0.0598152863083521,0,0.106519191718008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600011.SH,0,0,0.272839632134205,0,-1.73472347597681e-18,0,0,0,0,0.0154550010339028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16435437583396,0,0,0,0,0.175320400936801,-0.0101963409638901,0,0,0,0,0,0,0.00483470002491247,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0.0133126384108598,0.00407858979863436,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0.0124595799012174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0727012678116693,0,0,0,0,0,0,0,0,0.0332255963207702,0,0,0,0.158196274800954,0.0235643468739406,0.368725483284235,0,0.127014114480828,0,0,0,0,0,0,0,0,0.100030731563977,0,0,0,-0.0253799575993316,0,0,0,0,0,0
