,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X002460.SZ,X002466.SZ,X600585.SH,X600188.SH,X000792.SZ,X600019.SH,X601898.SH,X600011.SH,X600111.SH,X002271.SZ,X600660.SH,X000877.SZ,X000301.SZ,X600010.SH,X000708.SZ,X600886.SH,X600547.SH,X601600.SH,X600795.SH,X600176.SH,X600362.SH,X000408.SZ,X600426.SH,X600096.SH,X601991.SH,X000786.SZ,X300073.SZ,X000983.SZ,X000629.SZ,X600803.SH,X600027.SH,X000723.SZ,X600141.SH,X002080.SZ,X600219.SH,X601699.SH,X002192.SZ,X600157.SH,X600801.SH,X600486.SH,X600399.SH,X002353.SZ,X300037.SZ,X600378.SH,X002407.SZ,X000959.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0.00769582044751009,0,0,0,0.0297442567516981,0,0,0,0,0,0,0,0,0.0223663378392839,0,0,0,0,0,0.153082298999746,0,0,0,0.22554783069088,0,0,0,0,6.93889390390723e-18,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0.0159562740360351,0,0,0,0,0,0,0
X601088.SH,0,0,0,0.100255348882037,0,0,0,0.234081809062669,0,0,0.145204705544293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0403615791663726,0,0,0,0,0,0,0.0909329165603027,0,0,0,0.0399319416861154,0,0.0214224554434497,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0
X600028.SH,0,0,0,0,0,0,0,0,0.00892495613223432,0,0,0,0,0,0,0,0,0,0,0,0,0.0688146154316031,0,0,0,0,0,0,0,0,0,0,0.0291742037502398,0,0,0,0,0,0,0.0789836556519899,0,0.0532684243753866,0,0,0.0281578810063498,0,0,0,0,0,0,0.00137845819395497,0,0,0,0,0,0,0
X600309.SH,0,0.0992653341400218,0,0,0,0,0,0,0,0,0.116591497843872,0,0,0,0,0.0291473803880318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0531385038289792,0.02046735997142,0,0,0,0.0680314257236361,0,0,0,0,0.079868259763553,0,0.0306802199372802,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0.177729249790548,0,0,0,0,0,0,0.12178348308709,0,0,0,0,0.168973776462618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0347690859106765,0,-1.38777878078145e-17,0,0.0458238199711785,0.162135335784382,0,0,0,0,0,0,0,0,0.0551347122531412,0,0,0,0,0,0,0.0163493802577524,0,0
X002466.SZ,0,0,0,0,0.49981417791985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0774830036707974,0,0,0,0.0978130956654153,0,0,0,0.176024702931828,0,0,0,0,0.252554831212844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00472734385001606,0,0
X600585.SH,0,0,0,0.056615374043412,0,0,0,0,0,0,0,0,0,0.149073682695527,0,0,0,0,0,0,0,0,0,0.0753501588319794,0,0,0,0,0,0,0,0,0,0,0,0.0181414803307495,0,0,0,0,0,0,0.372563623046242,0,0,0,0,0,0,0,0,0.0026858655463748,0,0,0,0,0,0,0
X600188.SH,0,0.342895424183455,0,0,0,0,0,0,0,0,0.106279414411155,-0.159229965064141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0539682495402329,0,0,0,0,0,0,0,0,0,0,0,0.369131027700315,0,0,0,0,0,0,0,0,0,0,0,0.0708275827129024,-0.114937433393793,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0.0905686538374821,0,0,0.0781285772216484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.396976233963088,0,0.0768050882896168,0,0.0545182196906283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0160137909124208,0,0,0,0,-0.000173102981182313,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0486955065328539,0,0,0,0,0,0,0,0.111591098442517,0,0,0,0,0,0,0,0,0,0,0.0019267698437635,0,0,-3.46944695195361e-18,0,0,0,0.0586221083776187,0,0.0903046288705112,0,0,0,0.0475388543750963,0,0,0,0.140029971637555,0,0.0164900656953369,0,0,0,0,0,0,0
