,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600011.SH,X600019.SH,X601898.SH,X601991.SH,X601600.SH,X600111.SH,X600362.SH,X600188.SH,X600795.SH,X600010.SH,X600886.SH,X601992.SH,X600688.SH,X600027.SH,X600309.SH,X600583.SH,X000792.SZ,X000883.SZ,X601158.SH,X002353.SZ,X000898.SZ,X000709.SZ,X600489.SH,X000629.SZ,X000539.SZ,X600547.SH,X000825.SZ,X000831.SZ,X601699.SH,X600315.SH,X000027.SZ,X600660.SH,X600352.SH,X002470.SZ,X000959.SZ,X600808.SH,X000630.SZ,X000983.SZ,X000937.SZ,X600549.SH,X600307.SH,X600578.SH,X600490.SH,X600098.SH,X000960.SZ,X600863.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0.113086111076174,0,0,0.0563507126395847,0,0,0,0,0.024787194275286,0,4.33680868994202e-19,0,0,0,0,0,0,0,0.0302238893330824,0,0.0117073231372516,0,0,0,0,0,0.0326097286316765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000420609178268392,-0.0101225468621673,0,0,0,0,0,0
X600028.SH,0,0,0.0302158770664638,0,0.103683947809841,0.0728155818329463,0,0,0,0,0,0.02523893123093,0,0,0,0,0,0,0,0,0,0,0,0.135229040544055,0.011717370580516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00348972800477151,0,0,0.132285405551599,0.0170215827360455,0,-0.00360299573291258,-0.0138154432759675,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0.000421521387799973,0.0812163417959958,0,0.121461394436899,0,0,0.184747653343413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00328097819715158,0,0,0,0,0,0,0,0,0.00455945037599944,0,0,0,0.0750234387778688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,0.098464306902672,0,0,0.187335204810514,0,0,0,0,0,0.0542673018930192,0,0.122679286490901,0,0,0,0,0,0,0,0,0,0.00963735614298324,0,0,0,0,0,0,-0.0109989596742939,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0.069705011940289,0,0,0,0,0,0,0,0,0,-0.0046397752461436,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0.169837726459051,0,0,0,0,0,0,0,0.0262790644884412,0,0,0.117733634139628,0.268267594424247,0,0,0,-0.0815109554438707,0,0,0,0,0,0,0,0,-0.0472357971714263,0.170461463882974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0124041025938651,-0.0137596882137305,0,0,0,0,0,0
X600019.SH,0,0,0,0,0.166839985557961,0,0,0,0,0,0,0.0673121547858467,0,0,0,0,0,0,0,0.0398459293744312,0,0,0,0,0,0.203504205711913,0,0.185241001046027,0,0,-0.0225595888551901,0,0,0,0,0,0,-0.0248823194568905,0.104540638056623,0,0,0,0,0,0,0,0,0,0,0,0,-0.00631645405794789,0.0158913710611967,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0.103314383695959,0.187872423214675,0,0,0.144487756100424,0,0,0,0.06907079120431,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0.00353986121976615,0,0,0,0.174590082407521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00476398992369993,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0.0684667992730948,0,0,0,0,0,0,0,0,0.174990106120046,0,0,0,0.00997570426799672,0,0,0,0,0,0.123576032659257,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0218050468248034,0.121266682201888,0,0.0371629451406158,0,0,0,0.00824765808380626,-0.0257095450635283,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0.335111448746365,0.0240828584436311,0,0,0,0,0,0,0,0,0,-0.0113018160625965,0,0,0,0,0,0.148666834095223,0,0,0,0,1.0842021724855e-19,0,0,0,0,0,0.114740620869168,0,0.0889153674497325,0.0877430290546912,0,0,0,0,0.0116833646981703,0,0.0760216905284467,0,0,0.000144824477696,0,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0139954195918569,0,0,0,0,0,0,0,0.0233738487799258,0,0,0,0.0389998375439235,0,0,0.0760415323243142,0,0,0,0,0,0,0,0,0,0,0,0,0.289699798981436,0.00890254218646889,0,0,0,0.172916886376753,0,0,-0.00542176213222083,0,0,0,0,0,0,0
X600362.SH,0,0,0,0,0,0,0,0,0.143956659359267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0835404263275323,0,0,0,0,0,-4.33680868994202e-19,0.165186120344033,3.46944695195361e-18,0,0,0,0,0,0.0416385628595951,0.020398192887996,0.268875830923209,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,-0.0258973162777337,0,0,0,0,0,0
