,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600011.SH,X600010.SH,X601898.SH,X601992.SH,X601600.SH,X600688.SH,X600309.SH,X300072.SZ,X600795.SH,X600547.SH,X601991.SH,X600660.SH,X600188.SH,X600362.SH,X600886.SH,X600027.SH,X000709.SZ,X600157.SH,X002466.SZ,X600111.SH,X000959.SZ,X600489.SH,X600339.SH,X000898.SZ,X601158.SH,X600299.SH,X000883.SZ,X600219.SH,X600352.SH,X600583.SH,X600008.SH,X000792.SZ,X000408.SZ,X000630.SZ,X600578.SH,X000539.SZ,X600021.SH,X000723.SZ,X002460.SZ,X000983.SZ,X000027.SZ,X600176.SH,X000629.SZ,X000401.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0.0625420951338014,0,0,0,0,0.0249538429415919,0.109935069667587,0,-0.00750716712106708,0,0,0,-0.00870173621104612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11216435875877,0.0207200702833466,0,0,0,0,0,0,0,-0.0645067294643895,0,0,0,0,0,0,-0.0112478171979069,0.00773028745586439,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0.0324838061898512,0,0.0566649644712406,0.0374232699390307,0.0618357010521079,0,0,0,0,0,0.0575637352472642,0,0,0,0,0,0,0.00670214578677799,0,0,0.0603122818382296,0,0,0,0,0,0,0.00385601684157777,0,0,0,0,0,0,0.0739812380915813,-0.0564709298688149,0,0,0,0,0,0,-0.00606093081291264,0.00505132565704254,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0.128674127721369,-0.0153356781157209,0,0,0,0,0,0,0.0125382578428956,0,0,0,0,0,0,0,0,0,0.0012436434676443,0,0,0.153334131091117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00194337159450751,-0.00625499771409179,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0.0197224589807091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0745397624457759,0,0,0,0.337749678438997,-0.00566330046643802,0,0,0,0,0,0,0,0,0,0.14300663996714,0,0,0,-0.0426299965972457,0,0,0,0.0243462824426627,-0.0802050083947944,0.153633956871476,0,0.00589529022891731,0.0899983007704421,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,-0.0734408096277944,0,0,0,0,0,0,0.00286876105986761,0,0,0,0,0.0403412026528536,0,0.00192797991021228,0,0,0.252216138791516,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.198465945640705,0,0,0,0,0,0,0,0.00100886671386425,-0.0123493791899394,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0.0912220260645646,0,0,-0.130753909434266,0,0,0,0,0,0,0.07457663305096,0,0,0,0,0,0.0945530171099492,0,0,0,0,0,0,0,0.10214703398466,0,0,0,0,0,0,0,-0.0439693867997585,0,0,0,0,0,0,0.0571314902853053,-0.00609196344378512,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0.0269339519192842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121838696073195,0,0,0,0,0,0,0.0182814424536222,0,0,0,0,0,0,0,0.0530179119911942,0.124411333240256,0,0,0,0.106926501649333,0,0.0240669073892542,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105676966522129,0,0,0,0,0,0,-1.0842021724855e-19,0,0.00901782014441187,0,0,0,0,0,0,0.228209362633095,0.00955816850755232,0,0,0,0,0,0,0,0.0282420963488602,0.204026802319857,0,0,0,0,0,0.00181909033328841,-0.0040893841360638,0,0,0,0,0,0
X601992.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.534082155921292,0,-0.0679501122037098,0,0.0730134633703308,0,0,0,0,0,0,0,0,0,0.232394311728842,0,0,0,0,0,0,0,0,0,0,0,0,0.420084383172118,0,0.0402393679589681,0.0319724291121367,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0.132141028073573,0,0,0,0,0,0,0,0,0.105040912784748,0.247505725456068,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00345385599691981,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00923818019514563,-0.0030641173593557,0,0,0,0,0,0
