,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600010.SH,X601898.SH,X600660.SH,X601991.SH,X600688.SH,X600188.SH,X601600.SH,X600795.SH,X600362.SH,X600886.SH,X000898.SZ,X002466.SZ,X600516.SH,X600547.SH,X601992.SH,X600027.SH,X600111.SH,X300072.SZ,X600176.SH,X002460.SZ,X600352.SH,X000553.SZ,X002110.SZ,X600299.SH,X000786.SZ,X600426.SH,X600808.SH,X000932.SZ,X600801.SH,X000709.SZ,X000883.SZ,X601158.SH,X600339.SH,X600583.SH,X600219.SH,X601699.SH,X000830.SZ,X000408.SZ,X601003.SH,X600985.SH,X002271.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,-0.00972324287600766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0221555538239438,0,0,0,0,0,0,0,0,0,0,0,0.0691413600710775,0.080184901063881,0,0.0978476203966317,0,0,0.0769067588950138,0.101902083760748,0,0,0,-0.00690976139851365,0,0,0,0,0,0
X600028.SH,0,0,0.270360382222796,0,0,0,-0.0245531459531477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0164484722633673,0,-0.0643384098941138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0422586092295931,0,0,-0.00211678149844782,0.000356067936946599,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,-0.0614841286283391,0,0,0,0,0,0.443415295377037,0,0,0.16727966666762,0,0,0.0286346575964541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0110931886227133,0,0.0185663759354364,0,-0.00952208146732871,-0.0302736191268611,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.166559103844058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00657519066775311,0,0,0.130290378824894,0,0,0,0.198165448622028,0,0,0,0,0,0,0,0,0,0,0,0.0764090266749616,0,-0.00266867126615978,2.16840434497101e-19,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0362991694539029,0,0,0,0,0.0192892444102937,0,0,0,0,0,0,0,0,0,0,0.320578382948883,0,0.0921121784166123,0,0.0219580174374068,0.0232820960169878,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0.156577873456756,0.118074447766004,0,-0.191745448091978,0,0.126955948037385,0,0,0,0,0,0,0,0.417816190548898,0.0393131899666031,0,0,0,0,0.0191933707376313,0.0136920845447531,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,-0.0409610819910751,0,0,0,0,0,0,0,0,0,0,0,0.186159476513804,0,0,0.641161309758432,0,0,0,0,0,0,0,0,0,0,0,-0.0544514018618998,0,0,0,0,0,0,0,0,0,0,0,-0.0325337548300807,0,0,-0.0048044927332446,0.0200594073538666,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216724706544233,0,0,0,0,0,0,0,0,0,0,0,0,0.0727979593042718,0,0,0,0,0,0,0,0,0,0,0,0,0.211469701108738,0.135622582537352,0,0.0706947880868667,0,0,0,-0.0222419984799127,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.268710178675954,0,0,0,0,0,0.0253042170095703,0,0.0699962645793609,0,0,0,0.0805313432089526,0,0,0,0.0834072142241041,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0811552040491702,0,0.0275697298182939,0,0,0,-0.00990891443422719,-0.00610680953777901,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0951326977244497,0,0,0,0,0,0.157278768082572,0,0,0,0.0247753767221105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0178285314805983,0,1.0842021724855e-19,0.0122733016852008,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0.0028663671038986,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19799178911306,0.137210141716986,0,0,0,0.0424299893566304,0,0,0,0,0,0,0,0,0,0,0,0,0.0472331194080433,0.179413543371435,0,0,0,0.0148551247673671,0,0,0,0,0,-0.00337402064757522,0,0,0,0,0,0
