,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X601600.SH,X601898.SH,X600688.SH,X600795.SH,X601991.SH,X600027.SH,X600188.SH,X600362.SH,X600886.SH,X600157.SH,X601992.SH,X600623.SH,X600111.SH,X600299.SH,X600547.SH,X601158.SH,X600660.SH,X002466.SZ,X000709.SZ,X000792.SZ,X600489.SH,X000539.SZ,X600583.SH,X000898.SZ,X600309.SH,X600352.SH,X000883.SZ,X000027.SZ,X002075.SZ,X000959.SZ,X600021.SH,X000983.SZ,X000629.SZ,X000060.SZ,X000630.SZ,X601699.SH,X600578.SH,X002470.SZ,X300072.SZ,X600098.SH,X000012.SZ,X600176.SH,X600022.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0.0972067600017258,0.0833186553129183,0,0,0,0,0,0,0,0,0,0.0507865706580464,0.00559058101904001,0,0,0,0,0,0.0741445732632033,0,0,0,0.0082371443241243,0,0,0,0,0,0,0,0,0.101305738596634,0,0,0,0,0,0,0,1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0.294598024648615,0.0226255740021173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0169162004550616,0,0,0,0,0,0,0,0,0,0,0.00815393811663314,0,0,1.0842021724855e-19,0,0.0166695617588176,0,0,0,0,0.0452560117799423,0,0,0,0,0.00485181958433275,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0.29467628636904,0,0,0,0,0,0,0,0,0,0.00352129574157438,0,0,0,0,0,0,0,0.0342083190748359,0,0,0,0.0338285457342695,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0.0695230331059662,0,0.0215997162661287,0,0,0,0,0.0232046016849576,0,0.154573966805456,0,0,-0.00637062278427491,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0.102727855411251,0,0,0,0,3.46944695195361e-18,0,0,0,0,0.0134923010390116,0,0,0,0,0,0,0.095226676276265,0.00163210950909745,0,0,0,0.0298617723239465,0,0,0,0.174574388038427,0,0,0,0,0,0,0,0,0,0,0,0.0838826470811752,0.0384652540745452,0,0,0,0,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0.0972442502772063,0,0,0,0,0,0.0160165333301154,0,0,0,0,0,0.047821476893535,0,0,0,0,0,0.0533908315786497,0,0,0,0,0,0,0,0,0,0,0.124089641988659,0,0,0.114424781340229,0.164796074624748,0.25342524534215,0,0,0.00186765352272001,0,0,0,0,0.0204475872546571,0,-0.0215311541325812,-0.0114297847801954,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0.0167426014728289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.411857044816627,0,6.93889390390723e-18,0,0,0,0.113767640132855,0,0,0,0.127893875474977,0,0,0,0,0,0,0,0,0.241915345451003,0,0,-0.0132336944236442,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0.0680429493466413,0,0,0,0,0,0,0,0.0822301284213068,0,0,0,0,0,0,0,0,0.0940755022511294,0,0,0,0,0,0,0,0,0.139971557228046,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0.0640645184288993,0,0.113553118347485,0,0,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0.21332521584345,0,0,0,0,0,0,0,0.102901040393861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11629464507791,0,0,0,0,0,0.0608424674534087,0,0,0,0,0,0,0,0.0279843723618436,0.305269041871624,0,0,-0.0153664373971552,0,0,0,0,0,0
X601898.SH,0,0,0,0,0.0558785834887986,0,0,0,0,0,0,0,0,0.0148172267729936,0,0,0,0,0,0.0167322392335963,0.304581911147776,0,0,0,0,0,0,0,0,0,0.117843654358139,0,0,0,0,0,0,0,0,0.124556864011777,0.0308647371610093,0,0.0173355886587503,0,0,0,0,0.137866354757174,0,0.000959314239532333,0,0,0,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0.208219614999347,0,0,0,0,0,0,0,0.0596208302782731,0,0,0,0.039884165721059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0880879150885825,0.115537002345666,0,0,0.188788736556223,0,0,0,0,0,0.0492089831434634,-3.46944695195361e-18,0,0,0,0,0.00879872038418828,0,0,0,0,0,0
