,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600011.SH,X600309.SH,X600010.SH,X600547.SH,X601898.SH,X601991.SH,X600660.SH,X600886.SH,X600688.SH,X601600.SH,X600795.SH,X600362.SH,X600027.SH,X600188.SH,X000898.SZ,X601992.SH,X600176.SH,X002466.SZ,X600516.SH,X600111.SH,X000709.SZ,X600352.SH,X600299.SH,X002460.SZ,X000629.SZ,X600489.SH,X600808.SH,X600157.SH,X601158.SH,X600219.SH,X600801.SH,X000825.SZ,X000786.SZ,X000883.SZ,X000553.SZ,X002110.SZ,X600583.SH,X002470.SZ,X000408.SZ,X002271.SZ,X600339.SH,X600612.SH,X000539.SZ,X000630.SZ,X600021.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.101207756251898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000559005401327785,0,0,0.0232039015999132,0,0,0,0.175187853071431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0184550891765357,0.0729667584466208,0,0,0,0.139243518379962,0.00455163638027588,0,0,0,0,-0.0174503287924453,0.0145869276131541,0,0,0,-0.0165517261651276,0,0
X600028.SH,0,0,0,0,0,0.034115789222102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143321215327616,0.0538140684803996,-0.0641165346802854,0,-0.0779600610371905,0,0,0,0,0,0,0,0,0,0,0,0.191123417004514,0.308106350714521,0,0,0,0,0,0.00012733932100948,0.11065400473223,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,-0.136826718272833,0.0607246938097445,0,0,0,0,0,0,0,0,0,0,0,0.0351729608251381,0,0,0.0849928240682508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18493201141212,0,0,0,0,0,0,0,0.0887047184548459,0,0,0,0,0,0.0226798499212388,0,0,0,0,0.103163992902972,0,0
X600585.SH,0,0,0,0,0,0.173816196534093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08014752555626,0,0,0,0.372785930514448,0,0,0,0,0,0,0,0,0,0,0,-0.108732431830343,0,0,0,-0.0315171264832688,0.0399472855156618,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0.101641483400092,0,0,0,0,0,0,0,0,0,0,0,0,0.185790475833596,0.0856062442803309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186817751209934,0,0,0,0,0,0,0,0,0,0,0.0144306950147224,0.00602433743126557,0,0,0,0.050945391345419,0,0
X600011.SH,0,0,0,0.0222085601585887,0,0,0.186844602925794,0,0,0,0,0,0,0,0,0,0,0.513654077494421,0,0,0,0,0,0,0,0,0,0,0,0.131271400815988,-0.115071017564505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.140552555317325,0,0,0,0,0,-0.022092440881225,0.00336883053188535,0,0,0,-0.0924428605999497,0,0
X600309.SH,0,0.11498418171262,0,0.397119124865469,0,0.107500696962836,0,0,0,0,0,0,0,0,0,0,0,0.0110972841560582,0.19063054527309,0,0,0,0,0,0,0,0,0,0.195311805304435,-0.0837487737365629,0,0,0,0,0,0,0,0.1733716474371,0,0,0,0,0.309823751647831,0,0,0,-0.0548940753392675,0,0,0,0,-0.0361178755391874,0.0268976306463371,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0.0326251014907999,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0714622321713301,0,0,0,0,0,0,0,0,0.0262984662935122,0,0,0,0,0,0,0,0,0,0.14237174967734,0,0,0,0,0.0479069947805424,0,0,0,0,0,0,-0.00866890604639551,0.00973799411074943,0,0,0,0.072363022705218,0,0
X600547.SH,0,0,0,0,0,0,0.0189758692120158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0840005400904085,0,0.0094012457387986,0,0,0,0,0.0268118999836888,0.669992485790034,0,0,0,0,0,0,0,0,0,0.000665425398839165,0,0,0,0,0,0.0804902128208508,0,0,0,0,0,-0.00160363976953301,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0.0416671851056863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0706806449329483,0,0.0785601794369422,0,0,0,0.0612276872792605,0,0.0404302055484495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0588795566806165,0.119826071181969,0,0,0,0,0,-0.00980779400815274,0.0262038304873217,0,0,0,0.00612323718817435,0,0
X601991.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0538494508888221,0,0,0,0,0.136066712162348,0,0,0,0,0.0732804818067125,0,0,0,0,-0.00668904147514497,0,0,0,0,0.0558094354491458,0,0,0,0.0164503639195818,0,-0.0018333285451574,0.0592433637632996,0,0,0,0,0,0,-0.0103599442662976,-0.00242476503771875,0,0,0,0,0,0
