,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600011.SH,X600309.SH,X600010.SH,X601898.SH,X601991.SH,X600660.SH,X600547.SH,X601600.SH,X600688.SH,X600886.SH,X600188.SH,X600795.SH,X600362.SH,X600027.SH,X000898.SZ,X601992.SH,X600111.SH,X600176.SH,X600516.SH,X002466.SZ,X600299.SH,X000709.SZ,X000629.SZ,X002460.SZ,X600808.SH,X600352.SH,X600219.SH,X300072.SZ,X000825.SZ,X600801.SH,X601158.SH,X002110.SZ,X000553.SZ,X600489.SH,X600339.SH,X000786.SZ,X000883.SZ,X600583.SH,X601699.SH,X000301.SZ,X000932.SZ,X000630.SZ,X600426.SH,X000792.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.168802763099302,0,0,0,0.0596797701629622,0,0,0,0.0982793475219708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.293194821817716,0,0,0,0,0.12732690935798,0,0,0,0.0153059864937673,0,0,0.0361408237224949,0,0,0,0,0,0
X600028.SH,0.187061627331904,0,0,0,0.278801879242143,0.0154202537254712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0431374052125971,0.0858983710438714,0,0,0,0,0,0,0,0,0,0,0.101813088696077,0,0,0.064128730916813,0,0,0,0,0,0,0,0.00478829405722875,0,0,0,0,0,0,0
X601088.SH,0.118368324173219,0,0,0.122849538908025,0,0,0,0,0.192237620668093,0,0,-6.93889390390723e-18,0,0,0,0.113158803034826,0,0,0,0,0,0,0,0,-2.71050543121376e-20,-0.0248619158841307,0,0.0147662155035956,0,0,0,0,0,0.0330220760114732,0,0,0,0,0,0.00501708853028303,0,0,0,0,0.0180309703335616,0.0992555032970821,0,0,0,0,0,-0.00564087541103233,0,0,0,0,0,0
X600585.SH,0,0,0.136505286699522,0,0,0.137448912479946,0.0343471315075033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.344210265955989,0,0,0,0,0,0.124434479601045,0,0,0,0,0,0,0.115869024769491,0.0875831335135791,0,0.0109264335009208,0,0,0,0,0,0,0
X600019.SH,0,0,0,0.0116885516139813,0,0,0.0605580277614079,0,0,0,0,0,0,0,0,0,0,0,0,0.506446049755664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0709743507553264,0,0,0,0,0,0,0,0,0,0,0.0379679413274297,0,0,0,0,-0.0162654569957367,0,0,0,0,0,0,0
X600011.SH,0,0.0460391454125064,0,0.040183069230855,0,0,0.0181441963091535,0,0,0,0,0,0,0,0,0,0,0,0.789093877530203,0,0,0,0,0,0.0221317786705031,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.169511657206968,0,0,0,0,0,0,0,0,0,0.0323725728272537,0,-0.0227663025548081,0.0610541863558242,0,0,0,0,0,0
X600309.SH,0,0,0,0.374579833032751,0,0,0,0,0,0,0.002955741148687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143065257596198,0,-0.364199987532058,0,0,0,0,0,0.190638652580187,0,0,0,0,-0.331782316887162,0,0,0,0,0,0,0.0283213943537152,0,0.306039712319827,-0.0825569942976031,0,-0.00372752901595249,0.0658690365238724,0,0,0,0,0,0
X600010.SH,0.120252980272174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0227325109620425,0,0,0,0,0,0.193124578774809,0,0,0,0,0,0,0,0,0.0891807185709256,0.0501719242191721,0,0,0,0,0.0220643042631233,0,0,1.73472347597681e-18,0,0,0.0859706792008312,0,0,0.0927767501487511,0,-0.00714423506030379,0,0,0,0,0,0,0
X601898.SH,0.0486441144648559,-1.73472347597681e-18,0.0291608855853724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.241693789064059,0,0,0,0,0,-0.0988293791357028,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0.142445008668604,0,0.0627877495430082,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0740912960806808,0,0,0,0,0,0,0.0433622511712722,0,0,0,0.10615044428694,0,-0.0158642316537002,-0.0121054154603829,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0227588323360402,0,0,0,0,0,0,0,0.396934590559041,0,0,0,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,-0.00773632218658633,0.0429175840828261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.253093772109137,0,0,0,0,0.485201183525205,0,0,0,0,0,0,0,0,0,0,0,0.0146971675724348,-0.0103191901277495,0,0,0,0,0,0
