,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X600547.SH,X600011.SH,X600010.SH,X601898.SH,X000708.SZ,X601600.SH,X600886.SH,X600660.SH,X600188.SH,X600362.SH,X601991.SH,X600795.SH,X600352.SH,X600688.SH,X600801.SH,X600111.SH,X002271.SZ,X601992.SH,X600027.SH,X000723.SZ,X000786.SZ,X002353.SZ,X600516.SH,X002466.SZ,X600489.SH,X002460.SZ,X000898.SZ,X601158.SH,X600176.SH,X600299.SH,X600583.SH,X600612.SH,X000883.SZ,X000709.SZ,X600426.SH,X600219.SH,X000629.SZ,X000027.SZ,X000792.SZ,X000630.SZ,X600315.SH,X000553.SZ,X000825.SZ,X601699.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.132518065675078,0,0,0,0,0,0,0,0.103891946556335,0,0,-0.0154513206000558,0,0,0,0,0,0,0.104842441862929,0,-0.01625735475973,0,0,0.0286781696321745,0.00101471547687833,0,0.0904633577293181,0,-0.0526347721295446,0,0,0,0,0,0,0,0,0,0,-1.0842021724855e-19,0,0,0,0,0,-0.0102548262494701,0,0,0.014007690123933,0,-0.0198142357124789,0,0,0,0,0.00476035267667563,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0.0245782189536457,0.0181407335562527,0,0,0,0.0584672010618555,0,0,0,0.0946075294255973,0,0,0,0.0166228141242695,0,0,0.112262264717579,0,0,0,0,-0.0104504206176353,0,0,0,0,0,0,-0.00929375889522623,0,0,0,0,0,0,-0.00474136187410965,0,0,0,0,0,0,0,0.0119024395888473,0,0,0,0,0,0
X601088.SH,0,0,0,0.233399740127978,0,0.134551921512217,0,0,0,0,0.0671767816239755,0,0,0,0,0,0,0,0,0,0,-0.0440213338142528,0.0694212814024607,0,0,0.0167300509596244,0.154376536707638,-0.0957409362658789,0,0,-0.0169010904091407,0,0,0,0,0.0188097346293576,0,0,0,0,0,0,0,0,-0.0729438121122042,0,0,0,0,0,0,-0.021098955761726,0,0,0,0,-0.00732427293257524,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.544490249319539,0,0,0,0,-0.00591789572155326,0,-0.0247637715816803,0,0,0,-0.0639631651208404,0,0,0,0,0,0,0,0,-0.00527864485446404,0,0,0,0,0,0,0,0,0,0,-0.00727921863053217,0,0,0,0,-0.0196195564284303,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875649424453649,0,0,0,0,0,0,0,0.10278240039878,0,0,0.0224208020336313,0,0,0,0.0408759954660031,-0.0845104799707075,0.129913330246362,0,0,0,0,0,0,0,0,0.00715249436868877,0,0,0,0,0,0,0,0,0,0,-0.0231370429816079,0,0,0,0,-0.00230548368291575,0,0
X600019.SH,0,0,0.0447134564389324,0,0,0,0,0,0,0,0.0350459310458915,0,0,0,0,0,0,0,0.0495804194997772,0,0,0,0,0,0,0.0655837653974846,0,0,0,0,0,0.00579001642082911,0,0,0,0,0.03321461719922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0252846235107406,0,0,0,0,-0.0448744212024771,0,0
X600547.SH,0,0,0,0,0,0,0,0.207350001552553,0,0,0.0158089202677407,0,0,-0.0603073287969463,0,-0.32998859898596,0,0,0.0727941416011027,0,0,0,0,0,0,0,0,0.0484126039998469,0.00877165389453144,-0.0689615734151302,1.16891503276256,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0675366799944575,0,0,0,0,0,0,0,-0.0257853262714784,0,0,0,0.0191486008792938,0,0
X600011.SH,0,0,0,0,0.0693691825132941,0,0,0,0,-0.0134318547667891,0,0,0,0,0,0,0,0,0,0,0,0,0.0622493530886615,0,0.362051143063861,0,0,0,0,0,0,0,0,0,0.0249196754199485,0,0,0,0,0,0,0,0,0,0,0,0.0640244087764128,0,0,0,0,0.0131628630416442,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0.107545083204161,0,0,0,0.0283670472168948,0.0960303517232497,0,0,0,0,0,0,0,0,0,0,0.12639711880543,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0187026893538784,0,0,0,-0.00376449696431891,0,0
X601898.SH,0,0,0,0,0,0,-0.00310182803691074,0,0.048040700122195,0,0,0,0,0,0.0874369664618773,0,0,0,0,0,0,0,0,0.103456116486312,0,0.000387291523895131,0,0,0,0,0,0,0,0,0,0.113832726807585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.048355234290785,0,0,0,0,0,0,0
