,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600660.SH,X601898.SH,X600019.SH,X600188.SH,X601600.SH,X600585.SH,X600886.SH,X600547.SH,X600011.SH,X000792.SZ,X600010.SH,X600111.SH,X600795.SH,X600362.SH,X600160.SH,X002460.SZ,X600489.SH,X600803.SH,X000807.SZ,X000708.SZ,X000301.SZ,X002466.SZ,X000786.SZ,X600027.SH,X000408.SZ,X601991.SH,X600219.SH,X600176.SH,X600426.SH,X002128.SZ,X000983.SZ,X601168.SH,X000630.SZ,X000933.SZ,X002353.SZ,X600096.SH,X601699.SH,X600378.SH,X000877.SZ,X600985.SH,X600157.SH,X600352.SH,X600299.SH,X600549.SH,X600995.SH,X000883.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.124947406437871,0.382483459596147,0,0,0,0,0,0,0,0,0,0,0,0,0.0451918993127536,0,0,0,-0.0357932092494928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138669740562831,0,0,0,0,0,-0.00494165907893158,0,0,0,0,0.013783562892907,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0.568093828561294,-1.73472347597681e-18,0,0,0,0.0194571887331262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121211195063991,0.0156418535647435,0,0,0,0,0,0,0,0.0188500697879902,0,0,0,0,0,0,0,0,0,0,0,0,0.0122535667813576,-0.0156198131141025,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0.0256452244369644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0532413732461345,0,0,0,0,0,0,0,0,0,0,0.20569148897349,0,0,0.0599728195874294,0,0,0,0,0,0,-0.0515869925988037,0,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135168150074987,0.0368070926797249,0,0,0,0.169178281107221,0,0,0,0,0,0,0,0,0,0,0,0,0.0651726492393744,0,0,0,0,0,0.100205729813994,0,0.0197302560439858,0,0.031140930580422,0,0,0,-0.0831738288702873,-0.0163522322754713,0.00492243320509258,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0255030364730396,0.128991688715762,0,0.181661878318205,0,0,0,0,0,0,0,-0.116354417615773,0,0,0,0,0,0,0,0,0,0,-0.00688253739066712,0,0,0.183509769139792,0,0,0,0,0,0,0,0,0,0,-0.00887814396525302,0.0106798154028611,0,0.0861515311337797,0,-0.16552111740761,0,0
X601898.SH,0.0944250213838562,0.26968648836555,0,0,0,0,0.167231790958996,0.436397843989923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0247197068265549,0,0.035668351870116,-0.0400162223092448,0,0,0,0,0,0,0,0,0,0,0,0,0.0197878980203379,-0.0102680495452887,0,0,0,0,0,0
X600019.SH,0,0.11178995875674,0,0,0,0.108127519334038,0,0,0.161274845118462,0,0.145055861879506,0,0,0,0,0,0,0,0,0,0,0,0,0.0537157860836467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00273044657007049,0,0.00729690453492319,0,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0.0455923261050792,0,0,0,0,0,0,0.0107898472039078,0,0,3.46944695195361e-18,0.0869457326264863,0,0,0,0,0,0,0,0,0,0,0.132545961289669,0,0,0,0,0.0365286149270048,0,0,0.106170494565091,0,0,0,0,0.13981454959425,0,0,0.118754138086251,0.0554155197025743,0,0,0,0,0,0,0,-0.00406788658092205,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.412751633906847,0,0,0,0,0.339762295306582,0,0,0,0.00216830180821927,0,0,0,0,0,0,0,0,0,0,0.0122957025437942,3.46944695195361e-18,0,0,0,0,0,0.135138355147638,0,0.0344662234152327,0,0,0,0,0.00193887970537763,-0.00488939346074566,0,0,0,-0.137112883974491,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0216406722366666,0,0,0,0,0,0,0,0.0407197622822438,0,0,0,0,0,0,0,0,0,0,0,0.0385559179432858,0,0,0,0.22806324932524,0.0758422638544861,-0.0346564607050335,0,0,0,0,0,0.0231183925380362,-0.0206558672438656,0.00965786763743645,0,0,0,0,0,0
