,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600010.SH,X600011.SH,X601600.SH,X600309.SH,X601898.SH,X601992.SH,X600688.SH,X600795.SH,X600111.SH,X601991.SH,X600362.SH,X002466.SZ,X600188.SH,X600547.SH,X600660.SH,X300072.SZ,X600516.SH,X600886.SH,X002460.SZ,X000709.SZ,X000898.SZ,X600157.SH,X600027.SH,X600339.SH,X000959.SZ,X600489.SH,X600808.SH,X600549.SH,X600219.SH,X600352.SH,X002092.SZ,X000553.SZ,X601158.SH,X600008.SH,X000630.SZ,X000983.SZ,X000723.SZ,X000883.SZ,X600299.SH,X000792.SZ,X002271.SZ,X601699.SH,X600176.SH,X600578.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0.0742099962180071,0,0,0.0105675886792153,-0.0335479570629384,0.038428971594832,0,0.0109520092920728,-0.0251267933110021,0,0,0,0,-0.02602928017652,0,0,0,0,0,0,0,0,0,0,0.0182501000521486,0,0,-0.03592609489953,0,0,-0.00147946784272978,0,0,-0.00763166922935674,0,0,0,0,0,0,0,0,-0.00812383146392188,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0.188433125476446,0,0,0,0.0545962904463902,0,0,0,0,0,0,0,0,0,0,0,0,-0.0150939043425955,0,0,0,0,0,0,-0.0296188829968178,0,0,0,0,-0.0339834227895439,0,0,0,0,-0.00543586591445742,0,0,0,0,-0.0743306043755595,0,0,8.67361737988404e-19,0,0,0,0.00601628989757663,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0278935224507228,0,0,0,0,0,0,0,0.172580481856712,0,0,0,0,0,0.361214132408714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0224481998949865,0.0304439389000233,0,0,0,0,0,0
X600585.SH,0,2.16840434497101e-19,0,0,0,0,0,0,0.0182072864422694,0,0,0,0,0,0,0.200794906384065,0,0,0,0.273782491266025,0,-0.0997501440505672,0,0.0111232062295871,0,0,0,0,0,0,0,-0.0232929250096043,0,0,0,-0.119733656460291,0,0,0,0,0,0,0,0,0,0,0,0.148122425721758,0,0,-0.00931368724357129,-0.00229304959409433,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0241437633953695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.221430755482625,0.0694835899479239,0,0,0.0225190729556256,0,0,0,0,0,0,0,0,0,0,0.0584364064781998,0,0,0,-0.0148072906092526,0.00851426736776224,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0.0748934386006288,0,0,0,0,0,0.118139493676729,0.00229062573586443,0,0,0,0,0,-0.0356110960278445,0,0.0476360927244762,0,0,0,0,0.0546381490814018,-0.113241938070605,0,0,0,0,0,0.0643063865989355,0.0914470327020635,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02177702613413,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0028848874946143,0,0,0,0,0,0,0,0.0506186531188018,0,0,0,0,0,0.259644227321805,0.187303803199214,0.0769046538815546,0,0,0,0,0,0,0.090948718972813,0,0,0,0,0,0.0405640993541861,0,0,0,-0.0187784572354545,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0745440257018443,0.211562118940108,0,0.201301822276831,0.0137032095484882,0.0499349388192611,0,0,0,0,0,0,0.00835724373862684,0,0,0,0.100905985346626,0,0,0.0588477290078089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00317102269706828,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0.0601613589474885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.346269207220688,0,0,0,0,0,0.0211632481079222,0.0545709500192043,0,0,0,0,0,0,0,0.209852513570548,0,0,0,0,0,0,0,0,0,-0.0117703751135075,0.0108946410029028,0,0,0,0,0,0
