,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600886.SH,X600585.SH,X600019.SH,X600795.SH,X601898.SH,X600688.SH,X601600.SH,X601991.SH,X600027.SH,X002075.SZ,X600362.SH,X600157.SH,X600111.SH,X600583.SH,X600188.SH,X601158.SH,X600309.SH,X000539.SZ,X601992.SH,X000027.SZ,X000898.SZ,X000709.SZ,X000883.SZ,X600352.SH,X600021.SH,X600660.SH,X000792.SZ,X600022.SH,X002470.SZ,X600808.SH,X000629.SZ,X600489.SH,X600863.SH,X600098.SH,X600307.SH,X600578.SH,X600623.SH,X601918.SH,X600612.SH,X600547.SH,X600160.SH,X000825.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.734394286408753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00288131884815768,0,0,0,0,0,0,0,0,0,0,0,-0.0178052772440556,0,0,0,0,0,0,0.0310563736644071,0,0,0,0,0,0,-0.0192889115880908,0,0.0723927253054468,0,0,0,0
X600028.SH,0.474143779879684,0,0.155241724871525,0,0,0,0,0.138631134636723,0,-1.73472347597681e-18,0.00718433778729607,0,0,0,0,0,0,0,0.00867609234648268,0,0.00353601873051634,0,0,0,0,0,0,0,0,0.0986520853308792,0,0,0,0,0,0,0,0,0,0.0214752806094623,0,0,0,0,0,0,0,0,0,0.00315842734145051,0.0854536641638676,0,0,0,0,0
X601088.SH,0,0,0,0.117941528465767,0.270806672827114,0,0.163605861980232,0.0301580647622655,0,0,0,0,0,0,0,0,0,0,0.0386590718539324,0,0,0,0,2.77555756156289e-17,0,0,0,0,0,0,0,0,0,0.106637141889039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0115706884485331,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.64884404619271,0.106039101614017,0,0,0,0,0,0.0385992882775671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,-0.00142438139059243,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0.0809687808137802,0,0,0,0,0,0,0,0,0,0,0,0.34184889598164,0,0,0,0,0,0,0,0,0,0.181114929562256,0,0,0,0.049077052338401,0,0,0,0,0,0,0,0,0,0,0.0251887187494404,0,0,0,0,0,0,0,0,0,0,0
X600886.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600585.SH,0,0.0452390240290908,0,0,0,0,0,0.0991280017257628,0,0,0,0,0.0533015306033997,0,0,0,0,0,0,0.0560184864736241,-8.67361737988404e-19,0.189430319660751,0,0,0,0,0,0,0,0.0446332409486113,0.214109776541808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0128187621983651,-1.0842021724855e-19,0,0,0,0,0,0
X600019.SH,0,0,0.310740212683243,0.0606968766869964,0,0,0,0,0,0.067124154642752,0.0442499199038143,0,0,0,0,0,0,0,0.0379389663984787,0,0,0,0,0,0,0.25954114800573,0,0,0,0.024171328158688,0,0,0,0,0,0,0,0,0.0284645684550139,0,0,0,0,0,0,0,0,0,-0.0169811017375908,0,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0,0,0.212942686560511,0.0750446983695017,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0.0562912504347995,0.0746758135104164,0,0,0,0,0,0,0,0,0,0.0143737553319056,0,0,0.180860677170593,0,0,0.22904827423178,0,0,0,0,0,0,0,-0.0069740655015097,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0.193098554003676,0,0,0,0,0,0,0,0,0.0375984895971887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0507676173195287,0.273357097989232,0.181138712475675,0,0,0,0,0,-0.00426396164812218,0,0,0,0,0,0,0
