,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600019.SH,X600010.SH,X600585.SH,X601898.SH,X600688.SH,X600547.SH,X601600.SH,X600795.SH,X600362.SH,X300072.SZ,X600188.SH,X601991.SH,X600157.SH,X600027.SH,X601992.SH,X600660.SH,X600309.SH,X600886.SH,X600111.SH,X600489.SH,X600299.SH,X000898.SZ,X601158.SH,X000709.SZ,X000792.SZ,X000959.SZ,X000723.SZ,X600339.SH,X600583.SH,X002466.SZ,X000408.SZ,X600098.SH,X000883.SZ,X000630.SZ,X600352.SH,X600623.SH,X600219.SH,X000539.SZ,X000027.SZ,X000983.SZ,X600021.SH,X002092.SZ,X002470.SZ,X000060.SZ,X000935.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.388173602305846,0,0,0.0602006239949645,0,0,0,0,0,0.010386217168931,0,0,0,0,0,0,0,0.0244175147725111,0,0,0,0,0,0,0.0630318533675486,0,0,0,0,0,0,0.0353703555162832,0,0,0,0,0,0,0.0815785843884688,0,0,0,0,0,0,0,0,0,0,0,-0.00354791261136044,0,0,0,0,0,0
X600028.SH,0.639708355904772,0,0,0,0,0,0.177529893997617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0184323128518343,0,0,-0.00180793388949776,0,0,0,0,0,0,0,0,0,-0.0338626773144457,0,0,0,0,0,0,0,0,-0.0025915407729083,0,0.0244526426164817,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0.0654935787624286,0.144560881211896,0,0.0225297333079689,0,0,0.0393458196765528,0,0.122018078752347,0,0,0,0,0.0475198463312738,0,0,0,0,0,0.112695869336894,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0256479783616731,0,0,0,0,0,0,0,0.00287268045510455,-2.16840434497101e-19,0,-0.00820922944498095,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,-0.044977193007866,0,0.379164556749476,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0249058225739058,0,0,0,0,0,0,0,0,0,0,0,-0.040246716507499,0,0,0,0,0,0,0,0.0477108243321613,0,0,-0.0154583401449475,0,-0.0197108978616508,0.0298115957270629,0.00580261292200254,0,0,0,0,0
X600019.SH,0,0,0.0636481559763158,0,0,0,0.117153825340427,0,0,-0.0879658327313255,0,0,0.0951222703962419,0,0,0,0,0,0,0,0,0,0.0562526698391003,0,0,0.0355166370281938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196354576441391,0,0,0.103961087585079,0.0225573458102597,0.000219617195787847,-0.0527954795406019,0.0642749288742617,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0.0903365304866156,0,0.0466419568293323,0,0,0,0,0,0,0,0.102955903600537,0,0,0,0,0.217515750186026,0,0,0,0.0403029346565387,0,0,0,0,0,0,0,0,0,0.066915620524375,0,0,0,0.0600287992482418,0,0,0,0,0.00250622717080226,0,-0.0154518335308669,0,0,0,0,0,0,0
X600585.SH,0,0.0672542731244937,0,0,0.0508866123621237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0222874820399896,0.132883176810074,0,0,-0.0439752025399199,0,0.11629732270115,0,0,0,0,0.0374942474405071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0.00115192104384798,-0.109678128292108,0,0.00109827234223155,0,0,0,0,0,0
X601898.SH,0,0,0.241749492161082,0,0.0225059616444702,0,0,0,0,0,0,0,0,-0.0716081596447959,0.207172563257368,0,0,0,0,0,0,0,0,0,0,0.0180941823236498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.234172316801747,0,0.00677479174456324,0,0.0513716889868042,0,-0.0248510005348925,-0.0163162448435473,0,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,-0.0185336053720376,0,0,0,0,0,0,0,0,0,0,0,0,0.0248876212420491,0,0,0,0,0,0,0,0,0,0.412175235562028,0,0,0,0,0.0434093090123885,0,0,0,0,0,0,0,0.0297826651654717,0.0647208043505402,0.00565456138111099,0,0,0.00995577030466728,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,-0.00724596664425028,0,0,0,0,0,0,0.0241619792616968,0,0,0,0.901881265564384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0459713586312838,0,0.0501234623158959,0,0,0.0697195052181991,0,-0.0437803714987895,0.0262191063313151,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0.0586865401601392,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045012837188984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191544373405381,0,0,0.0739649103690314,0,0,0,0,0.100857055434882,0,0.247403822421123,-0.0343191742025116,-0.141062014068705,-0.0232477635861903,0.0222825750570761,0,0,0,0,0,0
X600795.SH,0,0.0133588559789016,0,0.198274343779318,-0.110721040095337,0,0,0,0,0,0.0158575823503218,0,0.0420917863021081,0,0,0,0,0,0,0.121555842586204,0,0,0,0.0146031736418279,0,0,0,0,0,0.0493199348541249,0,0,0,0,0,0.125581503667458,0,0,0,0.0173624995013779,0,0,0,0,0,0.0516054834341617,0,0,-0.0435647465633238,0,0.000961559326649551,0,0.027884551375389,0,0,0,0,0
X600362.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0603580715533434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.415536925818458,0,0,0.156031990162975,0,0,0.316302363107245,-0.0627865067560954,0.0578421463613074,0,0.0451947228928356,0,0,-0.0224453753202387,0,0,0,0,0,0,0
X300072.SZ,0,0,-0.0998818472149852,0,0,0,0,0,0,-0.0522950222567518,-0.0640673928987633,0,0.185682814358303,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0951081424257242,0,0,0,0.0579783308998786,0,0,0,0,0.00675476670140504,0,0,0,0.130855596816274,0,0,0,0,0,0,0,0,0.0166438542014657,0.183377028189701,0,0,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0,0.327014806417672,0,0,0,0,0.0856968830553372,0,0,0,0.0898525568227587,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0367899358185359,0,0,0,0,0,0,0,0,0,0,0,0,0.278273768561175,-0.0324775159549289,0,0,-0.000911676466691374,0.0181592057985885,0,0.00824584919670852,0,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0,-0.0127832464648259,0.0117553422583268,0,0,0.0158330473567166,0.0511671756678376,0,0,0,0,0,0,0,0,0,0,0.0300491092354712,0,0,0,-0.0135632591874744,0,0.0503783656449662,0,0,0,0,0,0,0,0.111757329495543,0,0,0,0.0176571021359791,-0.0286672719565677,0.014541131534844,0,0,0,0,0,-0.00305254558825139,0,0,0,0,0,0
X600157.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0383013418593887,0,0.346154984202173,0,0,0,0,0,0,0,0.0364955178539838,0,0,0,0,0,0,0,0,0.0729478521920264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10202760495599,0.11258489296684,0,0.0444836959338683,-0.0436867248654001,0,0,0,0,0,0
