,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X600019.SH,X002460.SZ,X002271.SZ,X000708.SZ,X600660.SH,X601898.SH,X600362.SH,X600547.SH,X601600.SH,X600111.SH,X000786.SZ,X600010.SH,X000301.SZ,X600188.SH,X600886.SH,X002466.SZ,X600426.SH,X600011.SH,X600176.SH,X000932.SZ,X600803.SH,X601991.SH,X000898.SZ,X600801.SH,X600219.SH,X600352.SH,X600795.SH,X600489.SH,X000807.SZ,X000825.SZ,X000027.SZ,X600688.SH,X600315.SH,X600157.SH,X002080.SZ,X600516.SH,X601168.SH,X002353.SZ,X000723.SZ,X600808.SH,X600486.SH,X600027.SH,X600299.SH,X000630.SZ,X000830.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.233981956383906,0,0,0,0,0,0,0,0,0,0.0200192816292267,0,0.0654923469664656,0,0,0,0,0,0,0.0157073563500038,0.0177522799144185,0,0,0,0,0,0,0,0,0.00295541567622745,0,0,0,0,0,0,0,0,0,0,0,0.0646069725535369,0,0,0,0,0,0,0.00363642030896716,0,0,-0.000951304846563447,0,0,0,-4.33680868994202e-19,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0147278011779511,0.0313592530348286,0,0,0,0,0,0.0966800944681837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011133047723502,0,0,0,0,0,0,0.123560234024245,0,0,-0.0306466802743718,0,0,0,-0.0102067575434875,0,0
X601088.SH,0,0,0,0,0,0,0.0231856721137885,0,0.00923324604612114,0,0,0,0,0,0,0,0,0,0.105409662327627,0,0.133026042699805,0,0,0,0,0,0,0,0,0,0,0,0,0.027568234164805,0,0.00418097863232551,0,0,0,0,0.0134079253347635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0.0388033546568541,0,0,0,0,0,0,0,0.102526581021058,0.159142974533492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0766967843658174,0,0,0.0381210366080326,0,0,0,0,0,0,0,0.185083604283276,0,0,0,0.113530933906724,0,0,-0.0543021329115885,0,0,0,-0.0100260117161679,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0779005223667212,0,0,0,0,0,0,0,0,0.00672807097153163,0,0,0,0,0,0,0,0,0,0,0,0.0347729769762815,0,0,0,0.0642927444284619,0,0,-0.0119515256036546,0,0,0,-0.0110119551692707,0,0
X600019.SH,0,0,0,0,0,0,0.0266156368591174,0,0,0,0,0,0,0,0,0,0,0,0.0120008295308323,0,0.0920342375432685,0,0,0,0.238234072236832,0,0,0.0356176814915073,0,0,0,0,0,0.0343293981802724,0.245328169068895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00105461327237066,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0.0274686865405171,0,3.46944695195361e-18,0,0,0.0514485606366603,0.0264537907980703,0,0.220168915113692,0,0,0.413757338032401,0,0,0,0,0.1583953915943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.270742053391489,0,0,0,0,0,0,0,0,0,0,-0.011304174615817,0,0
X002271.SZ,0,0,0,0,0,-0.0675033282608058,0,0,0,0.0598095727592353,0,0,0,0,0,0,0,0,0,0,0,0.103716164578004,0,0,0,0,0,0,0,0,0,0,0,0,-0.0136551497258732,0,0,0,0,0,0,0,0,0,0,0.0461134952664886,0,0,0,0,0,-0.0139746206608446,-0.0193458366999486,0,0,0,-0.0512807168272501,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10781783062482,0,0,0,0,0,0,0,0,0,0,0,0,0.074453158527599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0945979600426111,0.0668791147234237,0,0,0,0.213391901819138,0,-0.137722374907785,0,0,-0.0570910167164838,0,0,0,-0.0746863147668504,0,0
X600660.SH,0,0,0,0,0,0,0.168550818110436,0.221612978850806,0,0,-0.0493318749240764,0,0,0,0,0,0,0,0,0,0,0,0,0.0313439253408336,0,0.0653560785071358,0,0,0,0,0,0,0,0,0,-0.0864389261890665,0,0,0,0.0432466124452877,0,0,0,0,0,0.141495770245286,0,0,0,0,0,-1.73472347597681e-18,-0.0101234471388397,0,0,0,-0.0206610279678526,0,0
