,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X601898.SH,X601600.SH,X600795.SH,X601991.SH,X600688.SH,X600027.SH,X600886.SH,X600362.SH,X600157.SH,X600111.SH,X002075.SZ,X601992.SH,X600188.SH,X600299.SH,X600660.SH,X000792.SZ,X000709.SZ,X601158.SH,X000898.SZ,X000539.SZ,X000883.SZ,X600309.SH,X002466.SZ,X600583.SH,X000027.SZ,X600623.SH,X600352.SH,X600578.SH,X000630.SZ,X600160.SH,X000629.SZ,X002470.SZ,X600547.SH,X600489.SH,X600098.SH,X600021.SH,X600022.SH,X600176.SH,X300072.SZ,X000060.SZ,X600808.SH,X000825.SZ,X600315.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0.121900768883535,0,0,0,0,0,0,0.0608914521753747,0.0895840634176434,0,0,0,0.00719126897981729,0,0,0,0,0,0,0,0.0564598832903613,0,0,0,0,0.0232516794636738,0,0,0,0,0,0,0,0,0,0.0439413152177697,0.0752022721505906,0,0,0,0.0033126231219864,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0.0131807640969944,0,0,0,0,0.132828286180568,0,0,0,0,0,0,0,0.189071203964814,0,0,0,0,0,0,0,0,0,0.0102554345403285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0138823456267558,0.0543731782897365,0,0,0,0.0245611700022798,0.00766198345669581,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0.347297250364462,0,0,0,0,0,0,0,0,0,0,0,0.00423360020777059,0,0,0.0142398199744045,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00396927079795552,0.0428465483075956,0,0,0,0,0,0,0,0,0.0554013591693744,0,0.115346934014307,0,0,0,-0.000854608587469856,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0.0224536427237925,0,0,0,0,0,0,0,0,0,0,0,0.152283216726709,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,1.0842021724855e-19,0.0146066554275171,0,0,0,0.11368468619432,0.134973245765445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0.113430875830558,0,0,0,0,0,0,0.00221400979613657,0.129325840459441,0.130452859918156,0,0,0.295166432700244,0,0,0,0,0,0,0,0,0,0.0445144070806456,0,0,0,0,0,0,0,0.0495655084123596,0,0.0584646305574864,0,0,0,0,0,0,0.0628452803448046,0,0,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0430531193825643,0,0,0,0,0,0,0.383983779325546,0,0,0,0,0,0,0.0223084955360641,0.00190297373461853,0,0,0.0119059111004748,0,0,0,0,0,0,0,0,0,0,0.0606783903418948,0.342433450105794,0,0,0,-0.0441783448793083,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0.15836714036702,0,0,0,0,0,0,0,0.0204415968835919,0,0,0.08193451019644,0,0,0,0.000276189823173716,0.109104470800806,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0.0749708696701885,0,0,0,0,0,0,0.0688227493469186,0,0,0.0163372785099553,0,0,0,0,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105071298135648,0,0,0,0.218517173970311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109177216947474,0,0,0,0,0,0,0,0,0.123626568948297,0,0.29744244609863,0,0,0,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12206010132172,0,0,0,0,0.171656066962119,8.67361737988404e-19,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0.0131529415553613,0,0,0,0,0.0311375127711233,0.120183247280106,0,0,0,0,0,0,0,0,0.153622892439198,0,0.0309321232946436,0,0,0,0,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0269274789928671,0,0,0,0.12132828965632,0,0,0,0,0,0,0,0,0,0,0,0.0223545630224171,0,0,0,0,0.0615093783525044,0.0694244534496768,0,0,0,0.0585415115922646,0.223569747906182,0,0.00940298767421332,0,0,0,0,0,0,0,-0.00475429951122283,0,0,0,0,0,0
