,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X600547.SH,X600011.SH,X000708.SZ,X002460.SZ,X600660.SH,X601898.SH,X600886.SH,X600010.SH,X601600.SH,X600362.SH,X600801.SH,X600188.SH,X002466.SZ,X600352.SH,X000786.SZ,X002271.SZ,X600795.SH,X601991.SH,X600688.SH,X002353.SZ,X601992.SH,X600111.SH,X600176.SH,X600027.SH,X600583.SH,X600426.SH,X000723.SZ,X600299.SH,X600489.SH,X600516.SH,X000898.SZ,X601158.SH,X000932.SZ,X600219.SH,X000883.SZ,X600612.SH,X000709.SZ,X000553.SZ,X000792.SZ,X600486.SH,X002080.SZ,X000027.SZ,X000630.SZ,X000401.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0.0996157437675319,0,0,0,0,0,0,0.0261943615738921,0,0,0,0,0,0.253208785928074,0,0,0,0,0,0.0199164462311915,0,0,0,0.15697358580879,0,0,0,0,0,0,0,0,0,0,0,0.0415892004141064,0,0,0,0,-0.0018581302357253,0,0,0,0,0,0,0
X600028.SH,0.0894912545696062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0355918444395645,0,0.0217197232851068,0,0,0,0.238380848961018,0.0288819385427682,0,0,0,0.0217126698154611,0,0,0,0,0.00740427943957477,0,0,0,0,0,0,0,0,0,0,0,0.00503139900766436,0,0,0,0,-0.0115948415229979,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0.0190934483818247,0,0.0643797980028127,0,0,0,0,0.0258928127539466,0.242027052887997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105358101248107,0,0,0,0,0,0,0,0,0,0,0.00555145766017313,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.0215194427077039,0,0,0,0,0,0,0,0,0,0,0,0.397750402194346,0,0,0,0.00624098283959204,0,0,0,0,0,0,0,0,0,0,0,0,0.0675272372207296,0,0,0,0,0.0136849159087704,0,0,0,0,0,0,0,0,0,0,0,0,0.00594096186702124,0,0,0,0,0.0318381062815338,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250657095223927,0.0597577205202073,-0.0468209252749381,0,0,0,0,0,0,0,0,0,0.00901193732670324,0,0,0,0,0,0,0.165761456599661,0,0,0,0,0,0,0,0,0,0.0773489405698803,0,0,0,0,0,-0.000571016876178367,-0.00969696848177871,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0.00845749259947313,0,0,0,0,0,0,0,0.0945209316392511,0.0826265649880807,0.0222094522565453,0,0,0,0,0,0,0.0220739663365239,0,0,0,0,0,0,0,0,0,0.134646664198652,0,0,0.0478847194592132,0,0,0,0,0,0,0,0.0270578491762971,0,0,0,0,0.00968563550367917,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0952876809299817,-0.0111839138381675,0,0,0,0,0,0,0,0,0,0,-0.0341435160147817,0,0,0,0,0.878742980767486,0,0,0,0,0,0,0.13592033714364,0,0,0,0,0,0,0,0,0.0552902277731288,0,0.0252223107379699,0,0.0119976192012604,0,0.0331002700175438,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.193509810600005,0,0,0,0,0.238386426185232,0,0,0.15430866059769,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0342198998482069,0,0,0.0464143029049126,0,0,-0.00481327526654542,0,0,0,0,0,0
X000708.SZ,0,0,0,0.0528937814275087,0,0,0,0,0,-0.245175245152632,0,0,0,0,0,0,0,0,0,0.195956040194413,0.0819015396952125,0,0,0,0,0.0450748994603257,0,0,0,0,0.0315839249153482,0.040173887286643,0.194118114152076,0.275042530849289,0,0,0,0,0,0,0,0,0,0,0,0.0962453932807518,0,0,0,0.200565419070912,0,0,0.0277189240360395,0,0,0,4.33680868994202e-19,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0774650203479576,0,0.314916087322869,0,-0.115807161033074,0.237756698478719,0,0,0.054150742500106,0,0,0.258826470705128,0,0,0.155245009380434,0,0,0.0659319203612586,0,0,0,0,0,0,0,0,0,0.0339332967789556,0,0,0,0,0,0,0,0.0221837936485114,0,0,0,0,0.0467207077977414,0,0
