,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600011.SH,X600309.SH,X601898.SH,X600010.SH,X601991.SH,X600688.SH,X601600.SH,X600660.SH,X600188.SH,X600795.SH,X600886.SH,X600362.SH,X600547.SH,X000898.SZ,X600027.SH,X002466.SZ,X600516.SH,X601992.SH,X600111.SH,X600299.SH,X600176.SH,X000709.SZ,X300072.SZ,X002460.SZ,X600352.SH,X000825.SZ,X600339.SH,X000553.SZ,X600583.SH,X600808.SH,X002110.SZ,X600801.SH,X601158.SH,X000792.SZ,X000629.SZ,X000883.SZ,X000786.SZ,X000301.SZ,X600219.SH,X000408.SZ,X600426.SH,X000932.SZ,X600489.SH,X000539.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.138417161384834,0,0,0,0.0787269936678641,0,0,0.0510379449095513,0,0,0.0147346193116679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.226265981031443,0.0634807166256824,0,0,0,0,0,0.0455590460556592,0,0,0,0,0,0,0,0.00734693395507803,0,0,0,0.014090801206133,0.0167618077274601,0,0,0,0,0,0
X600028.SH,0,0,0.12746862989144,0,-6.93889390390723e-18,0,0,0,0,0,0.135671166149613,0.0721627706178426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063217866508318,0,0,0,0,0,0,0,0,0,0.00169242891738026,0,0,0,-0.0722230359544974,0.00601638796478848,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0.142574021591232,0,0,0,0,0,0,0,0,0.254712674872929,0,0,0.246688384465986,0.0287111518266116,0,0,0,0,0,0,0,0.0350190721274899,0,0,0,0,0.015507428611979,0,0,0,0,2.16840434497101e-19,0.0107217287922692,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0108645595438242,-0.0292575764268068,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0430011455940605,0.0766643472967282,0,0.413750629434243,0,0,0,0,0.169420961949111,0,0,0,0,0,0,0,0,-0.00148396146513959,-0.00303152303763228,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,-0.0169044895354112,0,0,0,0,0,0,0,0,0,0,0.0388571252946757,0,0.343408704189366,0,0,0,0,0,0,0.0441231968826093,0,0,0,0,0,0,0,0,0,0.0720505322372801,0.027983044780198,0,0,0,0,0,0,0,0,0,0.304674492718229,0,0,0,0.00760839906928553,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,-0.0300818753204214,0,0,0,0,0,0,0,0,0,-0.0709497155599539,0,0.745992976727314,0.0357988754032493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0696018781170396,0,-0.0467137216488734,0,0,0,0,0.0129668662968515,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.495982044675116,0,0,0,0,0,0,0,0,0.0902128435370632,0,0,0,0,0,0,0,0,0,0,0.213342821315525,0,0,0,0.141230247105062,0,0,0,0,0.0169238566301662,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0.248577846706468,0,0.0692843800308393,0,0,0,0,0,0,0,0.096065480994652,0,0,0,0.0184595338492055,0,0,0,0,0,0,0,0,0,0.101345329022181,0,0,0.0588490074153752,0,0,0,0,0,0,0,0,0,0,0,-0.00588434416133216,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153701285553961,0,0,0.183112340794198,0.092374573645769,0,0,0,0,0,0,0,0.034017179065186,0,0,0,0,0.0874921647694786,0,0,0.0611872865099082,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0.00479966064619439,0.00321627065922175,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0,0,0,0.091350034436001,0,0,0,0,0,0,0,0.118124196745536,0.0333323740628675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0897835994425222,0,0,0,0,0,0,0,0,0,0,-0.0703407031132593,0,0,0,0,0,0,0,0
