,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600010.SH,X601600.SH,X601898.SH,X600352.SH,X000723.SZ,X600547.SH,X600660.SH,X601991.SH,X600688.SH,X600188.SH,X600886.SH,X600362.SH,X600795.SH,X600516.SH,X601992.SH,X600027.SH,X600801.SH,X600111.SH,X000898.SZ,X600176.SH,X002466.SZ,X000709.SZ,X002460.SZ,X600299.SH,X000786.SZ,X000629.SZ,X600219.SH,X002110.SZ,X000990.SZ,X002271.SZ,X601158.SH,X600489.SH,X600157.SH,X000553.SZ,X600808.SH,X000883.SZ,X000825.SZ,X600985.SH,X000630.SZ,X600583.SH,X600339.SH,X601699.SH,X600426.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0.0487325554590521,0,0,0,0,0,0,0,0,0,0,0,0,0.14486577603731,0,0,0,0,0,0.00407137879279671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00635795677563853,0,0,0,0,0.0801779483358883,0,0,0,0.03834184504738,0,0,-0.00222838056192467,-0.00288162776051957,0,0,0,0,0,0
X600028.SH,0,0,0.00564513849850088,0,0,4.33680868994202e-19,0,0,0.183447982773162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,-2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0,0.0437809462684604,0,0.0993841115951607,0,0.00399324339679812,-0.00317887497118563,0,0,0,0,0,0
X601088.SH,0,0,0,0.219124283355034,0,0,0,0,0,0,0,0,0,0,0,0,0.00880205117687737,0,0,0,0,0,0,0.014142075474206,0.152609287062008,0,0,0,0,0,0,0.019823615165006,0,0,0,0,0.00123397725829036,0,0,0.03033357666347,0,0,0,0,0,0,0,0,0,0,0,0,-0.068750178229466,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.0884788063236338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.494206691740407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00264970756232243,0,0,0,0,-0.0158919725147141,0,0
X600019.SH,0,0,0,0,0,0,0,0,0.00780062144380051,0,0,0.0485080171314012,0,0,0,0,0,0,0.158407529667648,0,0.0106059296026723,0,0,0.145746341174797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0867160357745953,0,0,0,0,0,0,0,0,0,0.00797486591135023,0,0,-0.0152676364923714,0,0,0,0,0,0
X600309.SH,0,0,0,0.0510930732949522,0,0,0,0,0,0,0.108501008169417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076398123503971,0,0,0,0.0426789497005776,0,0,0.141541444387464,0.0182529107658766,0,0,0,0,0,0.022584448003732,0,0,0,-0.0846792842611534,0,0.0571548173028697,0,0.37959833390905,0,0.00829345639518206,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.346677109182754,0,0,0.444862827627716,-0.00583357975155594,0,0,0,0,0,-0.00039037979948304,0,0.0979538384136017,0,0,0,-0.0432048402028881,0,0,0,0,0,0,0,0,0,0,0,0.0281580245128273,0,0,0,0.0278422173349292,0,0,0,0,0.0662683734242809,0,0
X600010.SH,0,0,0,0,0,0,0,0,0.0751160604606829,0,0.0156960972964813,0,0,0,0,0,0,0,0.0404186049745405,0,0,0,0,0,0.12878931983264,0,0,0,0,0,0,0,0,0.201427604814759,0,0,0,0,0,0.187230316030036,0,0,0,0,0,0,0,0,0,0.0298746261136519,0,-0.000354646229699762,-0.0281673904674094,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0.0692340050545486,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0.101848908368567,0,0,0,0,0.0984779305822085,0.0851439281598358,0,0,0,0,0.00373873850274889,0,0,0,0.27091679199535,0,0,0.0188351684060906,0,0,0,0,0,0,0,0,0,0,0,0,0.0683570847064021,0,0,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0.245854712484748,0,0,0,0,0,0,0,0.0204877742000958,0,0.260483648481963,0,0,0,0,0,0.0556112015093614,0,0,0,0,0,0,0,0,0,0,-0.0219811633731843,0,0,0,0,0,0,0,0,0.0162879920268681,0.000280747870053417,0,0,0,0,0,0,0,0,0,0,-0.0201956120085707,0,0
