,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X600019.SH,X002460.SZ,X002271.SZ,X600660.SH,X000708.SZ,X601898.SH,X600547.SH,X601600.SH,X600362.SH,X000301.SZ,X002466.SZ,X600111.SH,X000786.SZ,X600010.SH,X600011.SH,X600886.SH,X600188.SH,X600176.SH,X600426.SH,X000027.SZ,X601991.SH,X600803.SH,X600795.SH,X600219.SH,X600352.SH,X600801.SH,X600489.SH,X000807.SZ,X000932.SZ,X000898.SZ,X600688.SH,X600315.SH,X002353.SZ,X000825.SZ,X000408.SZ,X600157.SH,X002080.SZ,X000959.SZ,X300037.SZ,X600027.SH,X000966.SZ,X600486.SH,X000883.SZ,X600516.SH,X601168.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.217710201858126,0,0,0,0,0,0,0,0,0,0,0,0.035202027842196,0,0,0,0,0.0413491206732442,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0709745312959224,0,0,0.0349929167113117,0,0,0.0277010401688439,0,0,0,0,0,0,-0.00883307175058612,0,0,0,0,0,0,0,0,0,0,0.00620604155509107,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.160765837674886,0,0,0,0,0,0,0,0,0,0,0.155941167696555,0,0,0,0,0,0,0,0,0,0,0.116075457010104,0,0.00105332555956838,0,0,0,0,0,0,0,0,0,0,0.0196039778873768,0,0,0,0.0351030419033247,0,0,0,0,-0.0162923156101433,0,0
X601088.SH,0,0,0,0,0,0,0.0172459303741132,0,0,0,0,0,0.0331837731469145,0,0,0.0748105444920549,0,0,0,0,0,0.056327385353591,0,0,0.0573097524520914,0,0,0,0.0886612431552548,0,0,0,0.0194127483643741,0,0,0,0,0,0,0,0,0,0.0534393245551129,0,0,0,0,0,0.0700972681285481,0,0,0,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0.0825640230385096,0,0,0,0,0,0.0188225652568222,0,0,0,0.199055052709693,0.169547106305252,0,0,0,0,0.0587255138744795,0.0782495709091153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00163691717846459,0,0,0,0,0.108925501837165,0,0,0.0963497813358583,0,0,0,0,0,-0.0949679798984927,0,0,0,-0.0245166536663384,0,0
X600585.SH,0,0,0,0.019642756449471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0793444416825371,0,0,0,0,0,0,0,0,0,0,0,0,0.0272839979516443,0,0,0,0,0,0,0,0,0,-0.0158440403607312,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0953829499220901,0,0,0,0,0,0.0500098622849566,0.0156805075543172,0,0,0,0,0,0,0,0,0,0,0.282020357320972,0.0556199206872839,0,0,0,0.255535338900524,0,0,0,0,0,0,0.0282200886202327,0,0,0,0,0,0,-0.0290673295768134,0,0,0,8.67361737988404e-19,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0.169751256206149,0,0,0,0,0.038978027820001,0,0.641399892719056,0,0,0.0741096246177653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118432828581463,0,0,0,0,0,-6.93889390390723e-18,0,0,-0.0465703399775349,0,0,0,0,0,0
X002271.SZ,0,0,0,0,0,-0.0214661385449007,0,0,0,0,0,0,0,0.0623818587322319,0,0.0774010551072308,0,0,0,0,0,0,0.0533210431014099,0.171302797590022,0,0,0,0,0,0,0,0,0,-0.260138918704477,-0.0044452268222202,0,0,-0.0443780546511284,0,0.106716365987366,0,0,0,0,0,0,0,-0.0106451481831304,0.138187046611721,0,0,0,0,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0.21971186440237,0,0,0,-0.0492307892256861,0,0,0,0,0,0,0,0,0,0,0,0.0735700898416951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.258494504655779,-0.0784858664317642,0,0,0,0,-0.0282411874971896,0,0,0,-0.0121886817925377,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151409201910619,0.31199707338055,0,0,0,0,0,0,0,-0.0088362147777461,0,0,0,0,0,0,0,0,0,0.0778733354288914,0,0.212173300966306,0.217023856250261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0858686935514182,0,0,0,0,0,0
