,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X600547.SH,X600011.SH,X601898.SH,X000708.SZ,X600886.SH,X601600.SH,X600010.SH,X600660.SH,X600188.SH,X600362.SH,X601991.SH,X600795.SH,X600352.SH,X600801.SH,X600688.SH,X002271.SZ,X000786.SZ,X600027.SH,X600111.SH,X601992.SH,X600176.SH,X000723.SZ,X600299.SH,X002466.SZ,X002460.SZ,X600516.SH,X002353.SZ,X600583.SH,X600489.SH,X000898.SZ,X601158.SH,X000883.SZ,X600426.SH,X600612.SH,X000709.SZ,X600219.SH,X000792.SZ,X000027.SZ,X000553.SZ,X000629.SZ,X000630.SZ,X000825.SZ,X000539.SZ,X600315.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0.0634146039316992,0.0658798273230924,0,0,0,0,0,0,0,0,0,0,0.0235964046564082,0,0,0,0,0,0,0.0182648146162791,0,0,0,0.00617496159775566,0.11967219345384,0,0,0,0,0,0.0302961948952753,0,0,0,0,0,0.00072306667237006,0,0,0,0,0,0,-0.0391758845589495,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0.0483234391367262,0,0,0,0,0.075803312102694,0,0,0,0.104102132748018,0,0,0,0,0,-0.0149789633950182,0,0,0.0795142895662088,0,0,0,0,0.00947183255737661,0.0355961724654705,0,0,0,0,0,0,0,0,-0.0157729051383638,0,0,0,0,0,0,-0.0951802941656986,0,0,0.00528242957532646,0,0,0,0.00768406434753717,0,0
X601088.SH,0,0,0,0.116371048276471,0,0.220123664394358,0,0,0,0.0708217401580275,0,0,0,0,0,0,0,0,0,0,0,0.0769821814671194,0,0,-0.0449053766904767,0,-1.73472347597681e-18,-0.00916349961378272,0,0,0,0,-0.0599245863306737,0,0,0,0,0,0,-0.150517273832085,0,0,-0.0135844983580978,0.0823375780193409,0,0,0,0,0,0,0,-0.00797192002015335,-0.0406965087933506,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0.0554179935004217,0,0,0,0,0,0,0,0,0,0.323068419837148,0,1.73472347597681e-18,0.0139534067994743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00205193170435265,0,0,0,-0.0143019303783848,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,-0.0540892524133632,0,0,0,0.0645990731072029,0.0264886056843645,0,0,0,0,0,0,0.109685365503481,0,0,0,0,0,0.00999850455998443,0,0.033419650295176,0.122432990779293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0723362137987543,0.0317835461243613,0,0,0,-0.026699498286249,0,0
X600019.SH,0,0,0.153988245274251,0,0,0,0,0,0,0.0517261655925566,0,0,0,0,0,0,0,0,0,0,0,0.0589240679395192,0,0,0,0,0,0,0,-2.71050543121376e-20,0,0,0,0.0371524915376029,0,0,0,0,0,0,0,0,0,0,0.0332966532427415,0,0,0,0,0,0,0.0101131928065774,0,0,0,0,0.0249663641863105,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0835073252977551,0,0,0,0,1.02379372193513,0,0,0,0,0.220298057634986,0,0,0,0,0,0,0,0,0,0,0,-0.0248291708539458,0,0,0,0,0.0103835931502502,0,0
X600011.SH,0,0,0,0,0.0806661377854758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0781160559362255,0.0343833609302924,0.391075061938923,0,0,0.111316601525916,-0.120555945504886,0,0,0.00231221980096323,0.0427653112681539,0,0.0731591027737327,0,0,0,0,0,0,0,0,0.00668584169424388,0,0.0555848357487848,0,0,0,0,0.0964611459244556,0,0.0149751902268126,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,-0.0294926215982155,0,0,0.175741363627012,0.160317022595247,0.211844234563425,0,0,0,0,-0.0320900304313052,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0657641580467392,0,0,0,0,0,0,0,0,0.0238176205153979,0,0,0,0,0,0,0,0,-0.0325877629573428,0,0,0,0,0.0214032488454104,0,0
X000708.SZ,0,0,0.384261676373736,0,0,0,0.1329153734538,0,0.00853622552929238,0,0.036002984778994,0,0.30570437718161,0,0.235973985990176,0,0,0,0.0849138066587835,0.172794852926076,0,0,-0.0517024939507501,0,0,0,0,0,0.07852578132271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0382729419130582,0,0,0,0,0.0242950965680526,0,0
