,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600019.SH,X600585.SH,X600011.SH,X002460.SZ,X002466.SZ,X000792.SZ,X600547.SH,X601898.SH,X601600.SH,X600111.SH,X000708.SZ,X600660.SH,X600010.SH,X000301.SZ,X600886.SH,X002271.SZ,X000877.SZ,X600362.SH,X600426.SH,X600795.SH,X600803.SH,X600176.SH,X601699.SH,X600027.SH,X601991.SH,X600489.SH,X000983.SZ,X000807.SZ,X600160.SH,X600995.SH,X000786.SZ,X000933.SZ,X002080.SZ,X000629.SZ,X600219.SH,X300037.SZ,X000932.SZ,X000723.SZ,X600688.SH,X600378.SH,X000408.SZ,X600096.SH,X000630.SZ,X600352.SH,X000831.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.251309056854645,0,0,0,0.0724434009383568,0,0,0,0,0,0,0.0045544561042307,0.0420890391495567,0,0,0,0,0,0,0.0275229331284088,0,0.135130808183502,0,0,0,0.0666196355740821,0.0103380905929756,0,0,0,0,0,0,0,0.0559786639262916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0392854264483668,-0.0336020743092987,0,0,0,0,0,0
X600028.SH,0.362957098069375,0,0.181838206866183,0,-0.0497326372278146,0,0,0,0,0,0,0,0.106944173757463,0.0649739732760926,0,0,0,0,0,0,0,0,0,0.0803029047125872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141823609171566,0,0,0,0,0,0,0,0,0,0.034041381912804,-0.0491591783530253,0,0,0,0,0,0
X601088.SH,0,0.041883856315731,0,0,0,0,0,0.0245824043687115,0,0,0,0,0.126372026460645,0.116306963025218,0,0,-0.00699843865689585,0,0,0,0.0174894422739576,0,0,0,0,0,0,0.11940530955556,0,0.0825284142434951,0,0,0.0147081726228753,0,0,0.00667477373230498,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0.0464237368961732,0,-0.00604286337734131,0,-0.00900316481939642,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0.0268173783002495,0,0,-0.00980148414748088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121884797885928,0,0,0,0,0,0,0,0,0.04617117671677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0095317823741818,0,0,0,0,0,0,0
X600188.SH,0,0,0.27378515598335,0,0,0,0,0,0,0,0,0,0.122478229469803,0,0,0,-0.493871834072216,0,0,0,0,0,0,0,0,0,0,0.09273295087131,0,0,0,0.124642167972837,0.0436614522167105,0,0,0,0.242423157462133,-0.0219819421650985,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0184983150490319,0.011552423559723,0,0,0,0,0,0
X600019.SH,0.273009894187302,0,0,0,0.0651155446425803,0,0,0,0,0,0,0,0,0,0,0.00834832580335886,0,0,0.0802036826801768,0,0,0.364373598280157,0,0,0,0,0.0303193175800932,0,0,0,0,0,0,0,0,0,0,-0.0433921948014818,0,0,0,0.124499087539874,0,0,0,0,0,0,0,0,0,0.0131264260702335,-0.0169734618753068,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,-0.0121189987793373,0,0.0842747692629728,0,0,0,0,0,0,0.126293561868276,0.382556004835232,0,0,0,0,0,0.0291416411755881,0.0378370670085629,0,0,0.0309606337295082,0,0,0,0,0,0,0.0450491535359361,0,0,0,0,0,0,0,0,0,0.0259923856852345,0,0,0.00467483067347884,0,0,0,0,0,0,0
X600011.SH,0,-0.00457538632686043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.460899012768539,0,0,-0.108225479154732,0,0,0,0,0,0,0,0,0,0,0,0,0.112881881291205,0,0,0,0,0,0.0518051562102474,0.00400204237349187,0,0,0,0,0,0,0
X002460.SZ,-0.123770238518034,0,0,0,0.0816549942391463,-0.0180561768624071,0,0,0,0.657470234984476,0,-0.053017750883034,0,0,0,0,0.026870146443718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0725081974561941,0,0,-0.0716938005142137,0,0.0565466913750055,0,0,0,0,0,0,0,0.0389291614303166,0,0,0,0,0,0.00515915644300496,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0,0,0.524927940500371,0,0,0,0,0,0.11247081269506,0,0,0,-5.42101086242752e-20,0,0,0,0,-0.00886840566488654,0,0,0.0445350308837959,0,0,0,0,0,0,0,0,0.00249367818997999,0,0,0,0,0.0162434886376192,0,0,0,0.0718169606684946,0,0,0,0,0,-0.0123934301187897,-0.0192717832212705,0,0,0,0,0,0,0
