,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X600547.SH,X000708.SZ,X600011.SH,X601898.SH,X002460.SZ,X600010.SH,X601600.SH,X600886.SH,X600660.SH,X600801.SH,X002271.SZ,X600688.SH,X600362.SH,X600188.SH,X000786.SZ,X600352.SH,X600795.SH,X601991.SH,X601992.SH,X002466.SZ,X600111.SH,X600027.SH,X000723.SZ,X600299.SH,X600176.SH,X000401.SZ,X600426.SH,X000792.SZ,X600489.SH,X000898.SZ,X601158.SH,X600516.SH,X600219.SH,X002075.SZ,X000553.SZ,X000932.SZ,X002353.SZ,X000883.SZ,X000709.SZ,X600126.SH,X600583.SH,X600160.SH,X000027.SZ,X000630.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0.00173798592065212,0,0,0.290279361531179,0,0,0,0,0.0208515978347406,0,0,-8.67361737988404e-19,0,0,0,0,0.0309007000819815,0,0,0,0,0,0,0,0,0.178019132949325,0,0,0,0,0,0,0,0,0.0573297352265186,0,0,0.0704518006469976,0,0,0,0,-0.00887722251937242,0,0,0,0,0,0,0
X600028.SH,0.323849542537082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0771570299328418,0,0,0,0,0,0,0,0.0169675992866591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015986487423176,0,0.0581111460835177,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0.02478249585418,0,0
X601088.SH,0,0,0,0,0,0.128385970923853,0,0,0,0,0,0,0,0,0,0,0,0.0233694575956887,1.73472347597681e-18,0.190052357085325,0.00813646195843,0,0,0,0,0,0,0,0.061448395839391,0,0,0,0,0,0,0.17072636464825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0115911500318344,0.0112212813966071,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,-0.0643903793846664,0,0,0,0,0,0,0,0,0.384009062293979,0,0,0,0,0.037685594303081,0,0,0,0,0.00997583970554163,0,0,0,0,0,0.0957000662807839,0,0.021858172038022,0,0,0,0,0,0,0,0.101552871831468,0,0,0,0,0,-0.0382002430132839,0,0,0,-0.017804117437662,0.0302421410420343,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0.103764915604263,0,0,0,0,0.0731872200846905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.203178554084585,0,0,0,0,0.0310136426502482,0,0,0,0.042483911642713,0,0,0,0,0,0.0310441580184644,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0.0230927439059775,0,0,0,0,0,0,0,0.0595135539491295,0,0,0.180702886730186,0,0.0743542267254005,0.00941550325257352,0,0,0,0,0,0.230009971510159,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0331695700498256,0,0,0,0,0.0338406885557773,0,0,0,0,0,0.000431431580544307,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,-0.0371572756084943,0,0,0,0,0,0,0.072752373697556,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0405663444074215,0,0,0.986080270964889,0,0,0,0,0,0.0256505001938499,0,0,0,0,0,0,-0.021967572614084,0,0,0.0401806310864058,0,0.0156824023869025,0,-8.67361737988404e-19,0,0,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,0,-0.0129432128512345,0,0,0,0,0.00918050999923094,0,0,0,0,0,0,0,0,0,-0.0426712438675558,0,0,0,0.221516101110188,0,0.291483444734316,0,0,0,0,0,0,0,0,0,0,0.211499270058294,0,0,0.0135419313390984,0.101912107815613,0.16157680894232,0,0,0,0.0152786343574818,0.00638177127375368,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0.0638800210675448,0,0,0,0,0,0,0,0,0,0,0.186080390003677,0,0,0,0,0,0.431966123717765,0.0300846089021332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012608356809218,0,0,0,-0.00586258435251986,-0.0027796544632576,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0392272705322595,0,0,0,0,0,0,0.497922793893885,0,0,0,0,0,0,0.017914309977578,0,0,0.0443523664533434,0,0,0,0,0,0,0,0.0270232329393312,0,0,0,0,0,0,0,0,0.00510352452139462,0,0,0,0,0,0.00379595564807841,0,0,0,0,0,0
