,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600011.SH,X600019.SH,X600585.SH,X600188.SH,X002460.SZ,X600547.SH,X601898.SH,X601600.SH,X002466.SZ,X000792.SZ,X600660.SH,X600886.SH,X600111.SH,X600010.SH,X000301.SZ,X000708.SZ,X002271.SZ,X000877.SZ,X600426.SH,X600362.SH,X600795.SH,X600027.SH,X600176.SH,X600803.SH,X601991.SH,X600489.SH,X000807.SZ,X000983.SZ,X601699.SH,X000786.SZ,X600160.SH,X000932.SZ,X000408.SZ,X600219.SH,X000629.SZ,X002080.SZ,X000539.SZ,X300037.SZ,X000723.SZ,X600378.SH,X600995.SH,X600688.SH,X000630.SZ,X000933.SZ,X002409.SZ,X600096.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.508701855889389,0,0,0.00938407636721628,0,0,0.0654959985709916,0,0,0.0134729047776459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0167379191866364,-0.0273517476635358,0.134051124212123,0,0,0,0,0,0,0,0,0.0274694169289736,0,-0.0678993320857216,0,0,0,0,0
X600028.SH,0.645247854441277,0,0,0,0.0543096755722581,0,0.146398154059445,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0604934689744162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.126808252561056,0,0,0,0,0,0,0,-0.0641427888596049,-0.007279118438911,0.00429029943581811,0.0296776426913188,0,0,0,0,0,0
X601088.SH,0.109152893539341,0,0,0,0,0,0,0.218410058316513,0,0,0.0973561130334905,0,0,0,0,0,0.0998564253632412,0,0,0,0,0,0,0,0,0,0.098722628773719,0.0166986184405675,0,0,0,0,0,0.0687349605633015,0,0,-0.0615166788080826,0,0,0,-0.00843273775646837,0,0,0,0,0,0,0,0.0243831815615748,0,0,0.0196146720767626,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0283592904273273,0,0.0905581112401952,0,0,-0.0138707769290071,0,0,0,0,0,0,0,0.0315565196881181,0.00136784031673359,0,0,0,0,0.0659823557616704,0,0,0,0,0,0,0,0,0,0.163705822719834,0,0.00539900845799477,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,-0.161975123214662,0,0,0,0,0,0,0,0,0,0,0,0,0.700226502749919,0,0,0,0,0,0,0,-0.149839627015131,0,0,0,0,0,0,0,-0.0540312948176586,0,0,0,0,0,0,0,0,0,0.0852239726953537,0,0,0,0,0,0,0
X600019.SH,0,0.140758287943971,0,0,0,0,0.0177512912359109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0539189001268613,0,0,0,0,0,0,0,0.122685963251357,0,0.0670020511492812,0,-0.0230739167861191,0.211151869186831,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0.046466809020539,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.193331695380093,0,0,0.0470438206433677,0,0,0,0,0,0,0,0,0,0,0,0.00509939030142635,0,0,0,0,-0.135045103036186,0,0,0,0,0,0,0,0.137222094775937,0,0,0.0929192388380187,0.0876314063621487,0,0,0.0519978594124284,0,0,0,0,0,0,0.0783943874650207,0,0,0,-0.0151351792734713,-0.024046623026023,0,0,0,0,0,0
X600188.SH,0,0,0.545070091743394,0,0,0,0,0,0,0,0,0,0.0327374520307793,0,0,0,0,0,0,0,0,0,0.0509655680878321,0,0,-0.0793073965426588,0,0,0,-0.259189860958237,0,0.0701336726899655,0.20449931455039,0,0.053110771322604,-0.0275086725501668,0,0,0,0,0,0.0454293715724742,0.244481847936396,0,0,0,0,0,0,0.093318458598604,0,0.0472934806646664,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0,0,0.116885026010076,0.477814392341513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0658479533158261,0,0.0221322116603501,0.104582605215552,0,0,0,0,0,0,0,0.0577867784906039,0,0,0,0,0.0315499128147324,0,0,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,-0.0455091730009233,0.0484594238142987,0,0,0,0,0,0,0,0,0,0,-0.22580587349494,0,0,0,0,0,0,0,0,0,0,0.719480942361597,0,0,0,0,0,0,0,0,0,0,0,-0.0546480988772096,0,0,0.0120040755131187,0,0,0,0,0,0,0,-0.0194040687897471,0,0,0,0,0,0
X601898.SH,0.084209087422674,0,0.0569189690651015,0,0,0,0,0.206976196936812,0,-0.0181922773248914,0,0,0,0.0432775472782191,0,0,0,0,0.137885567034089,0,0,0,-0.163725351763505,0,0,0,0,0,0,0,0,0,0.298077322133811,0.057038789261013,0,0,0,0,0,0,-0.100978707883668,-0.162832635979645,0.0231363423223824,0,0,0,0,0,0.015479060265931,0,0,0.00185755937821875,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114658475160933,0.574418006786595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0127454941040501,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,1.73472347597681e-18,0,0,0.0182937850892637,0.713467664527616,0,0.143176793398307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0161064879079389,0,0,0,0.0897842272395799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00592161783123412,0,-0.090946977273781,0,0,-0.00124037586326122,0,0,0,0,0
