,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600011.SH,X600585.SH,X600010.SH,X601898.SH,X601600.SH,X600688.SH,X300072.SZ,X600547.SH,X600362.SH,X600795.SH,X600309.SH,X601991.SH,X600188.SH,X600660.SH,X601992.SH,X600027.SH,X600157.SH,X600886.SH,X600111.SH,X000898.SZ,X000709.SZ,X600489.SH,X600339.SH,X002466.SZ,X601158.SH,X600299.SH,X000959.SZ,X000792.SZ,X000630.SZ,X600583.SH,X000408.SZ,X600352.SH,X600219.SH,X000883.SZ,X000983.SZ,X000539.SZ,X002092.SZ,X000825.SZ,X002460.SZ,X000027.SZ,X000723.SZ,X601699.SH,X600808.SH,X600021.SH,X600098.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.132594943930167,0,0,0,0.0709354598755382,0,0,0,0,0,0,0.00234985211401704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0573441859511245,0,-0.00885263787993722,0.00217537667806606,0,0,0,0,0,0
X600028.SH,0.445535510737697,0,0,0,0,0.0406040908064503,0,0,0,0.144287686642743,0,0,0,0,0.0870496680047895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.028163883793143,0,0.0242692291953915,0,0,0.185749957527447,0,0,-0.0234081036152093,0.0142624666068734,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122951336532317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194935734711119,0,0.0149459805065298,0,0,-0.0203577267980483,0.00806369683924338,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,-0.0797306821742113,0,-0.0292219873643299,0,0,0,0,0,0,0,-0.0631797943193349,0,0,0,0,0.366649835639895,0,0,-0.0781681872991763,-0.0634445825142268,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.165974127125722,-0.0915513074934172,0,0,0,0.150399846653942,0.0557874811851485,0,0,-0.0214032274498093,0.00948373397585301,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.377923565017546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.091039454775213,0,0,0,0,0,0,0,0.00199368959858504,0.00488465354113828,0.0937810376274985,0,0,0,0,0
X600585.SH,0,0.182671876282585,0,0,0,0,0,0,0.282654231726142,0,0,0,0,0,0,0,0.0802688936254718,0.0941673259870017,0,0,0,0,0,0,0.174918397391316,0,0,0,0,0,0,0,0,0,-0.199556439681626,0,0,0,0,0,0,0.0703970809348016,0,0,0,0,0,0,0,-0.0640975542095993,-0.0378236196746959,0.0134793252803243,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,-0.0646724939470419,0.0254217534721176,0,0,0.0472057949861626,0,0.0374201906390587,0,0,0.035819409846207,0,0,0.164844359129723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0329642552875568,0,0.152910981671464,0,0,0,0,0,0.0658438478842841,0,0,0.00869142163231915,-0.0123771155137384,0.00164555947250832,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0.012521136932622,0,0,0,0.16035409427995,0,0,0,0,0,0,0,0,0,0,0.0710089370836845,0,0,0.0773241677321082,0,0,0,0,0,0,0.191993694837176,0,0,0,0,0.0978124124166742,0,0,0,0,0,-0.0255097199443731,0,0,0.0241857779072093,0.0581778432911458,0,-0.00377887965263069,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.257259167089454,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0545067898544661,0,0,0,0,0,0,0,0,0,0.378435793673514,0,0,0,0,0,0,0,0,0,0,0.0663273096381327,0,-0.154229262597013,-0.0141050084873761,0.000155239331325918,0,0,0,0,0,0
X600688.SH,0,0.494508929083395,0,0,0,0,0,0,0.0341167305941401,0,0,0,0,0,0.0112745884788665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0331727784667845,0,0,0.0606424482516588,0,0.0153222778420568,0,-0.091556965575803,0,0.00228393878294656,0,0,0,0,0,0
