,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X601600.SH,X600010.SH,X600309.SH,X600011.SH,X601898.SH,X600688.SH,X600660.SH,X600795.SH,X300072.SZ,X601992.SH,X600188.SH,X600362.SH,X002466.SZ,X601991.SH,X600547.SH,X002460.SZ,X600886.SH,X600111.SH,X000898.SZ,X600516.SH,X000709.SZ,X600157.SH,X600027.SH,X600176.SH,X000786.SZ,X000553.SZ,X600352.SH,X000792.SZ,X000408.SZ,X600489.SH,X600808.SH,X600219.SH,X000959.SZ,X002271.SZ,X601158.SH,X601699.SH,X600339.SH,X000983.SZ,X000723.SZ,X000883.SZ,X002092.SZ,X002470.SZ,X000630.SZ,X600299.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.456636620476721,0,0.0344026306896437,0,0,0,0,0,0,0,0,0,0,0,0,0.017078144556776,0.00617343970896906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0263220859634712,0.0516067962267917,0,0,0,0,0,0,0,0,0,0,0,0.00181481021366917,0,0,0,0,0,0,0
X600028.SH,0.473455964734876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00609031086023668,0,0,0,0,0,-0.0723751617594153,-0.0110495587747567,0,0,0,0,0,0,0,0,0,0,0,0,0.0296566444775781,0,0,0,0,0,0,0,0,0.013443727277782,-0.0593019598880803,0,0,0,0,0
X601088.SH,0,0,0,0.0853317635060595,0.0114280922329633,0,0,0,0,0,0,0,0.510126887462241,0,0,0.0092864630655529,0,0,0,0,-0.0429587964928893,0,0,0,0,0,0,0,0,0.0790967220159807,0,0,0,0,0,0,0,0,0,0,0.0138046278414381,0,0,0,0,0.0463078205501088,0,0,0,0,0.0277174631868637,-0.0266183596456442,0,0,0,0,0,0
X600019.SH,0,0,0.17686063047605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0164035845184193,0,0,0.389373339130683,0,0,0,0,0.0420698885058822,0,0,0,-0.0165993789668473,0,0,0.168342843177296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0508692098189775,-0.0230497855738548,0,0,0,0,0,0
X600585.SH,0,0,0.135258147448693,0,0,0,0,0,0,0,0,0,0,0,0,0.0703420196940774,0,0.22925199814129,0,0,0,0,0,0,0.00602229449549362,0,0,0,0,-8.67361737988404e-19,0,0,-0.111523698885726,0,0,0.130013424294556,0,0,0,0,0,-0.449250960137076,0,0,0,0,0,0,0,0,0.00329026088292226,0.0191495929449615,-0.0668303218118425,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00465106775911901,-0.0279807028663669,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0181034199412925,0.0655809725376428,0,0,0,0.0019218061627956,0,0.0571783245694968,0,0,0,0,0,0.0247682267291852,0,0.0704992349531568,0,0,0,0,0.291760917588918,0,0,0,0,0,0,0,0,0,0.0828260201944321,0,0,0,0,0,0.00258095458532739,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.143904547115139,0,0,0,-8.67361737988404e-19,0,0,-0.0834761942577254,0,0,0,0,0,0,0,0.0389736677652831,0,-0.0930472783562393,0,0,0,0,0,0,0,-0.0106013090397177,0,-0.114395300954149,0,0,0,0,0.573951661130092,0,0,0,0,-1.73472347597681e-18,-1.0842021724855e-19,0,0,0,0,0,0
X600011.SH,0,0.123708439070791,0.0338002547444939,-0.0181424069564462,-0.0919680752756399,0,0,0,0,0,0,0,0,0,0,0.0669196921792275,0,0,0,0,-0.00129606263253179,0,-0.0181252827149319,0,0,0,0,0,-0.0158789775974047,0.0214891621433328,0,0,-0.0240748753996381,0,0,0,0,0,0,0,0,0,0,0.145008343639378,0,0,-0.0584546922048888,0,0,0,-0.0379037550004858,0.0324436261770486,0,0,0,0,0,0
X601898.SH,0,0,0,0,-0.0169185733557945,0,0.0232243335529563,0,0,0,0,0,0,0,0,0.196007948351346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0561336201660579,0,0.0688912109131383,0,0,0.022661814058142,0,0,0,0,0,0,0.184478395829329,0,0,0,0,0,0,0,-0.0116129924647192,0,0,0,0,0,0,0
