,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600011.SH,X600010.SH,X601992.SH,X601898.SH,X601600.SH,X300072.SZ,X600688.SH,X600547.SH,X600795.SH,X600309.SH,X601991.SH,X600362.SH,X000709.SZ,X600188.SH,X600660.SH,X600027.SH,X600886.SH,X002466.SZ,X600157.SH,X600111.SH,X600489.SH,X600339.SH,X000959.SZ,X000898.SZ,X600008.SH,X600299.SH,X601158.SH,X600583.SH,X000408.SZ,X000883.SZ,X600219.SH,X600578.SH,X002460.SZ,X000630.SZ,X000792.SZ,X000401.SZ,X000539.SZ,X000983.SZ,X600352.SH,X000027.SZ,X000786.SZ,X002092.SZ,X000723.SZ,X600021.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.161521529851949,0,0.0554044539930083,0,0,-0.0291069727506745,0,0,0.0449640137679043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0219595425890889,0,0,0.10825020782164,0,0,0,0,-0.0595474346503499,0,0,0,0,0,0,0,0,-0.0323384936875172,0,0.0567265423023711,0,-0.011967133865681,-0.00124814240644731,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0.0511045238531055,0,0,0.0773057158037409,0.0382155480411399,0,0,0,0,0.0749647561032263,0,0,0,0,0,0,0,0,0,0,0,0,0.033824640656785,0,0,0,0,0,0,0,-0.0479393903912103,0,0,0.0190796614071637,0,0.00573832953699181,0,0,0,0,0.00866115748337671,0,0,-0.00408003756105487,0.0190357531141007,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,-0.00684300760533903,0.12730271010364,0,0,0,0,0,0,0.0180272542286616,0.0102157586418919,0,0,0,0,0,0,0,0,0,0.00313076818946292,0,0.138888827755069,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094720565713467,0,0,0,0,0,0,0,0,-0.0045367830929908,0,0,0,0,0,0
X600019.SH,0,0,0.119613147661167,0,0,0,0,0.0676842365609421,0,0,0,0,0,0,0,-0.0336981207219991,0,0,0,0,0,0,0,0,0,0,0,0,0.298102097887778,0,0,0,0,0,0,0,0.0987982750509841,0,0,0,-0.119328223928874,0,0,0,0,0,-0.128032357502008,0,0,0.0524895082679138,0.000622186835689999,-0.00721467527205712,0.22813149249754,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0.0518343450423125,0,0,0,0,0,0,0,0,0,0,0,0,0.052365592145222,0,0,-0.0312346296356488,0,0,0.227752591130483,0,0,0,0,0,0,0,0,0.0137087671192304,0,0,0,0,0,0,0,0,0,-0.198201673333774,0,0,0.000873744658031264,-0.0160613399363394,0,0,0,0,0,0
X600011.SH,0,0,0.178912881064968,0.0108415292316921,0,0,0,0,0,0,0,0,-0.198411968247425,0,0.0522676591904039,0,0,0,0,0,0.294025090515054,0,0,0,0,0,0,0.012316653513708,0,0.245308689631858,0,0,0,0,0,0,0,-0.0312727032402776,0,0,0,-0.140223652037603,0,0,0,0,0,0,0,0,0.0422188914922757,-0.00453464781791241,0,0,0,0,0,0
X600010.SH,0,0,0,0.109440118703721,0,0,0,0,0,0,-0.0188940930986596,0,0,0,0,0,0.022623007951345,0,0,0,0,0,0.000966011207017593,0,0,0,0,0,0.131250021280391,0,0.0702040564760856,0,0,0,0,0,0,0,0,0,0.104475464990885,0,0.0482018788796645,0,0,0,0,0,0,0,0.013767357458036,0,0,0,0,0,0,0
X601992.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47864129255187,0,0,0,0,-0.0416602804113844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.391889313592254,0,0,0,0,0,0,0,0,0,-0.0246466464591333,0.0200061004176634,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0990180647339074,0,0,0,0,0,0,0,0,0,0,0,0,0.0046807135216634,0,0,0.279496675523503,0,0,0,0,0,0,0,0,0,0.111296346053457,0,0,0,0,0,0,0,-0.0038567399545489,0.00345282700229103,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0646274578311647,0.338705663147532,0,0.0358846449042786,0,0,0,0.0601053760724308,0,0,0,0,0,0,0.0312229478225583,0,0,0,0,0,0.223360699926262,0,0,0,0,0,0,0,0,0,0,0.00790925661175979,-0.058558833061458,0,0,0.00719582348293944,-0.00968085714114627,0,0,0,0,0,0
