,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X002460.SZ,X600585.SH,X600111.SH,X600019.SH,X002466.SZ,X000792.SZ,X600660.SH,X000877.SZ,X600010.SH,X600188.SH,X002271.SZ,X000301.SZ,X000708.SZ,X600011.SH,X600547.SH,X601600.SH,X601898.SH,X600362.SH,X600176.SH,X600886.SH,X600426.SH,X002326.SZ,X600803.SH,X002080.SZ,X000408.SZ,X300037.SZ,X600219.SH,X600399.SH,X000786.SZ,X601991.SH,X000723.SZ,X600688.SH,X600141.SH,X600795.SH,X600096.SH,X000825.SZ,X300073.SZ,X600352.SH,X600489.SH,X002353.SZ,X002409.SZ,X002407.SZ,X600157.SH,X600516.SH,X600486.SH,X000027.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.433604590348016,0,0,0,0,0,0,0,0,0,-0.0193314082345884,0.0181550450499826,0.0556632644340553,0,0.0272079477054571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0317218433236448,0,0,0.0546393158727602,0,0,0,0,0.0334846828834845,0,0.103169583401235,0,0.00356410062179464,0,0,0,-0.0096030153292964,-0.00191225670878434,0,0,0,-0.0646314491964396,0,0
X600028.SH,0.151217836441617,0,0,0,0,0,0,0,0,0,0,0,0,0.0516446899384424,0,0,0,0,0,0,0.0186849089939936,0,0,0,0.0296020561677499,0,0,0,0,0,0,0,0,0,0.0512106974941071,0.0848006617402537,0,0,0,0,0,0,0,0,0,0,0.0945964787706288,0,0,0.0851485514377981,0,0,-0.0158822316827659,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0.0954516843477453,0,0,0.0536411219048273,0.163246294794966,0,0,0.0816918722524342,0.0649387976274187,0,0,0.428831296424459,0,0,0.0419825685192499,0,-0.0325235718946692,0.100596127002185,0,0,0,0.00121879994533299,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0366066714500091,-0.0226678970713668,0,0,0.115024535501289,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,-0.0664076835714485,0,0,0,0,0,0,0,0.10723955957616,0,0,0,0,0.20742102696338,-0.0554196947164851,0,0.0460035983182325,0,0,0,0,0,0,0,0,-0.0810459890003,0,0.0231267576808482,0,0,0,0,0,0,0,0,0,0,0,0,0.0291607864042147,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0.406602821364197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0.102812005462321,0,0,0,0,0,0,0,0,0,0,0,-0.0175800241150394,0,0.326355230927116,0,0,0,0,0,-0.00467886468773382,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,-0.0127504310146623,0,0,0,0,0,0,0.42743269951374,0,0.0383149396806129,0,0,0,0,0,0,0,0,0.0674393875322339,7.24515583083787e-05,0,0,0,-0.0903416217246331,0.0150496469675988,-0.0286249239546017,0,0,0.0615033944985139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0225651713447315,0,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,0,0,0.184083023327818,0,0,0,0.310776909601021,0,0,0,0,0,0,0,0,0,0,0,0,0.0826386690204544,0,0,0.202129264908719,0,0,0.191870911412071,0,0,0,0,-0.0281801167339255,0,0,0,0.13912063958469,-0.157508065536134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0.136301791481115,0.0901071674502038,0.0414752846044306,0,0,0,0,0,0,0,0,0,0,0,0.0394408959224979,0.00618767054267397,0,0.0842329177447175,0,0,0,0,0,0.126093477333343,0,0,0,0,0.237709631065299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0.487418975811365,0,0.0874008395728987,0,0,0,0,0,0.0914704199173232,0,0,0.0686037322182356,0,0,0,0,0,0,0,0,0,0.00339380892244808,0,0,0.156500305301107,0,0.0189298379454173,0,0,0.0107675806316322,0,0,0.00159060584762034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000792.SZ,0,0,0.0432210539528714,0,0,0,0,0,0,0,0,0.233181841456688,0.244229876068803,0,0,0,0,0.0166405629639478,0,-0.155438694963666,0,0,0,0,0,0,0,0.101314119855218,0.412844821273441,0,0,0,0,0,-0.171611390136598,0.165084264393265,0,0,0,-0.159482658675757,0.0166824903365962,0,0,0,0,0,0,0.193278276164878,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0,0,-0.081354853750496,0.0297192643924444,0,-0.139972822224486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0544568525762678,0.0685898461652665,0,0,0,0,0,0,0.0442262917181919,0,0,0.0834716898268252,0,0,0,0,0.0297646669399554,0,0,0,0,0.000734472084225745,0,0,0.0195935825865346,0,0,0,0,0.00773644011919399,0,0
X000877.SZ,0,0,0,0,0,0.38919185473134,0,0,0,0,0,0,0.0576900243284277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00803962921520169,0,0,0.0350142607605402,0,0,0,0.288832130754088,0,0,0,0,0,0,0,0,0,0,0.0270399859736449,0,0,0,0.0201336264129589,0,0
X600010.SH,0,0,0,0,0,0,0.35997270530546,0,0,0.0320198019433322,0,0,0,0,0,0,0.0547501295267707,0,0,0.0201706515440304,0,0.0217585389945287,0,0,0,0,0,0,0,0,0,0,0,0,0.147162184332238,0,0,0.192416946707182,0.0329701594973826,0,0,0,0,0,-0.0161182702709816,0,0,0.0775474268087618,0,0,0,0.0331270789607868,1.73472347597681e-18,0,0,0,0,0,0
X600188.SH,0,0,0.194569327986234,0,0,0,0.271322495054088,0,0,0,0,0,0,0,0,0,0,0,0,0.217459471728375,0.549640668015402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
