,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600010.SH,X601600.SH,X600547.SH,X601898.SH,X601991.SH,X600660.SH,X600688.SH,X600886.SH,X600795.SH,X600362.SH,X600188.SH,X600027.SH,X601992.SH,X002466.SZ,X600516.SH,X000898.SZ,X600111.SH,X002460.SZ,X600176.SH,X000709.SZ,X600352.SH,X600299.SH,X600219.SH,X000786.SZ,X000629.SZ,X600808.SH,X600489.SH,X601158.SH,X600157.SH,X600801.SH,X000825.SZ,X000630.SZ,X002271.SZ,X000553.SZ,X000883.SZ,X002110.SZ,X300072.SZ,X000027.SZ,X002470.SZ,X600583.SH,X600985.SH,X000408.SZ,X600339.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.138565576996076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0111725569955569,0,0,0,0,0.00589980662123784,0,0,0,0,0.0469574317970443,0,0,0,0,0,0.0716061108363785,0.110822471070491,0,0.075321757052957,0,-0.0036466919723615,0.0123243744919781,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0.0641859442147246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0714068623986754,0,0.10256253176708,0,0,0,0,0,0.13037888264622,0,0,0.139709179018375,0,0,0,0,0,0,0,0.0471575625302957,0,0.116675386977477,0,0.0296248671019513,0,0,0.0110337181714976,0,-0.0183513613709047,0,0
X601088.SH,0,0,0,0,0,0.181813589212338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0808390478908,0,0,0,0,0,0,0,0,0,0.0668478813791577,0,0,0,0.0414975052027096,0,0,0,0,0,0,0,0,0,0.0586497084295719,0,-0.000602760239373907,0.00403710195517415,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0798875138805299,-0.0564289937813869,0.191501890121228,0,0,0,0,0,0.233884963958162,0,0,0,0,0,0.228808338584474,0,0,0,0,0,0,0,0,-0.0032992532883729,0.0187616083308082,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0.0883649703637764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114603865611521,0,0.114392339987962,0,0,0,0,0,0,0,0,0,0.0426971896385145,0,0,0,0,0,0,0.255091895382891,0,0,0,0,0,0,0,0,0.00078901340516815,0.00995328013855054,0,0,0,0,0,0
X600309.SH,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101287756891436,0,0,0,0,0,0,0,0,0,0.0507800261075249,0,0.196542731163473,0,0,0,0.259948541562884,0,0,0.168794624711081,0,0,0.157360489367922,0,0,0,0.0544758076618103,0,0,0,0,-0.0347049465675015,0.0363992871347682,0,0,0,0.0773409215949345,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.342812655176183,0,0,0.629612354988678,0,0,-0.160832856206293,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0410762116017022,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0.0545811750631212,0,0,0,-0.11948906735195,0,0,0.000431002782039654,0,0,0,0.0093332681920005,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0629957956210621,0,0,0,0,0,0,0.241010714216794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156219397191108,0,0,0,0.000633477643798455,0,0,0,0,0,0.0524188506193534,0,0.00177843948129672,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.330500861534064,0,0,0,0.0429350525359563,0,0,0.134645345665826,0.0303303285464892,0.0330840898191082,0,0,0,0,0,0.0149764360722498,0,0,0,0,0,0,0,0,0.0835896948386149,0,0.0372518379483427,0.0909957946395983,0,0,0,0.0368924187234574,0,0,0,-0.0223175941501834,-0.00479402958345678,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,-0.0180427968828137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0128688482034135,0,0,1.00238040896087,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,-0.102494360100945,0,0,0,0,0,-0.0125855164125319,0.0267744624367075,0,-0.0382594414431865,0,0,0,0
