,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X600019.SH,X000708.SZ,X002460.SZ,X002271.SZ,X600660.SH,X600547.SH,X601898.SH,X600362.SH,X600010.SH,X000786.SZ,X600011.SH,X600886.SH,X600111.SH,X600176.SH,X601600.SH,X600188.SH,X000301.SZ,X600426.SH,X002466.SZ,X601991.SH,X600803.SH,X000027.SZ,X600801.SH,X600352.SH,X600795.SH,X600219.SH,X000932.SZ,X600489.SH,X002080.SZ,X600688.SH,X600486.SH,X600299.SH,X000898.SZ,X002353.SZ,X600315.SH,X600027.SH,X600157.SH,X000883.SZ,X601992.SH,X600516.SH,X000723.SZ,X300037.SZ,X601168.SH,X000807.SZ,X000630.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.298777811371648,0,0,0,0.0181810716469799,0,0,-0.0107528962567951,0,0,0,0.0299291077299938,0.0157360228469143,0,0,0,0,0,0,0,0.0257089867818366,0.00312474192590828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038996470922334,0,0,0,0,0,0,0,0,0.0351412736395873,0,0,0,-0.00169395956556481,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0.0445392575542313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0678070696245816,0.0392663623276103,0,0,-0.0301480040274204,0,0,0,0.0527097560104303,0,0,0,0,0,0,0,0.0070313009936943,0,0,0,0,0,0,0,0,0,0.0866103509709654,0,0,-0.0237666917396104,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0.0300481662605258,0,0,0,0,0,0.0518959155215842,-0.0863914991550195,0,0.0973127402948044,0,0,0,0,0.178746506032416,0,0,0.0266376606307243,0,0,0,0,0,0,0.101685076921033,0.0373104966009341,0,0,0,0,0,0,0.0282227829800338,0,0,0,0,0,0,0,0,0.00520280080762878,0.061814579096181,0,0.0554534156183191,0.0263238699068022,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0.0382100884351599,0,0.271761541010454,0,0,0,0,0,0,0,0,0,0.0337630060855813,0,0,0,0.12313260963782,0,0.0463743280422753,0,0,0,0,0,0,0,0,0,0,0,0.09944922644675,0,0,0,0.15544660998974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160358946948495,0,0
X600585.SH,0,0,0,0,0,0,0.0145673610985927,0.0309745416262133,0,0,0,0,0,0,0,0,0,0,0,0,0.00547658944257745,0,0,0,0,0,0,0.0938884210203896,0,0,0,0,0,0,0,0,0,0,0,0.0415746148009393,0,0,0,0,0,0,0,0.070779260869562,0,0,0,-0.0137080559263121,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0.100040777782078,0,0,0,0,0,0.239506133949589,0,0,0,0.0435986608093913,0,0,0,0,0,0,0,0,0,0.200053289212,0,0,0,0,0,0.16974474786098,0,0,0,0,0,0,0.0485223777003527,0,0,0,0,0,-0.0295661178892483,-0.0107486999342328,0,0,0,0,0,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.343239644961048,0,0,0.0932161345725607,0,0,0,-0.130060064450991,0,0,0,0.0750036548961741,0,0,-0.0734922957711505,0,-0.17225953565784,0,0,0,0,0.0872437404023026,0,0.33954926086722,0.513489524918835,0,0,0,-0.125830053489715,0,0,0,0,0.33110334609054,-0.0889137780897314,0,0,0,-0.0730972280667129,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0468554586819176,0,0,0,0,0.0705033700731403,0.28653463506695,0,0,0.122268957087318,0,0.0908266320360976,0,0,0,0,0,0,0,0,0,0,0,0.285964707941456,0,0,0,0,0,0,0,0,0,0.15333802084466,0.0957594539246703,0.356188208073623,0,0,0,0,0,0,0,0,-0.0392709134970141,0,0
X002271.SZ,0,0,0,0.149722351138344,0,-0.331049311851049,0,0.0180425205074775,0,0.197530688528618,0,0,0,0,0,0,0,0,0.0811437030154024,0,0,0,0.0846440793355522,0,0,0,0,0,0,0,0,0,-0.103032795689358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0156709963009339,-0.014713383081506,0,0,0,-0.043958631991751,0,0
X600660.SH,0,0,0,0,0,0,0,0.158121050744743,0.100613059896749,0,0,0,0,0,0,0,0,0,0,0,0,0.0734695817672517,0,0.0101956333838901,0,0,0,0,0,0,0,0,-0.110366267128738,0.0968090180185609,0,0.248541008633994,0,0,0,0,0,0,0,0,0,-0.0350885232919581,0.0841965576193411,0,0,0,0,-0.0196094623812001,-0.0162944503211454,0,0,0,0,0,0
