,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600309.SH,X600011.SH,X600010.SH,X600188.SH,X600660.SH,X600688.SH,X601898.SH,X002466.SZ,X600362.SH,X601600.SH,X601991.SH,X600795.SH,X600886.SH,X600547.SH,X000898.SZ,X600516.SH,X300072.SZ,X600111.SH,X002460.SZ,X600027.SH,X000786.SZ,X600176.SH,X600352.SH,X000553.SZ,X000825.SZ,X601992.SH,X600299.SH,X000709.SZ,X000792.SZ,X002271.SZ,X601699.SH,X600426.SH,X600808.SH,X002110.SZ,X600315.SH,X601158.SH,X000883.SZ,X000932.SZ,X600219.SH,X000408.SZ,X600489.SH,X000830.SZ,X000983.SZ,X600549.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.0303643192423647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042639841402694,0,0,0,0,0,0,0.17550780009507,0,0,0,0,0,0.00529908221292313,0.00273959150922148,0.150339714700635,0,0,0,0,0,0,0,0,0,0.0673951406203186,0.0201552747092938,0,0,0,0.00925841931925708,0,0,0,0,0,0,0
X600028.SH,0.412059998251988,0,0.380070410926561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0817825877311662,0,0,0,0,0,0,0.0374582669420582,0,0,-0.0485970707199475,0,0,0,0,0,0,0,0,0,0,0,-0.0019450561718597,0.00310346097129043,0,-0.215702781619234,0,0,0,0
X601088.SH,0,0.23388141368681,0,0.25832356211801,0.190526834713581,0,-0.00696703625046923,0,0.198678099051232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00109657051459152,-0.0423353845056881,0,0,0,0,0,0,0,0,0,0,0.171013995440977,0,0,0,0,0,0,0,0,-0.0963597004184633,0,0,0,0,0,0,-0.0549087987542022,0,0,0,0,0,0
X600019.SH,0,0,0.054582349778555,0,0,0,0,0,0.167676079249596,0,0,0,0,0,0.361587540294413,0,0,0,0,0,-0.0522716819568337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035894558215681,0,0,0,0,0,0,0.0397621340020504,0,0,0,0,0,0,0,0,-0.00262094889256293,0,0,0,0,0,0
X600585.SH,0,0,0.09690277202284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0251561725050836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.312026875548513,0,0,0,0,0,0.194803221159924,0,0,0,0.0618709001798467,0,0,0,-0.0253841101523941,0.0320484511305295,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0534311243647053,0.0602315191969978,0,0.0283428589503905,0.225253984285625,0,0,0,0,0,0.0390273830572841,0.0490532342202467,0,-0.072484383342749,0,0.0372864744733904,0,0,0,0.0258509624779569,0,0,0,0,0,0.0741413372648334,0,0,0,0,0.0144421941881442,-0.0236087246779904,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0.038190158237847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0200113794955711,0,0,0,0,0,0,0.0415401129297196,0,0.398011552782309,0,0,0,0,0,0,0,0,0,0,0,0.20646070577472,0.18946324974386,0,0,0,0,0.0165536944379236,0.00743316348087338,0,0,0,0,0,0
X600188.SH,0,0,0.175917573883057,0,0,0,0,0,0,0,0,0,0.255466576091224,0,0,0,0,0,-0.00056790265412329,0,0,0,0,0.0354462957156007,0,0,0.202927449075864,0,0,0,0,0,0,0,0,0.284973177096535,0,0,0.0809271618432347,0,0,0,0,0,0,0,0,0.493365919307452,0,0,-0.0285837674441683,0,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,-0.108548359167977,0,0,0,0,0,0,0,0,0,0,-0.103230195350875,0,0,0,0.0241814608808267,0,0.00362094439325699,0,0,0.143215956412385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0281366787667988,0,0,0,-1.73472347597681e-18,0,0,0,0.0232076213067978,-0.0267127115808842,0,0,0,0,0,0
