,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X002460.SZ,X002466.SZ,X600188.SH,X600585.SH,X000792.SZ,X600019.SH,X601898.SH,X600011.SH,X600111.SH,X002271.SZ,X600660.SH,X600010.SH,X000877.SZ,X000301.SZ,X000708.SZ,X600886.SH,X600547.SH,X601600.SH,X600795.SH,X600176.SH,X600362.SH,X600096.SH,X600426.SH,X000408.SZ,X300073.SZ,X000786.SZ,X000983.SZ,X000629.SZ,X601991.SH,X600803.SH,X000723.SZ,X600141.SH,X002080.SZ,X600027.SH,X002192.SZ,X601699.SH,X600219.SH,X002407.SZ,X300037.SZ,X600486.SH,X002497.SZ,X600801.SH,X600157.SH,X002353.SZ,X600399.SH,X000683.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0.043620299098485,0,0.0198800810367399,0,0,0,0,0,0,0,0,0,0,0,0,0.0548747419946624,0,0,0,0.17738418546504,0,0,0,0,0.183756139922928,0.00745002886955154,0,0,0,0,0,0,0,0,0,0,0,0,0.0173059242432666,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601088.SH,0,0,0,0.0203010322188746,0,0,0.136846544518929,0,0,0,0.149298952583287,0,0,0,-0.112221946880787,0,0,-0.0226121155903891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833939617858319,0,0,0,0.00914199998486035,0,0,0,0.0477188306932706,0,0.0822418805926565,0,0,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0967512162114615,0,0,0,0,0,0,0,0,0,0.0402510522650893,0,0,0,0,0,0,0,0.0612978994467142,0,0,0,0,0,0,0,0,0.0137805113201491,0,0,0,0,0,0,0,0,0,0
X600309.SH,0,0.0514411810105072,0,0,0,0,0,0,0,0,0.107663982508393,0,0,0,0,0,0.176069529408542,0,0,0,0,0,0.0671293862250043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0631565797905969,0.032529274916955,0,0,0,0,0,0,0,0.0370442535634526,0.0276319497292653,0,0,0.00581724555934521,-0.0199880529546039,0,0,0,-0.0271966824905488,0,0
X002460.SZ,0,0,0,0,0,0.211149516794982,0,0,0,0,0,0,0.157014653460539,0,0,0.116028431538204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0288285208008558,0,0,0,0,0.208761722252076,0,0,0,0,0,0,0.0253572877898982,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0.2226641213214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0519439777723663,0,0,0,0.0638384810020127,0,0,0,0,0,0,0,0,0,0,0,0,0.0572089254849634,0,0,0,0,0,0.292259619896724,0,0,0,0.0549816282678776,0.0614186645048547,0,0.0289957415389451,0,0,0,0,0,0,0
X600188.SH,0,0.258971052625198,0,0,0,0,0,0,0,0,0,-0.203743847792929,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0583581832092634,0,0,0,0,0,0,0,0,0,0,0,0,0,0.406159708603053,0,0,0,0,0,0,0,0,-0.0316099225797969,0.111974641602886,0,0.0473859604307416,-0.045946044238402,0,0,0,0,0,0
X600585.SH,0,0,0,0.0394983269653348,0,0,0,0,0,0,0,0,0,0.125322821532245,0,0,0,0,0,0,0,0,0,0.0570064989117304,0,0.0177403397299624,0,0,0,0,0,0,0,0,0.0254045497880039,0,0,0,0,0,0,0,0,0,0,0.356632725426421,0,0,0,0,0,0.00141627948637361,0,0,0,0,-0.00352584788913806,0,0
X000792.SZ,0,0,0,0,0.0637772919592343,0,0.0695819494723813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0872877635295788,0,0.414693576280483,0,0.0478004184387139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0133646846241104,0,-0.0223553372068244,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0.0493893533503056,0,0.0177473524044821,0,0.0422619246665007,0,0,0,0,0,0.11025522524938,0,0,0,0,0,0,0,0,0,0.067318059941506,0,0,0,0,0,0,0,0.0524957155920182,0,0,0,0,0,0,0.193059583697877,0,0,0,0,0.017969430582138,0,0,0,0,0,0,0
X601898.SH,0,0.274659353225281,0,0,0,0,0.107166990293657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.230791821081799,0,0,0,0,0.239532165295275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0528807074329059,0,0,0,0,-0.0473697165145574,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0.160729049491985,0,0,0,0,0,0,0,0,-0.0795658939353563,0,0,0,0,0,0,0,-0.105296778756831,0,0,0.197546348828423,0,0,0,0,0,0,0,0,0.441870622236257,0,0,0,0,0,0,0,0,0,0,0.0161691264522284,-0.0288601198759329,0,0.0157587094945363,-0.0336809750888655,0,0,0,0,0,0
X600111.SH,0,0,0,0,0.11330739202317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0373045716426973,0.0271012432803639,0.170619368025692,0,0.360363364631813,0,0,0,0,0,0,0,0.0488682228151163,0,0,0,0.00752166139826285,0,0
X002271.SZ,0,0,0,0,0,0,0,0.0989992203499331,0,0,0,0,0,0,0.15297331707445,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.269749486622117,0.733771550806538,0,0,0,0,0,0,0,0,0,0,0,0.121881473245402,0,0,0,0.0785253768112185,0,0.00461986647076482,0,0,0,0,0,0,0,0,-0.0123151120261421,0,0
X600660.SH,0,0,0,0,0.0434383624815624,0,0,0,0,0,0.0784229987091799,0.0613245262150025,0,0,0,0,0,0,0.206508220798018,0,0,0,0,0,0,0,0,0,0.0196855461173538,0,0,0,0,0,0,0,0.0974875083204572,0,0,0,0,0,0.0728112132905374,0,0,0,0,0,0.187317038976845,-0.00108042554261356,0,-0.00518280450841051,-0.0637677126718566,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.362493292405569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.327918369925092,0,0,-0.0313667298299792,0,0,0,0,0,0,0,0,0,0,0,0.0232992542856544,0,0,0,0,0,0,0.0581986357855817,0,0
X000877.SZ,0,0,0,0.00293247410151202,0,0,0,0,0,0,0,0.0611284417332831,0,0.134345678709858,0,0,0,0,0,0,0,0.0194469342669132,0,0,0,0.112665764462515,0.0344707138319121,0,0,0,0,0,0,0,0,0,0,0,0.00679647391125147,0,0,0,0,0,0,0,0,0,0.0129345859962915,0,0,0.0241347530837359,0,0,0,0,-0.00879318548381723,0,0
X000301.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0604639117431514,0,0,0,0,0,0,0,0,0,0.0487179135935241,0,0.338948772743799,0,0,0,0,0,0,0,0,0,0,0.153017079930741,0,0,0.0436795771147037,0.074382462259352,0,0.0170686523820619,0,0,0,0.0570867820631536,0,0,0,0,0,0,0,0.0870797449646602,0,0
X000708.SZ,0,0,0,0,-0.00584461642639379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137324116969862,0,0,0,0,0,0,0,0,0,0.0808488687689464,0,0,0,0,0,0.0166119609604781,0,0.0681552618850263,0,0,0,0,0,0,0,0,0.17757832353419,0,0,0,0,0,0,0,0,0,0
