,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X601898.SH,X600010.SH,X600660.SH,X600688.SH,X601991.SH,X601600.SH,X600188.SH,X600886.SH,X600795.SH,X600362.SH,X000898.SZ,X002466.SZ,X600547.SH,X600027.SH,X600516.SH,X601992.SH,X002460.SZ,X600111.SH,X600176.SH,X600299.SH,X000709.SZ,X000629.SZ,X300072.SZ,X000825.SZ,X600352.SH,X600339.SH,X600808.SH,X600583.SH,X000553.SZ,X600801.SH,X000786.SZ,X002110.SZ,X000301.SZ,X600426.SH,X601158.SH,X000883.SZ,X600219.SH,X000932.SZ,X000792.SZ,X000408.SZ,X601699.SH,X600489.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.18102467589146,0,0,0,-0.056373295276687,0.103297122711533,0,0,0,0,0.0246600287867271,0,0,0,0,0,0,-0.0554506055612851,0,0,0,0,0,0,0,0,0,-0.0533576038386358,0,0,0,0.166636042687987,0,0.0436883706146854,0,0,0,0,0,0.0328431030854166,0,0,0,0,0,0,0,0,-0.101577226520965,0.0173795289193447,0.0106214980373866,0,0,0,0,0,0
X600028.SH,0.110565402385354,0,0,0,8.67361737988404e-19,0,0,0.0904460220159971,0,0,0,0,0.0975811169749877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0800899879242919,0,0,0,0.0992582088263071,0,0.0573346791361659,0,0,0,0,0,0,0,0,0,-0.00510387195406074,-0.0146018459203456,0,0,0,0,0,0
X601088.SH,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0,0.0155162290089818,0.0283490705848487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0473810248355501,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0.413861655521414,0,0,0,-0.013341371963529,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.115423418815944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00810505510725326,0.038292203064107,0,0.3487286844964,0.267712760348619,0,0,0,0,0,0,0,0,0,0,0,0,-0.0101747942087354,-0.021662203271329,0,0,0,0,0,0
X600019.SH,0,0,0.139349717901409,0,0,0,-0.0131699888640476,0,0,0,0,0,0,0,0,0,0,0.164699908123714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155634486748,0,0,0,0,0,0.296754496250176,0,0,0.0136101016732838,0,0,0.0073107847157159,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0.00374594305101101,0,0,0,0,0,0,0,0,0,0.00615906386041871,0,0.211067587513027,0,0,0,0,0.123928979296691,0,0,0,0.155936523923226,0,0,0,0.0349560850569842,0,0.0503171351814287,0.0707346132544834,0,0,0.258716765633709,0,0,0,0,0.00923629843975655,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0689795920090268,0,0.766010576560389,0,0,0,0,0,0,0,0,0,0,0.0549493635608723,0,0,0,0,0.0466084461496682,0,0,0,0,0,0,0,0,0,0.00869114941933822,-0.0322099021565864,-0.215210755925209,0,0,0.0184485020696079,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.307733554014471,0,0,0,0,0,0,0,0,0.0448938260756917,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0318186760723985,0,0,0,0,0,0,0,0,0,0.00280724736078621,0,0.236069571363747,0,0,-0.00985631332767853,-0.00730901928087429,0,0,0,0,0,0
X600010.SH,0.0563242936523268,0,0,0,0,0,0,0,0,0,0,0,0.0480426640437904,0.117080897682106,0,0,0,0.0210115717720956,0,0,0,0.0918130599422695,0.103065147859934,0,0,0,0,0,0,0,0.0625284821493174,0,0,0,0,0,0,0.0458562172246169,0,0,0,0,0,0,0.0671342944177495,0.0736965005842162,0,0,0,0,-0.00747418289474137,0.00123806634589386,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0.141888545038655,0.116744423172226,0,0,0,0,0,0,0,0,0,0,0,0.168932665553995,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0905166326698339,0,0.071133116274398,0,0,0,0,0,0.00509727993426981,0,0,0,0,0,0,0,0,0,0,0.00112942295084424,0,0,0,0,0,0
