,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600011.SH,X600010.SH,X601992.SH,X300072.SZ,X601898.SH,X600309.SH,X601600.SH,X600688.SH,X600547.SH,X600795.SH,X601991.SH,X600660.SH,X600188.SH,X600362.SH,X600886.SH,X600027.SH,X000709.SZ,X600157.SH,X002466.SZ,X600111.SH,X600489.SH,X600339.SH,X000898.SZ,X000959.SZ,X600299.SH,X601158.SH,X600008.SH,X000883.SZ,X600583.SH,X000408.SZ,X600219.SH,X600578.SH,X000792.SZ,X000630.SZ,X002460.SZ,X000539.SZ,X600352.SH,X002092.SZ,X000983.SZ,X000027.SZ,X600176.SH,X000723.SZ,X000786.SZ,X000401.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0.0466377480641558,0,0,0,0.0258080423863265,0,0,-0.000253700493854646,0.136198098378626,0,0,0,-0.0083833642895361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0247722430574293,0,0.0170024400715983,0,0,0,0,0,-0.0280929634398355,0,0,0,0,0,0,0,0,0,0,-0.0138594031250476,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0.0322458232677909,0.0564099833419746,0,0.0368195019264094,0,0.0986130315830527,0,0,0,0,0,0.0762390988590652,0,0,0,0,0,0,-0.0225291394565166,0,0.0393621454192962,0,0,0,0.0101026023646907,0,0,0,0,0,0,0,-0.0536907464914957,0,0,0,0,0,0,0.0840697628008769,0,0,0,-0.00433232485136879,0.00242430819121661,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,-0.0126033611512015,0,0.117625861037332,0,0,0,0,0,0.0165436219599673,0,0,0.0284122287735567,0,0,0,0,0,0,0,0,0.145692272403712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000329312319003659,-0.00652423571113766,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0.137032807130666,0,0,0.0348826100677029,0,0,0,0,-0.0562651995112366,0,0,0,0,0,0,0,0,0,0,0,0.324595875932858,0,0,0,0,0,0,0,0,0.119090932638399,0,0,-0.0136296384812008,0,0,-0.127387860588932,0,0,0,0,0,-0.151272059078341,0,-0.00211308292041795,0.00304482095951766,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,-0.0583625964818136,0,0,0,0,0,0,0,0.00793653807647839,0,0,0,0,0.0514132319102404,0,-0.0329563352278671,0,0.232632223574913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.209849555187678,0,0.00906193722736691,0,0.00427273480171452,-0.0136499803355531,0,0,0,0,0,0
X600011.SH,0,0,0.117158478027535,0,0,0,0,0,0,0,0.0789763585980009,0,0,-0.216208069318649,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0.075037459340078,0,0,0.212463608669049,0,0,-0.00383651338912851,0,0,0,0,-0.039503799081034,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0.0590858390496348,-0.0055690028538311,0,0,0,0,0,0
X600010.SH,0,0,0,0.0990172990618839,0,0,0,0,-0.0081903714115689,0,-0.0116425579053557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146305237231291,0,0,0,0.0471969882857353,0,0,0,0,0,0,0,0,0,0,0,0.0573350886906016,0,0,0,0,0.0935720448978933,0,0.0259368631225109,0,0,0,0,0,0,0
X601992.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.539135573329252,0,-0.0621754811434457,0,0,0,0,0.0407411603432889,0,0,0.232286078659591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.425921254655013,0,0.0435028518661368,0.0316538369018557,0,0,0,0,0,0
X300072.SZ,0,0,0,0,0,0,0,0.0757483804234041,0,0,0,0,0,0,0,-0.0197682840857722,0,0,0,0,-0.103929596395931,0,0,0,0,0,0,0,0,0,0,0,0,-0.0691819143649023,0,0,-0.00742758435978682,0,0,0.00680565642837575,0,0,0.249172326138217,0,0,0,0,0,0,0,0.0684854015539959,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102195241616645,0,0,0,0,0,0,0,0.0157688069400358,0,0,0,0,0.00963735433642331,0,0.235911455800371,0,0,0,0,0,0.0283549319278846,0,0,0,0.199114679320681,0,0,0,0,0,0,0.00125458076500707,-0.00365559320786379,0,0,0,0,0,0
