,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X601898.SH,X600019.SH,X600011.SH,X601600.SH,X600886.SH,X600547.SH,X600585.SH,X600660.SH,X600795.SH,X000792.SZ,X600362.SH,X000708.SZ,X600489.SH,X600027.SH,X600803.SH,X600111.SH,X600010.SH,X002460.SZ,X000983.SZ,X600160.SH,X601699.SH,X600426.SH,X601991.SH,X000301.SZ,X002466.SZ,X000786.SZ,X000933.SZ,X002128.SZ,X000807.SZ,X600985.SH,X000630.SZ,X000877.SZ,X600219.SH,X600176.SH,X601168.SH,X000408.SZ,X600348.SH,X000883.SZ,X600096.SH,X002353.SZ,X000027.SZ,X002271.SZ,X600995.SH,X000932.SZ,X600612.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.0770196365703678,0.537896751870223,0,0,0,0,0.0763224596889436,0.164510879278949,0,0,0,0,0,-0.0967390916377332,0,0,0.0500663957401807,0,0,0,0,0,0,0,0,-0.0459693373492466,0,0,0,0,0.0476970023927775,0,0,0,0,0,0,-0.0374857851620294,0,0,0,0,0,0,0,0,0,-0.0508277280585676,0,0,-0.0153144888444898,0.0062650493004255,0,0,0,0,0,0
X601088.SH,0.231889724217952,0,0,0,0.0249479881206483,0.0166888717841488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.240854091686171,0,0.0701236248899502,0,0,0,0,0,0,0,0,0,0,0,0,-0.0199920532642717,-0.0447257049408673,0,0,0,0,0.047904590414408,0,-0.0397638320354952,0,0,0,0,0,0,0,0,0,0.0225854512284239,0,0
X600028.SH,0.496892353436601,0,0,0,0,0,0.0733616893347592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00923046700628114,-0.120483369364576,0,0,0.019246038307632,0,0,0,0,0,0.00811387311417471,0,0.0591502507097344,0,0,0,0,0,0.00852370712704638,0,0,0,0,0,0,0,0,0,0,0,0.0114246393721696,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0.0553074834575714,0,0,0,0.101867799580102,0.0146769206531507,0,0,0,0.0106233188560468,0,0,0,0,0,0.0469572063204067,0,0,0,0,0,0,0,0,0,0,0,0.059354092820067,0.0218006250318291,0,0,0,0,-0.0485558308503834,0,0,0,0,0,0,0,0.0123842136377728,0,0,0,0.0331823024497804,0,0
X600188.SH,0.0490142590129315,0,0,0,0,0.0898053468387238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071045115019189,-0.0891439652546686,0.206873194340507,0,0,0,-0.0121230191906987,-0.171409384265205,0.0625271699117571,0,0,0.226029142275039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601898.SH,0,0.0235728065407601,0,0,0.0176920703129561,0,0,0,0,0,0,0,0,0,0,0,0.0683111959821824,0,0,0,0,0,0,0,0.0522523674302322,0.235093611111141,0,0,0,0,0,0,0.0504461670240921,0,0.313208634652141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0265539357034277,0,0,0,0,0,0,0
X600019.SH,0,0.102194411061598,0,0,0,0.0593992581697486,0,0,0,0,0,0,0.00179490907030862,0,0,0,0.199093200081242,0,0,0,0,-0.133677790028661,0,0,0,0.0221180817301171,0,0,0,0,0.00962323749416705,0,0,0,0,0,0,0,0,0,0,0.0623793699704725,0,0,0,0,0.0247230825355562,0,0.436262627748606,0.0270958525148171,0,0,0.0120546252536698,0,0,0,0,0,0
X600011.SH,0.112302819464993,0,0,0,0,0,0,0,0,0,0,0,0,0.255891867709613,0,0,0,0,0.253648608730885,0,0,0,0,0,0,-0.0544278941204188,0,0.233549721933469,0,0,0,0,0.0466217390999234,0,0,0,0,0,0,0,0,0,0,0,0.0859288023764533,0,0,0,0,0,0,0.0244826619503055,0.0160086718864187,0,0,0,-0.036623934083243,0,0
X601600.SH,0.034363552140326,0,0,0,0,0,0,0,0,0,-0.0105753904340613,0,0,0,0,0,0,0,0,0.0749961548869145,0,0,0,0,0.122565698436937,0,0,0,0,0,0,0.294413375472791,0,0.09211653972233,0.108599167932832,0,0,0,0,0.258072201952372,0,0,0,0,0,0,0,0,0.0510583969577919,0,0,0,-0.0037564493595243,0,0,0,0,0,0
X600886.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.205514121482619,0,0,0.00109337228652489,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00703056500270682,-0.0754254888748887,0,0,0,0,0,0,0,0,0,0,0.0500242692917074,0,0,0,-0.0958594347423413,0,0,0,-0.169323699956138,-0.0113235414387496,0,0,0,0,0.0119624491812084,0,0
