,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600010.SH,X601600.SH,X600547.SH,X601898.SH,X601991.SH,X600660.SH,X600688.SH,X600886.SH,X600362.SH,X600795.SH,X600188.SH,X600027.SH,X601992.SH,X002466.SZ,X000898.SZ,X600516.SH,X600111.SH,X600176.SH,X000709.SZ,X002460.SZ,X600352.SH,X000629.SZ,X000786.SZ,X600219.SH,X600299.SH,X600808.SH,X600489.SH,X000825.SZ,X601158.SH,X002271.SZ,X600801.SH,X000553.SZ,X600583.SH,X002110.SZ,X000883.SZ,X600985.SH,X600157.SH,X002470.SZ,X000630.SZ,X601699.SH,X000027.SZ,X600339.SH,X600021.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.117717275788547,0,0,0.071310350126586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00948088775287504,0,0,0,0,0,0,0,0,0,0.0547342712382587,0,0,0.0673952598188211,0,0,0,0,0,0,0,0,0,0.0186728815464697,0,0,0,0.00894898345519825,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000786946930634079,0,0,0,0,0,0,0.181980365234544,0,0,0,0,0,0,0,0.017800277288135,0,0,0,0.168214212004987,0,0,0.0393580894638024,0.0295998506445075,0,0,0,0.00867439633993146,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142549429648347,0,0,0,0,0,0,0,0,0,0,0,0.0520694662078584,0,0,0,0,0,-0.0307992224226736,0.0070475510913495,0,0,0.0732352370499024,0,0,0,0,-0.0106479970169773,0.0312536961190929,0,0,0,0.0743385069933331,0,0
X600585.SH,0,0.10535169439479,0,0,0,0,-0.0378569203678455,0,0,0,0,0,0,0,0,0,0,0,0,0.0143303591286836,0,0,0,0,0,0,0,0,0,0.191211463052733,0,0,0,0,0,0,0,0.376825119079925,0,0,0,0,0,0.0327741966690868,0,0,0,0,0,0,0,0.00416600556346812,0.000937049537392113,0,0,0,0.0300467143062059,0,0
X600019.SH,0,0,0.0531283560452298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103804677698631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24484824349342,0,0,0.012139191945027,0,0,0,0.0791852790735576,0,0,0,0.00733050212810246,0.0232765143087157,0,0,0,0.0272138541506009,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206786388114582,0,0,0,0,0,0,0,0,0.15503062676042,0,0,0.37301890807522,0,0,0,0,0.219906555168478,0,0,0.0233200996349155,0,0,0,0.155291822778902,0,0,0,0,0,0,-0.00760717293288951,0.00785702421513103,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.274663029693406,0,0.622640924939864,0,0,0,-0.156380797812654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0414621806812257,0.0958567160664712,0,0,0,-0.125911312076756,0,0,0.00356318180079189,0,0,0,0,0,0,0
X600010.SH,0,0.00510862970105464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0542038052318307,0,0.0174013326172601,0.289690109770714,0,0,0,0,0,0,0,0,0,0,0,0,0.193528956203251,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0.025684300144791,0,0,0.0090047632381777,0.00894214253866127,0,0,0,0.00379780250731197,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.277594787009157,0,0.0080184216596486,0,0,0,0,0,0,0,0.0256268441050055,0,0,0,0.16601661057679,0,0,-0.00959127618393381,0,0,0,0,0,0,0,-0.0174767486019611,-0.0119070670234216,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0.0524068566865583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0730651061009725,0,0,0,0,0.755159936536857,0,0,0,0,0,0,0,0,0,0,-0.0414177768028435,0,0,0,0,0,0,-0.0377670719630894,0.0441355384744138,0,0,0,0,0,0
