,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600010.SH,X600309.SH,X600011.SH,X600188.SH,X601898.SH,X600688.SH,X600660.SH,X600362.SH,X002466.SZ,X600795.SH,X300072.SZ,X601991.SH,X601992.SH,X000898.SZ,X600516.SH,X600547.SH,X600886.SH,X600111.SH,X600157.SH,X600176.SH,X002460.SZ,X000709.SZ,X000786.SZ,X600352.SH,X601699.SH,X600027.SH,X000553.SZ,X002271.SZ,X000825.SZ,X600299.SH,X000792.SZ,X600808.SH,X601158.SH,X000408.SZ,X600489.SH,X000983.SZ,X000883.SZ,X600219.SH,X000959.SZ,X000630.SZ,X002110.SZ,X000830.SZ,X600583.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.337295711361449,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142888777415472,0,0,0,0,0,0,0,0,0.0079163850750021,0.00032670737235405,0,0,0.0401061453883343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141211289827747,0,-0.0122734585457375,0.00577950681424072,0,0,0,0,0,0
X600028.SH,0.446266012197224,0,0,0,0,0,0,0,0,0,0,0,0.119972931621568,-0.0015269009685537,0,0,0,0,0,0,0.0885964765171753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0203005499927795,0,0,0,-0.0187993592016873,0,0,0,0,0,0
X601088.SH,0,0,0,0.0726793211940007,0.138697884484024,0,0,0,0.0464012557994879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0456213509277771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141196977180864,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0.223171004003993,0,0.0638642779809595,0,0,0,0.112464163181227,0,0,0,0.0199658456229346,0,0,0,0,0,0.393916452731619,0,0,0,0,0,0,-0.185186046636246,0,0,0,0,0,0,0.0140117055642537,0,0,0,0,0,0,0,0,0,0,0,0,0.0670691499451693,0.00670525298527783,0,0,0,0.00868308375380327,0.0734719155012798,0,0,0,0,0
X600585.SH,0,0,0,0.0490553726470585,0,0,0,0,0.380245538599727,0,0,0,0,0.0256436607885731,0,0,0,0,0,0,0,0,0,0,0.0545019829778863,0,0,0.16296099844436,0,0,0,0,0,0,0,-0.183471846335733,0,0,0,0,0,0,0,0,0,0,-0.0137626652460239,0,0,0,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0.151690446616162,0,0,0,0,0,0,0,0,0,0.0198110487206606,0,0,0,0.0223616970437406,0,0,0,0,0,0,0,0,0.0595149503545048,0,0.0556412393644899,0,0.0320845236809654,0.0307502265884192,0,0,0,0,0,0,-2.71050543121376e-20,0,0,0.0383415447419028,0,0,0,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,-0.0295659962286728,0,0,0,0,0,-0.0204389304761826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0776887969819449,0,0,0,0,0,0.0163055577035946,0,0,0,0,0,0.0185810888896493,0,0,0,0,0,-0.0668377507904569,0.0174244519723584,0,0,-0.050857304867965,0.0761652654313367,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114906282254484,0,0.00810603192269444,0,0,0,0,0,-0.0126719231128697,0,0,0,0,0,0.0296856554185338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110604725946272,0,0,-0.0192662656941367,0,0,0,0,0,0
X600188.SH,0,0,0,0.00907605373594325,0.126340401984721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0772769270102237,0.133978388112388,0,0.0602702547268706,0,0.443554016679284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0637545330707874,0,0,0.0184313387987635,-0.0310599637295071,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.136945270286605,0,0,0,0,0,0,0,0.063260743555874,0,0,0,0,0,0,0,0,0.165463426279188,0,0,0,0.0135200636967009,0,0.0723769734291221,0,0,0,0,0.00887302129308554,0,0,0,0,0.0484005342831279,0,0.199638818146893,0,0,-0.000250390616383685,0,0,0,0,0,0
X600688.SH,0,0.406623756504692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0269029551864354,0,0,0,0,0,0,0,0,0,0,0,0.0705897966751145,0,0,0,0,0,-0.00117945645790256,0,0,0,0,0,0,0,0,0,0,0.0619062002253755,0,0,-0.0163615081560648,8.67361737988404e-19,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,-0.0792626743308894,0,0,0,0,0,0,0.00829513066634153,0,0,0,0,0.158301535992879,0,0,0,0,0,0,0.190735299479228,0.18444684246032,0,0,0,0,0,0,0,0,0,0,0,0,0.0430452505485289,0,0,0,-0.00338395984952808,-0.00654040532969837,0,0,0,0,0,0
X600362.SH,0,0,0,0,0,0,0,0,0.112108271852691,6.93889390390723e-18,0,0,0,0,0,0,0,0,0.29059544248951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0516071140654363,0,0.118259311017195,0,0,0,0,0,0,0,0,0,0,0.121933977755282,0.017842359192632,0,0,-0.0669402895557431,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0.0273958038681818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105005835386839,0,0,0,0,0,0.736449499421631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0579122163665902,0,0,0,-0.0123265412637977,0.0291077703777339,0,0,0,0,0,0
