,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600010.SH,X601600.SH,X600309.SH,X600011.SH,X601898.SH,X600688.SH,X002466.SZ,X601992.SH,X600795.SH,X600660.SH,X600362.SH,X002460.SZ,X600188.SH,X601991.SH,X300072.SZ,X600547.SH,X600111.SH,X600886.SH,X600516.SH,X000898.SZ,X000792.SZ,X000709.SZ,X600157.SH,X600027.SH,X600339.SH,X600489.SH,X000959.SZ,X600176.SH,X000408.SZ,X000723.SZ,X600219.SH,X002271.SZ,X600808.SH,X000786.SZ,X000553.SZ,X600352.SH,X601158.SH,X600549.SH,X000883.SZ,X000807.SZ,X000983.SZ,X000630.SZ,X600299.SH,X002092.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0.0222070797677844,0,0,0,0.0210877526146174,0,0,0,0.0551196669201492,0.0074084894102701,0.00430575892291354,0,0,0,0,0.0308387257087736,0,-0.0241364169182188,0,0,0,0,0,0,0,0,0,0.0214637170507094,0,0,0,-0.00895517990275931,-0.0591713305097644,0.0558797554757287,0,0,0,0,0,0,0,0,-0.0302466435391008,0,-0.0073977569000097,0.00734684014791444,0,0,0,0,0,0
X600028.SH,0,0,0,0,0.0839567137796333,0,0,0.0123582505255672,0,0,0,0,0.00714320826259128,0,0,0,0,0.0072703707306146,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0393933605083858,0,0.00297566026766987,0,0,0,0,0,0,0.0939376850722925,0,0,0,0,0,0,0,0,0,0,0.00607769778951696,0,0,0,0,0,0
X601088.SH,0,0,0,0.0940521316419168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00401504846477393,0,0.0535910980857342,0,-0.0422151765172727,0,0,0,0,0,0,-0.0266954584301684,0,0,0,0,0,0,0,0,0,0,0,0,0.0811713679712744,0,0,0.0350482185745157,0,0.0265958472715751,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0.0728295585132073,0.0532595429099539,0,0.038459833137663,0,0,0,0,0,0,0,0,0,0.0620209872768868,0,0.00975379667462264,0,0,0.172052776864966,0,0,0,0,0,0,0,0,0,0,0,0,0.316383882211233,0,0,0,0,0,0,0,0.00546403310708921,0,0,0,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,-0.0113390670651654,0.229086470358525,0,0,0,-0.0193237126607121,0,0,0,0,0.0894555603263701,0,0,0,0,0,0,-0.126701505050229,0,-0.0906148229732026,0,0,0,0,0,0,0,0.0206540765515488,0,0,0.0882139755446937,0,0,0,0,0,-0.0468125635688712,0,0.193131491508506,0,0,0,0,-0.084524449901074,-0.0129363416341849,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028125237944978,0,0,0,0,0,0.0352928255834557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164790352129991,0,0,0,0,0.10204259547934,0,0,0.164694088762967,0,0,0.0629562796090654,0,0,0.00246665681171738,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0.137453869816437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0126069730693335,0,0,0,0,0,0,0,0,0,0,0,0,0.0958893642791158,0,0,0,0,0.143851620974878,0,0.0575704657559512,0.179985647889339,0,0,0,0,-0.0727387784121906,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131643877817864,0.150239303694699,0,0,0,0,0,0,0,0.0888204990320334,0,-0.113974171205689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141647011862772,0,0,0,0.138315338375532,0,0,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,-0.00948000408245995,0,0,0,0,0,0.0266935717239653,0.0688850569954769,0,0,-0.0067147411172286,0,-0.0551821668778662,0,0,0.094609009944388,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136151667921326,0,0,0,0,0,0,0.0199179867344602,0,0,0,0.0104601040365539,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0.0740389598370938,0,0,0,0,0,0,0,0,0.0816638737494061,0,0.1219651782281,0,0,0,0,0,0,0.171599246038029,0,0,0,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0.178036869965689,0,0,-1.38777878078145e-17,0,0,0,0,0,0.00839144608267003,0,0,0,0,0,0
