,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X601898.SH,X600585.SH,X601600.SH,X600795.SH,X600886.SH,X600688.SH,X601991.SH,X000709.SZ,X600027.SH,X000539.SZ,X600362.SH,X600583.SH,X600157.SH,X600111.SH,X002075.SZ,X600188.SH,X600309.SH,X601992.SH,X600352.SH,X002353.SZ,X601158.SH,X000898.SZ,X000027.SZ,X000792.SZ,X000878.SZ,X600863.SH,X000629.SZ,X000883.SZ,X600021.SH,X600660.SH,X000959.SZ,X002470.SZ,X600808.SH,X000825.SZ,X600307.SH,X600578.SH,X000060.SZ,X601918.SH,X600098.SH,X600489.SH,X600022.SH,X600547.SH,X000786.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.383061020650952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0133316519657255,0,0,0.0655546762930051,0.0310147950450569,0,0.011701998227117,0,0,0,0.126669833468181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0849102274480102,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600028.SH,0.272150094716255,0,0,0,0,0,0.0231757237495216,0,0.0295583195599466,0,0,0.0187923942226787,0.0713726908343574,0,0,0,0,0.0700374576962147,0,0,0,0,0,0,0,0,0,0.00232804804286426,0.0712197303184611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0889903549901964,0,0,0,0,0,0,-0.00982306175254666,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0.165118997967834,0,0.103846544043954,0,0,0,0,0,0,0,0,0,0.0390982624113637,0,0,0.0843065046687206,0,0,0.0559831028229211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0313429774804564,0.0431303173998101,0,0.0219381025458562,0,0,0,0,0,-0.0152346124470101,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0.123995286352413,0,0,0,0,0,0.112460576108338,0,0.108246475835253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0500733134163479,0,0,0,0,0,0,0,0,0,0.404220305364107,0,0.028217863193278,0,0,0,0,0,0,-0.00796505340518335,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00872327203948739,0,0,0,0,0,0,0,0.172544168684129,0,0,0,0,0,0,0.072725047783897,0,0,0,0.0460018691761881,0,0.00680184831167504,0,0,0,0.266500732145223,0,0,0,0,0,0,0,0.221973456569049,0,0,0,-0.0109127242069572,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0.0352344093236884,0,0.0552113211583059,0,0,0,0,0,0.106293521025152,0,0,0,0,0,0,0,0,0,0,0,0,0.236271378223736,0,0,0,0,0,0,0,0,0,0,0.0785290951656158,0,0,0,0,0.118327219459228,0,0,0.094746759683465,0,0,0,-0.00499591393602666,0,0,0,0,0,0,0
X601898.SH,0,0,0,0.13607734465799,0,0,0,0,0.0628961791332833,0,0,0,0,0,0,0,0.0451040982337054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17877477506892,0,0,0,0,0.237006460023662,0,0,0.00709334403817647,0,0,0,-0.0103187613538432,0,0,0,0,0,0,0
X600585.SH,0,0,0.0321245067846736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0571629788276819,0.0298984575339317,0,0,0.0285449070641021,0,0,0,0,0,0,0,0,0,0,0.0456151868271492,0,0,0.142186873053009,0.0753384988479926,0,0,0,0,0,0,0,-0.0292675938182024,-0.0203939940872262,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0.0574426459376285,0.108590985878708,0,0,0,0,0.0264544456756267,0,0,0.052248508971155,0,0,0,0.0358285529791723,0,0,0,0,0,0,0,0,0.0568681587874442,0,0,0,0,0,0,0,0,0,0,0.189255678948434,0,0,0,0.140343980158104,0,0,0,0,0,0,0,-0.00828905930851805,0,0,0,0,0,0,0
X600795.SH,0,0,0,0.0685288574364449,0,0,-8.67361737988404e-19,0,0.0752933907058272,0,0,0,0.0686823165218937,0,0.127562571428051,0,0,0,0.0514849046333738,0,0,0,0,0,0,0,0,0,0,0,0,0.217852982599197,0,0,0.00525162250839541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0141640251409316,0,0,0,0,0,0,0
