,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X002460.SZ,X002466.SZ,X600585.SH,X000792.SZ,X600019.SH,X601898.SH,X600011.SH,X600660.SH,X600111.SH,X600010.SH,X600547.SH,X000708.SZ,X000301.SZ,X600886.SH,X600795.SH,X000877.SZ,X002271.SZ,X601600.SH,X600426.SH,X600362.SH,X600176.SH,X600027.SH,X600803.SH,X601991.SH,X601699.SH,X000983.SZ,X000408.SZ,X600160.SH,X000629.SZ,X000786.SZ,X000723.SZ,X600219.SH,X600378.SH,X600995.SH,X002080.SZ,X600348.SH,X600489.SH,X600096.SH,X000933.SZ,X600157.SH,X000807.SZ,X600985.SH,X000831.SZ,X600688.SH,X600141.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.445401561320801,0,0,0,0,0,0,0,0.237889064364139,0,0,0.0240295046618033,0,0,0,0,0,0,0,0,0,0,0,0,-0.0309104575711711,0,0,0,0.00659724234785177,0,0,0.0370514117142828,0.0601147875545402,0,0,0,0,0,0,0,0,0.0737265779829515,0,0,0,0,0,0,0,-0.00391429346081093,0,0,0,0,0,0,0
X601088.SH,0,0,0,0.0398808639973618,0.467152355742322,0,0,0,0,0,0.0939341770290841,0,0,0,0,0,0,-0.0308077628171695,0,0,0,0,0.0084768038089473,0,0,0.106093865793515,-0.0366161906604402,0,0,0,0.0420128886988869,0,0,0,0,0,0,0.0583987719199082,0,0,0,0,0,0,0,0,0.0471858979766698,0,0,0,0,-0.00276865168743011,-4.33680868994202e-19,0,0,0,0,0,0
X600028.SH,0.563572679778599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00283039093464498,0,0,0,0,0,0.0670050068526638,0,0,0,0,0,0,0,0,0.0211621823054484,0,0,0,0,0,0,0.0066940055706975,0,0,0,0,0,0,0,0.000594972940832167,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,-0.0151134140412713,0,0,0,0,0,0,0,0,0,0,0.152307501154673,0,-0.0370421058793166,0,0,0,0.229808576336111,0,0,0.0256551905595265,0.113641351852649,0,0,0,0,0,-0.0254240115675176,0.171888354577549,0,0,0,0,0,-0.137621413408533,0,0,0,0,0,0,0,0,0,0,0.0116831961938977,-0.074039424951617,0,0,0,0,0,0
X600188.SH,0,0.686494051037027,0,0,0,-0.00470542998985276,0,0,0,0,0,0,-0.0459874970817307,0,0,0,0,0,0,0,0,-0.0715941838478917,0,0,0,0,0,0.0865328314688133,0,0,0.0977103909409705,0,0,0,0,0,0,0,0,0,0.0572926093705298,0,0,0.218855780875527,0,0,0,0,0,0,0,0.0261364528608349,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0.520130187328803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.112334326041558,0,0,0,0,0,0.0608017616563094,0,0,0,0.0781743103144987,0,0.0812405510675202,0,0,0,0,0,0.144568521290276,0,0,0,0,0,0,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0.453552227693073,0,0,0,0,0,0,0,0,-0.0173982726649519,0,0,0,0,0.0822564158687369,0.0670038759682837,0,0,0,0,0,0,0,0,0,0,0.396565981357472,0,0,0,0,0,0,-0.0212607908985382,0,0,0,0,0,0,0,0,0.0876945619227494,0,0,0,-0.0166875466227543,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087613534730492,0,0,0.0988094277862666,0,0,0,0,0,0,0,0,0,-0.0335113359316296,0,0,0,0,0.357147054239535,0,0,0,0,0.0798697148525775,0,0,0,0,0,0,0,0,0,0,0,0.000155320750327923,0,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0.178638384289114,0.0643865985862318,0,0,0,0,0,0,0.156972210387055,0,0,0,0,0,0,0,0,0.144978169134702,0,0,0,0,0,0,0,0,0.259983560761869,0,0.0510833637240212,0.157282823202297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00223459474331121,0,0,0,0,0,0,0
X600019.SH,0.0813959257776417,0,0,0,0,0,0,0,0,0,0,0.00313556666837275,0,0,0,0,0,0,0,0,0.109142451810577,0,0.212323108691267,0,0,0,0,0.0316545057495604,0,-0.0162445413072185,0,0,0,0,0.149048386336799,0,0,0,-0.0309444425525985,0,-0.0188931296194128,0,0,0,0,0,0,0,0,0,0,0,0.00872066342280963,0,0,0,0,0,0
