,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600011.SH,X600585.SH,X600010.SH,X601898.SH,X601600.SH,X600688.SH,X600362.SH,X600547.SH,X600795.SH,X300072.SZ,X600309.SH,X600188.SH,X601991.SH,X600157.SH,X600027.SH,X600660.SH,X601992.SH,X600886.SH,X600111.SH,X000898.SZ,X600489.SH,X600339.SH,X600299.SH,X000709.SZ,X000959.SZ,X601158.SH,X000630.SZ,X600583.SH,X000792.SZ,X002466.SZ,X600098.SH,X600219.SH,X600352.SH,X000408.SZ,X000883.SZ,X000825.SZ,X000539.SZ,X000723.SZ,X002092.SZ,X601699.SH,X000027.SZ,X000983.SZ,X600021.SH,X000937.SZ,X000060.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.319295971344332,0,0.00463319332556898,0,0,0,0,0.0189448622573211,0,0,0,0,0,0,0,0,0,0,0.0553106106817854,0.0449892293421888,0,0,4.33680868994202e-19,0.0341423960682156,0,0,0,0.00715271654086432,0,0,0,0,0,0,0,0,0,0,0.0411403729160138,0,0,0.0428362002358193,0,0,0,0,0,0,0,0.00164264283618263,-0.00669647926014125,0,0,0,0,0,0
X600028.SH,0.779648688993283,0,0,0,0,0.089426693992416,0,0,0,0,0.00587386839500832,0.0422990712964195,0,0,0,0,0,0,0,0.0235683147868181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00699381465454603,0,0,0,0,0,0,0,0,0.0351077360270784,-0.0100432272121675,0,0,0,0,0,0
X601088.SH,0,0.0299573105217265,0,0,0,0,0,0.0595464837184036,0.0128912434724852,0,0,0.0440620909899325,0,0,0,0,0,0,0,0.00880862908939983,0,0,0,0.150614956385395,0,0,0,0,0,0,0.00728806626816768,0,0,0,0,0,0,0,0,0,0,0,0,0.171727489615596,0,0,0,0,0,0,-0.0256595773449121,0.0125549755561686,0,0,0,0,0,0
X600019.SH,0,0,0.485698648756651,0,0.00340136090812357,0.0110663880273728,0,0,0,0,0,-0.134858597961779,0,-0.0852208803469719,0,0,0,0,0,0,0,0,0,0.114854128242809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139344872492106,0,0,0.0064923800636133,0,0.00737242349697195,0,0,0,-0.0801641916505927,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0.00542895959537459,-0.0477675222987108,0.251241744558761,-0.00767694765785298,0,0,0,0,0,0,0,0,0,-0.0612507526440935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0984751861337308,0,0,0,0,0,0,0,-0.0102321235797463,0.0118021410434085,0.0262913878342569,0,0,0,0,0
X600585.SH,0,0.130746143855822,0,0.0628926810505793,0,0,0,0,0,0,0,0,0,0,0.0259067253531054,0,0,0,0,0,0,0,0,0.176910994098392,-0.0554997390820855,0,0,0,0,0,0,0.0394648399908878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0449131831722562,-0.112280783577431,-0.0103626438314796,0.0126452586924629,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0.05387818727912,0,0.100919804805478,0,0,0,0.0648552559597839,0,0,0,0,0,0.0625085855034257,0,0,0.159810218318273,0,0,0,0,0,0,0,0,0,0,0.117614686796817,0,0,0,0,0,0,-0.00779621868184978,0,0,0.085155910043676,0,0,0,0,0,-0.0264912607400719,0.00979064894942003,0,0,0,0,0,0
X601898.SH,0,0,0.0582148677948913,0,0,0,0,0,0,0,0.0851966563495966,0,0,0,0,0.0820096898228766,0,0,0,0,0,0,0,0.102703322568592,0,0,0,0,0,0,0,0.00365412206268448,0,0,0,0,0,0,0,0,0,-0.0518212086056128,0,0,0,0.0974661974704471,0.00786562513388425,0.114412002621518,-3.46944695195361e-18,0,-0.0384093733323833,0.0131059282769527,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0.186474815812437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.115008991823438,0,0,0,0,0.216775032137561,0,0,0,0,0,0,0,0,0,0,0,0.0531247174170419,0,0,0,0,0,0.10264418506189,-0.12760559327758,-0.0155855501472639,0.00545757120798727,0,0,0,0,0,0
X600688.SH,0,0.32131063772361,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,-0.0151109634844455,0.00408228435305053,0,0,0,0.104291094407141,0,0.176214905379584,0.0307810475363445,0,0,0,0,0,0,-0.0135386097048608,0,0.0469397056082801,0.0422319951053622,0,0,0,0.0847173852393538,0,0.0446864260359821,0,0,0.0039503986604413,0,0,0,0,0,0
