,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600585.SH,X600019.SH,X600010.SH,X601898.SH,X601600.SH,X601991.SH,X600795.SH,X600886.SH,X600188.SH,X600362.SH,X600111.SH,X600688.SH,X600027.SH,X600309.SH,X601992.SH,X600583.SH,X000792.SZ,X601158.SH,X000898.SZ,X600157.SH,X600352.SH,X000709.SZ,X600547.SH,X600489.SH,X002353.SZ,X000831.SZ,X000539.SZ,X000027.SZ,X000629.SZ,X600008.SH,X000630.SZ,X600021.SH,X600549.SH,X600219.SH,X600660.SH,X000825.SZ,X600808.SH,X002470.SZ,X600578.SH,X600098.SH,X600315.SH,X600307.SH,X000060.SZ,X600863.SH,X601699.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.404870628099573,0,0,0,0,0,0,0,0,0,0.230059841845019,0.0797286303321221,0,0,0,0,0.0170591899805203,0.00747677279346045,0,0,0,0,0,0,0,0.0571015479543938,0,0,0.0501034853560957,0,0,0,0,0,0,0,0.0466127550428196,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0048340330368401,0,0,0,0,0,0
X600028.SH,0.56123455058693,0,0.000220583106905031,0.024210624558435,0,0,0,0,0,0,0,0.0743809043790921,0,0,0,0,0,0,0,0.017265636672131,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00320950879320934,0.0932861863601665,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601088.SH,0.128266877850789,0,0,0,0,0.00590224297771101,0,0.0968942619945681,0,0,0,0,0.254288609397685,0,0,0,0,0,0,0,0,0,0.284943709655915,0,0,0,0,0,0,0,0.111813182749643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00764009416625902,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0.104418051122137,0,0.0329073056036827,0.0700879690784283,0,0,0,0,0,0.0101514425570373,0.167809341006675,0,0,0,0,0,0.150636602384172,0,0,0,0,0,0,0,0.0695287241764766,0.0747245706362686,0,0,0,0,0,0,0,0,0.0338848658993643,0,0.131144541852686,0.0325338546988602,0,0,0,0,0,0,0,-0.00144444867733049,0,0,0,0,0,0
X600585.SH,0.0725828698533853,0,0,0,0,0,0.150849341079866,0,0,0,0,0,0,0,0,0.0057835026921043,0,0,0.00351913823728194,0,0,0,0,0,0.0151254818108449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0613984077341736,0,0,0,0,0.216027901306173,0,0,0,0,0,0,0,0,0
X600019.SH,0,0.0267465158469685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142178995665348,0,0,0,0,0,0,0,0,0.435948320703359,0,0,0,0,0,0,0,0,0,0.0345584497228609,0,0,0,0,0.0507632531531264,0,2.16840434497101e-19,0,0,0.00331199095560038,0,0,0.0724607906011747,0,0,-0.00328953247318404,0,0,0,0,0,0
X600010.SH,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0.0407729204554645,0,0,0,0,0,0,0,0,0.0181005423999891,0.369540846928861,0,0,0,0,0,0,0.0940833747322367,0,0,0,0,0,0,0,0,0,0.0995886603682101,0,0,0,0.129400888493493,0,0,0,0,0,0,0,0.0119673359702496,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0.00724614991649665,0.0434846156981941,0,0,0.0671594808176763,0,0,0,0,0,0,0,0,0,0.0377009684326814,0,0,0,0,0,0,0,0,0,0,0,0,0.21964234099753,0,0,0,0,0,0,0.231350220531765,-6.93889390390723e-18,0,0.105348939750657,0,0,0,0,0,0,0,0,0.00513723607703011,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0.472422771861146,0,0,0.139198383129519,0.0612144830488444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138690254443465,0.0717416930097992,0,0,0,0.00212561411696672,0,0,0.023372463659606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0.0469135624381473,0,0,0,0,0,0,0,0.378155614980221,0,0,0,0,0,0,0,-0.0215518909926952,0,0,0,0,0,0,0,0.148591058018583,0,0,0.158601063791684,0,0.05854793542683,0,0,0,0,0,0,0,0,0,0.160665198308282,0,0,0,-0.0134905682726786,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0.165170465609189,0.226626664087708,0,0.117622058267239,0,0,0,0,0.228107010793714,0,0,0,0,0.0605381977465208,0,0,0,0,0,0,0,0,0.215372901624523,0,0,0,0,0,0,0,0,0,0.0187488772331204,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
